sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,95.2,49.72380861174195,67.66113397915075,122.73886602084926,39.6,60.0,89.99999999999999,115.5,170.8,24.999999999999996,185.0
1,15.0,97.73333333333333,51.10977914068425,69.4268660813834,126.03980058528327,43.4,50.5,97.0,116.5,170.59999999999997,35.0,199.99999999999997
2,15.0,115.33333333333333,68.57286704840402,77.35516852586986,153.3114981407968,33.8,63.5,99.0,180.5,198.99999999999997,24.0,239.99999999999997
3,15.0,135.0,80.32167471219353,90.51491528452647,179.48508471547353,58.8,77.5,118.0,180.5,249.79999999999998,20.0,294.0
4,15.0,120.06666666666666,65.35230531147168,83.87216688128096,156.26116645205235,42.6,66.0,125.0,170.5,202.8,21.0,226.0
5,15.0,100.33333333333333,51.209188163658204,71.97180972425035,128.69485694241632,46.400000000000006,63.0,104.0,127.0,167.0,12.0,199.99999999999997
6,15.0,85.33333333333333,45.36938342517949,60.20610743335441,110.46055923331224,33.0,60.0,84.99999999999999,100.5,145.4,14.0,180.99999999999997
7,15.0,87.86666666666666,60.4895110939157,54.365360387230766,121.36797294610255,22.400000000000002,41.0,92.0,106.0,149.2,13.0,243.0
8,15.0,90.93333333333334,58.98361354365014,58.26604826095549,123.60061840571117,23.4,46.49999999999999,75.99999999999999,145.5,167.8,13.0,176.0
9,15.0,100.86666666666666,74.3234885643896,59.703597084472335,142.02973624886098,23.6,33.5,94.99999999999999,153.5,201.6,20.0,244.0
10,15.0,81.4,55.749183209903876,50.52406088646279,112.27593911353722,18.2,33.5,78.0,124.5,146.99999999999997,17.0,194.0
11,15.0,104.57226666666666,79.75093582923084,60.40327804418403,148.7412552891493,15.399999999999999,29.999999999999996,96.0,161.5,199.79999999999998,6.5840000000000005,261.0
12,15.0,92.4,72.97631709769173,51.98304330747164,132.81695669252838,14.999999999999998,25.5,75.99999999999999,152.5,193.6,11.0,203.0
13,15.0,82.04093333333334,59.946011342905955,48.840637118156444,115.24122954851023,13.799999999999999,24.0,98.0,138.5,151.6,3.614,174.0
14,15.0,87.7448,63.546120865309874,52.55063130067768,122.93896869932232,12.4,23.5,85.99999999999999,126.0,165.4,8.172,207.0
15,15.0,115.53333333333333,121.09846446275897,48.46456926880879,182.60209739785788,15.799999999999999,27.5,97.0,124.0,289.5999999999999,14.0,410.0
16,15.0,78.4,64.01205243657523,42.947781334792126,113.85221866520789,18.2,28.0,59.0,101.0,158.99999999999997,17.0,236.0
17,15.0,90.97313333333334,80.7505194948939,46.250538673544376,135.6957279931223,16.0,36.5,75.99999999999999,97.5,195.79999999999995,7.597,298.0
18,15.0,81.97313333333334,67.56996140600884,44.550414395536265,119.39585227113041,15.0,29.5,75.0,91.5,168.59999999999997,7.597,250.99999999999997
19,15.0,72.0398,48.725706509867194,45.05371947217845,99.02588052782156,16.2,25.5,75.99999999999999,101.0,123.8,7.597,173.0
