sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,147.06666666666666,48.62166869479765,120.13820609054015,173.99512724279316,76.8,140.0,158.0,176.0,192.2,36.0,210.99999999999997
1,15.0,150.46666666666667,43.55926450032787,126.3419509111243,174.59138242220905,106.39999999999999,129.0,149.0,190.0,198.6,47.0,206.0
2,15.0,154.73333333333332,60.44533145941128,121.25649535327827,188.21017131338837,78.0,113.0,169.0,200.49999999999997,214.2,47.0,254.99999999999997
3,15.0,131.91173333333333,58.30014218981272,99.62297972441166,164.200486942255,54.6,103.0,140.99999999999997,178.0,191.2,8.676000000000002,212.0
4,15.0,120.5784,70.35421338667032,81.61366036016011,159.5431396398399,29.400000000000006,80.5,109.99999999999999,196.0,206.6,8.676000000000002,223.0
5,15.0,108.0,68.25268178927895,70.19916551374635,145.80083448625365,37.6,55.5,103.0,163.5,199.79999999999998,13.0,227.99999999999997
6,15.0,123.66666666666667,77.84110800366406,80.55541062902778,166.77792270430558,33.2,58.5,102.0,182.5,208.39999999999998,21.0,268.0
7,15.0,101.8,86.53339570032237,53.87463673734812,149.72536326265188,18.999999999999996,33.0,70.99999999999999,146.0,215.59999999999997,16.0,300.0
8,15.0,96.53333333333333,59.09661177943726,63.803465700149815,129.26320096651685,35.8,45.5,84.99999999999999,137.5,161.79999999999998,18.999999999999996,226.0
9,15.0,89.8,67.41046972519499,52.46561339538498,127.13438660461502,22.400000000000002,40.5,70.99999999999999,113.5,187.39999999999998,11.0,237.0
10,15.0,106.2,83.68580695502844,59.85173565894219,152.5482643410578,31.400000000000002,36.0,80.99999999999999,170.0,224.8,12.0,269.0
11,15.0,103.0,87.24841382103008,54.67863351920366,151.32136648079634,25.2,39.0,56.99999999999999,172.5,216.6,12.0,283.99999999999994
12,15.0,94.4,66.32366524422916,57.667525514102074,131.13247448589794,27.200000000000003,39.5,67.0,151.0,186.59999999999997,13.0,206.0
13,15.0,90.8,67.12802267735456,53.62204291326839,127.9779570867316,23.200000000000003,34.0,79.0,136.5,193.39999999999998,14.0,207.0
14,15.0,78.63706666666667,57.556489845649736,46.76017495738151,110.51395837595183,27.2,38.5,52.0,116.49999999999999,171.2,9.556000000000001,177.0
15,15.0,95.8262,68.22795162039006,58.03906198685891,133.6133380131411,24.6,32.5,93.0,150.5,179.79999999999998,7.393,213.0
16,15.0,92.09286666666667,67.16728321657232,54.89316565565391,129.29256767767941,22.599999999999998,33.0,89.99999999999999,144.0,173.39999999999998,7.393,220.99999999999997
17,15.0,114.29286666666667,112.34473917549288,52.07223621458659,176.51349711874676,31.599999999999998,37.5,102.0,134.5,188.79999999999998,7.393,464.0
18,15.0,95.6262,67.57541002063653,58.20046341990198,133.05193658009802,28.0,37.0,72.0,151.49999999999997,190.2,7.393,216.0
19,15.0,95.6,73.57095700264959,54.853709953280045,136.34629004671996,29.200000000000003,38.5,78.0,132.0,175.4,21.0,281.0
