sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,-2.0066666666666664,6.147045883612558,-5.41112577265808,1.3977924393247472,-2.4964,-0.5905,-0.037,-0.0025000000000000005,0.019199999999999988,-24.0,0.08
1,15.0,-1.4502,2.787065666354388,-2.9937790242125137,0.09337902421251387,-5.066000000000001,-1.186,-0.038000000000000006,-0.006,0.0,-9.36,0.005
2,15.0,-8.6594,15.22792523528496,-17.093182619197695,-0.22561738080230498,-31.79999999999999,-11.0,-0.13699999999999998,-0.022500000000000003,0.0019999999999999966,-44.99999999999999,1.01
3,15.0,-1.6936000000000002,2.265816024557788,-2.9484918852015563,-0.4387081147984444,-4.0102,-2.9010000000000002,-0.321,-0.049,-0.016200000000000006,-7.805000000000001,-0.002
4,15.0,-5.395933333333333,13.33535126467919,-12.78153918437511,1.9896725177084447,-14.799999999999999,-0.9475000000000001,-0.201,-0.0025,0.0015999999999999996,-49.99999999999999,0.031
5,15.0,-3.4871999999999996,9.823503304393425,-8.927815852004084,1.9534158520040847,-6.7658000000000005,-0.5155000000000001,-0.08100000000000002,-0.0075000000000000015,0.011799999999999995,-37.99999999999999,0.08
6,15.0,-1.6791333333333336,2.775919895578161,-3.2165394215484806,-0.14172724511818657,-2.7108000000000003,-2.2405,-0.671,-0.016,-0.006400000000000003,-11.0,-0.001
7,15.0,-7.580333333333334,19.521533607300228,-18.392073494484144,3.2314068278174766,-12.0288,-8.2765,-0.055,-0.0025,0.7909999999999995,-75.99999999999999,1.8320000000000003
8,15.0,-0.5527333333333332,0.8672405718852235,-1.0330429190988952,-0.07242374756777126,-1.5028,-0.7775000000000001,-0.09100000000000001,-0.0125,0.0013999999999999991,-3.0380000000000003,0.017
9,15.0,-0.7254666666666668,2.039409293561905,-1.8549662135660894,0.40403288023275563,-3.5188,-1.6425,-0.074,-0.013000000000000001,0.27439999999999987,-4.672000000000001,3.82
10,15.0,-0.9956,3.0699564631626757,-2.6958543065237537,0.7046543065237538,-1.0224,-0.49250000000000005,-0.10300000000000001,0.0035000000000000005,0.11459999999999995,-12.0,0.332
11,15.0,-2.8116,10.315444515039434,-8.524670908612835,2.901470908612835,-1.6702,-0.217,-0.022000000000000002,-0.0015,0.0196,-40.0,1.314
12,15.0,-1.5566000000000002,3.1986613226696665,-3.3281357706986094,0.21493577069860903,-6.6142,-1.0595,-0.05,-0.0175,0.015799999999999988,-9.409,0.803
13,15.0,-3.8504666666666667,8.677136969124804,-8.656182863974559,0.9552495306412254,-12.5748,-1.3890000000000002,-0.092,-0.006500000000000001,0.04759999999999999,-31.0,0.21900000000000003
14,15.0,-4.669066666666667,13.980508908919623,-12.411984445798934,3.0738511124656007,-7.792799999999998,-0.6325000000000001,-0.203,-0.0545,-0.0074000000000000055,-54.0,0.041
15,15.0,-0.6830000000000002,6.246961329890146,-4.142795938894477,2.7767959388944767,-4.1882,-0.38150000000000006,-0.015000000000000001,0.001,0.057599999999999985,-17.0,14.999999999999998
16,15.0,-3.522933333333333,16.54377698483057,-12.685482835956757,5.6396161692900915,-1.4869999999999999,-0.5025000000000001,-0.019000000000000003,-0.004,0.05419999999999997,-62.0,13.0
17,15.0,-0.8289333333333334,2.1406283278736735,-2.0144916879245964,0.3566250212579295,-1.3794,-0.5525,-0.042,-0.001,0.012599999999999997,-8.351,0.03900000000000001
18,15.0,-0.4140666666666667,0.7132186067065138,-0.8090732480617474,-0.01906008527158598,-1.5356,-0.586,-0.013000000000000001,-0.002,0.012799999999999992,-2.02,0.09000000000000001
19,15.0,-0.27226666666666677,1.1052471259966297,-0.8843929975439504,0.33985966421061686,-0.9276,-0.40249999999999997,-0.016,-0.001,0.0152,-3.3750000000000004,2.175
