sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,133.53333333333333,57.36084611184415,101.76479628801128,165.3018703786554,59.80000000000001,111.5,131.99999999999997,151.5,197.79999999999998,29.0,250.0
1,15.0,124.73333333333333,55.31916054866996,94.09555651637558,155.3711101502911,46.6,99.99999999999999,119.99999999999999,162.0,180.2,32.0,227.0
2,15.0,145.13333333333333,94.68056571340034,92.69576898023134,197.57089768643533,44.2,93.5,131.99999999999997,163.0,231.6,39.0,412.99999999999994
3,15.0,160.33333333333334,73.97071492602099,119.36564271011174,201.30102395655496,45.199999999999996,148.5,166.0,194.0,236.39999999999998,29.999999999999996,299.0
4,15.0,150.2,71.53241023679905,110.58273180074843,189.81726819925154,52.0,106.5,154.0,198.0,228.4,16.0,247.0
5,15.0,165.10853333333336,85.52360814073225,117.74242739809597,212.47463926857074,51.8,135.5,169.99999999999997,203.5,257.4,8.628000000000002,336.0
6,15.0,149.0,87.24350159999638,100.68135408709033,197.3186459129097,48.6,87.0,136.0,193.5,248.19999999999996,14.0,330.99999999999994
7,15.0,164.2,100.70905761506403,108.42363607737977,219.9763639226202,47.4,67.99999999999999,166.0,241.5,293.0,14.999999999999998,328.0
8,15.0,130.0,80.51619180548185,85.40718459533772,174.59281540466228,42.8,64.5,122.99999999999999,169.5,230.79999999999998,23.0,300.0
9,15.0,160.66666666666666,86.20297199605349,112.92430415106183,208.40902918227147,41.8,88.0,177.0,214.0,258.2,29.999999999999996,285.0
10,15.0,139.4,90.74674334967304,89.14113052263454,189.65886947736547,41.4,47.5,114.99999999999999,208.0,253.39999999999998,34.0,297.0
11,15.0,142.33333333333334,82.54839850195819,96.61500744378598,188.0516592228807,41.8,72.0,138.0,193.5,259.79999999999995,34.0,270.0
12,15.0,148.6,76.21004808141397,106.39208467428345,190.80791532571652,40.2,87.5,159.0,193.0,239.19999999999996,37.99999999999999,260.0
13,15.0,134.2,64.70283720871244,98.36519943247505,170.03480056752494,53.800000000000004,82.0,128.0,198.0,213.2,37.0,227.99999999999997
14,15.0,150.26666666666668,117.8330942275475,85.00638421138723,215.52694912194613,48.6,63.99999999999999,116.0,193.5,208.99999999999997,37.0,509.99999999999994
15,15.0,127.66666666666667,64.38907035322362,92.00564167338544,163.3276916599479,48.4,67.5,140.99999999999997,173.0,210.2,40.0,233.0
16,15.0,126.13333333333334,59.472522667034674,93.19527248530267,159.071394181364,49.8,81.5,141.99999999999997,152.0,178.6,40.0,257.0
17,15.0,121.33333333333333,66.95058590020668,84.2536472312562,158.41301943541046,43.4,62.0,134.0,166.0,199.79999999999998,35.0,245.99999999999997
18,15.0,123.13333333333334,62.19424257536873,88.68788433474595,157.57878233192073,52.0,60.5,121.0,168.5,207.79999999999998,42.99999999999999,228.99999999999997
19,15.0,122.0,58.74278071145667,89.46609696902982,154.53390303097018,52.2,67.5,129.0,159.0,193.59999999999997,42.99999999999999,227.99999999999997
