scenario,section,run_id,source_name,n_rows,max_sample_idx,t_rel_min_s,t_rel_max_s,offset_us_mean,offset_us_std,offset_us_median,offset_us_p95,offset_us_max,stddev_us_mean,stddev_us_std,stddev_us_median,stddev_us_p95,stddev_us_max
high,sourcestats,run01,servergm,20,19,0.0,1172.0,-1.2561,2.634327,-0.0205,0.04505,0.084,71.7,71.515254,30.5,193.45,259.0
high,sourcestats,run02,servergm,20,19,0.0,1228.0,-8.40605,18.965035,-0.1915,0.1495,0.216,127.3,34.358941,122.5,178.3,203.0
high,sourcestats,run03,servergm,20,19,0.0,1179.0,-1.0439,3.080424,-0.118,-0.03585,-0.033,195.75,59.204263,196.0,301.2,362.0
high,sourcestats,run04,servergm,20,19,0.0,1169.0,-8.1035,17.374336,-0.5065,-0.0077,-0.002,151.5,64.770445,159.0,246.5,294.0
high,sourcestats,run05,servergm,20,19,0.0,1169.0,-5.0937,20.604056,-0.3825,0.64715,13.0,116.8,90.882573,91.0,245.65,410.0
high,sourcestats,run06,servergm,20,19,0.0,1169.0,-9.2989,15.269969,-2.3965,-0.0556,0.313,105.75,70.386059,93.5,236.2,240.0
high,sourcestats,run07,servergm,20,19,0.0,1228.0,-3.10705,5.818407,-0.053,0.03215,0.111,101.25,28.495383,96.5,146.2,169.0
high,sourcestats,run08,servergm,20,19,0.0,1171.0,-12.97475,22.655913,-4.8615,-0.2209,-0.124,112.3,46.556248,101.0,189.3,214.0
high,sourcestats,run09,servergm,20,19,0.0,1171.0,-8.31055,16.218516,-0.309,0.0467,0.991,106.35,43.054769,99.5,176.55,187.0
high,sourcestats,run10,servergm,20,19,0.0,1166.0,-1.96285,8.249366,-0.0235,-0.00065,0.006,56.5792,33.70478,55.5,99.75,133.0
high,sourcestats,run11,servergm,20,19,0.0,1264.0,-1.8276,4.869113,-0.155,-0.00475,-0.0,62.25,38.763622,57.0,107.5,174.0
high,sourcestats,run12,servergm,20,19,0.0,1171.0,-9.4726,20.501142,-2.264,0.0134,0.154,113.2,62.09636,102.5,227.75,261.0
high,sourcestats,run13,servergm,20,19,0.0,1180.0,-1.48565,5.089119,-0.2415,-0.0013,0.031,49.2586,32.644487,53.5,95.35,102.0
high,sourcestats,run14,servergm,20,19,0.0,1238.0,-3.42995,4.985273,-1.0385,-0.3585,-0.007,20.2,10.050399,19.0,44.35,51.0
high,sourcestats,run15,servergm,20,19,0.0,1168.0,-5.9854,17.754015,-1.743,-0.0019,-0.0,46.62025,42.642486,23.0,109.4,117.0
