scenario,section,run_id,n_rows,max_sample_idx,t_rel_min_s,t_rel_max_s,system_time_us_mean,system_time_us_std,system_time_us_median,system_time_us_p95,system_time_us_max,last_offset_us_mean,last_offset_us_std,last_offset_us_median,last_offset_us_p95,last_offset_us_max
high,tracking,run01,20,19,0.0,1172.0,-16.63705,37.423407,-0.0015,8.4371,9.864,-25.15115,51.033617,-5.621,7.80345,9.332
high,tracking,run02,20,19,0.0,1228.0,-47.63975,97.691418,-24.498,2.46565,33.486,-62.308,111.130868,-25.9465,11.7553,52.801
high,tracking,run03,20,19,0.0,1179.0,-39.9238,25.983167,-33.0295,-13.8449,-10.366,-30.71345,37.377544,-20.637,1.13215,14.834
high,tracking,run04,20,19,0.0,1169.0,-65.83695,73.865377,-38.928,0.22675,0.545,-131.09615,167.790342,-58.2785,2.91705,16.997
high,tracking,run05,20,19,0.0,1169.0,-27.7564,36.414979,-25.52,2.78475,53.377,-47.54225,61.001204,-25.8155,24.2514,55.704
high,tracking,run06,20,19,0.0,1169.0,-31.041,38.493855,-14.606,1.5139,17.738,-83.01745,71.393528,-78.0565,8.1803,19.909
high,tracking,run07,20,19,0.0,1228.0,-48.6603,64.614019,-20.7585,-0.38065,0.975,-34.1135,49.309462,-13.278,11.28135,16.133
high,tracking,run08,20,19,0.0,1171.0,-55.2481,47.11138,-50.627,0.27175,0.875,-133.19735,92.085854,-119.604,-27.82755,41.645
high,tracking,run09,20,19,0.0,1171.0,-41.52165,35.432653,-27.7905,0.1131,0.191,-65.5518,62.100014,-41.4515,-5.6008,2.117
high,tracking,run10,20,19,0.0,1166.0,-17.7244,19.525273,-12.511,0.10615,0.128,-58.71005,42.662403,-52.157,-2.04195,15.496
high,tracking,run11,20,19,0.0,1264.0,-24.0759,25.957606,-19.701,0.62665,10.025,-25.10365,33.800364,-23.87,22.80275,23.311
high,tracking,run12,20,19,0.0,1171.0,-56.88645,58.244546,-39.238,2.5016,13.039,-109.73515,100.355149,-96.111,8.3756,9.964
high,tracking,run13,20,19,0.0,1180.0,-10.9538,12.66501,-5.284,0.1517,1.628,-18.16955,19.088231,-15.4865,9.508,13.023
high,tracking,run14,20,19,0.0,1238.0,-4.6124,12.949119,0.0055,0.23925,3.721,-25.33625,18.848267,-20.5965,-6.77085,-2.892
high,tracking,run15,20,19,0.0,1168.0,-30.08015,58.676515,0.001,0.2205,0.23,-69.9303,66.737604,-38.817,-10.98185,-9.497
