scenario,section,run_id,source_name,n_rows,max_sample_idx,t_rel_min_s,t_rel_max_s,offset_us_mean,offset_us_std,offset_us_median,offset_us_p95,offset_us_max,stddev_us_mean,stddev_us_std,stddev_us_median,stddev_us_p95,stddev_us_max
low,sourcestats,run01,servergm,20,19,0.0,1169.0,-1.0491,5.329473,-0.007,2.30185,4.541,43.7064,45.285036,18.5,140.75,155.0
low,sourcestats,run02,servergm,20,19,0.0,1169.0,-0.00925,0.689702,-0.002,0.8477,1.678,117.9,59.318853,91.5,229.35,255.0
low,sourcestats,run03,servergm,20,19,0.0,1169.0,-2.08115,9.493587,-0.004,4.83985,9.34,73.35,49.849537,57.0,169.45,178.0
low,sourcestats,run04,servergm,20,19,0.0,1169.0,-7.55585,23.310579,-0.026,0.00345,0.012,176.15,76.583133,165.5,228.4,464.0
low,sourcestats,run05,servergm,20,19,0.0,1172.0,-0.21905,1.002989,-0.006,0.0821,1.243,53.55,48.024637,34.5,147.4,155.0
low,sourcestats,run06,servergm,20,19,0.0,1169.0,-2.76485,9.819519,-0.013,0.01915,0.041,82.2,62.727145,55.0,183.0,221.0
low,sourcestats,run07,servergm,20,19,0.0,1169.0,-1.10055,2.297445,-0.22,-0.00575,-0.001,60.25,44.371488,41.5,141.45,169.0
low,sourcestats,run08,servergm,20,19,0.0,1168.0,-4.64635,11.282631,-0.2475,0.1434,0.151,74.7,58.278009,42.0,201.55,212.0
low,sourcestats,run09,servergm,20,19,0.0,1169.0,-7.90985,16.116615,-0.1435,0.0108,0.121,154.05,66.553085,141.5,269.75,284.0
low,sourcestats,run10,servergm,20,19,0.0,1176.0,-8.52045,16.92728,-0.627,0.02185,0.209,152.6,70.261467,161.0,226.85,300.0
low,sourcestats,run11,servergm,20,19,0.0,1176.0,-1.149,3.492629,-0.031,0.8477,2.989,154.45,65.679024,176.0,220.2,281.0
low,sourcestats,run12,servergm,20,19,0.0,1168.0,-1.9832,3.262284,-0.3525,0.00325,0.027,116.05,53.86677,99.5,201.5,211.0
low,sourcestats,run13,servergm,20,19,0.0,1169.0,-0.7941,1.261818,-0.247,-0.00475,0.0,155.3176,78.647919,179.0,250.9,268.0
low,sourcestats,run14,servergm,20,19,0.0,1169.0,-0.07965,6.65631,0.0005,1.2622,20.0,88.85,57.232927,71.0,193.35,200.0
low,sourcestats,run15,servergm,20,19,0.0,1169.0,-4.5054,15.319207,-0.3175,0.7624,1.568,140.15,40.380135,148.5,201.1,203.0
