scenario,section,run_id,n_rows,max_sample_idx,t_rel_min_s,t_rel_max_s,system_time_us_mean,system_time_us_std,system_time_us_median,system_time_us_p95,system_time_us_max,last_offset_us_mean,last_offset_us_std,last_offset_us_median,last_offset_us_p95,last_offset_us_max
low,tracking,run01,20,19,0.0,1169.0,-4.0316,22.00329,0.0035,16.21265,32.983,-6.4686,44.037832,-3.029,26.54665,81.792
low,tracking,run02,20,19,0.0,1169.0,-12.83845,31.76518,-8.2655,19.18375,30.237,-9.96535,29.870297,-2.0795,17.73785,26.114
low,tracking,run03,20,19,0.0,1169.0,-2.42835,30.147229,-0.409,42.9179,46.849,18.85975,59.402108,1.4035,164.72385,189.174
low,tracking,run04,20,19,0.0,1169.0,-38.1135,47.097895,-17.219,-7.0558,-2.682,-35.17995,65.878307,-5.6515,6.2411,11.107
low,tracking,run05,20,19,0.0,1172.0,-4.0609,10.651535,-3.873,3.8373,32.381,-3.0942,15.70678,-2.404,7.80735,50.431
low,tracking,run06,20,19,0.0,1169.0,-15.92605,19.220106,-6.7005,0.00535,0.05,-18.37595,31.639831,-6.405,3.2968,8.309
low,tracking,run07,20,19,0.0,1169.0,-18.2393,17.316067,-13.076,0.0276,0.096,-25.6946,23.037892,-20.356,0.2832,3.08
low,tracking,run08,20,19,0.0,1168.0,-26.31055,38.894016,-7.5605,8.4064,11.397,-59.41135,81.415268,-36.397,21.4283,40.643
low,tracking,run09,20,19,0.0,1169.0,-29.8399,46.053425,-11.923,21.3086,33.081,-68.43165,95.184287,-28.619,18.30995,19.487
low,tracking,run10,20,19,0.0,1176.0,-59.82705,75.300173,-38.5105,2.24515,40.457,-98.3587,106.076542,-59.649,24.43105,36.269
low,tracking,run11,20,19,0.0,1176.0,-26.2132,24.602114,-20.706,-2.35905,2.808,-19.56645,37.436267,-6.9535,4.93755,15.512
low,tracking,run12,20,19,0.0,1168.0,-39.04145,35.44883,-30.8015,0.07865,0.3,-60.57325,48.76452,-54.7255,2.93825,19.036
low,tracking,run13,20,19,0.0,1169.0,-44.0019,34.865508,-32.8255,0.46145,0.66,-59.08095,82.906912,-30.989,-12.73985,-12.718
low,tracking,run14,20,19,0.0,1169.0,-7.6481,31.524168,-2.9715,37.6157,66.661,-18.1692,45.761689,-0.155,18.12905,21.417
low,tracking,run15,20,19,0.0,1169.0,-50.7332,37.828887,-49.614,2.07115,9.997,-69.0664,72.636207,-53.897,-1.30875,5.498
