scenario,section,run_id,source_name,n_rows,max_sample_idx,t_rel_min_s,t_rel_max_s,offset_us_mean,offset_us_std,offset_us_median,offset_us_p95,offset_us_max,stddev_us_mean,stddev_us_std,stddev_us_median,stddev_us_p95,stddev_us_max
medium,sourcestats,run01,servergm,20,19,0.0,1169.0,1.32735,4.394323,-0.009,13.1,15.0,124.45,44.211781,137.0,174.05,175.0
medium,sourcestats,run02,servergm,20,19,0.0,1169.0,-0.804,1.840383,-0.268,0.06665,1.01,183.6,47.279015,184.0,260.25,265.0
medium,sourcestats,run03,servergm,20,19,0.0,1169.0,-0.0512,0.299335,-0.0135,0.0563,0.803,50.1,9.312696,48.5,62.15,65.0
medium,sourcestats,run04,servergm,20,19,0.0,1169.0,-3.98855,14.073031,-0.048,0.18475,2.175,198.25,54.333158,197.0,285.7,299.0
medium,sourcestats,run05,servergm,20,19,0.0,1169.0,-4.1328,7.665186,-0.225,0.0178,0.09,180.45,78.582491,160.0,308.2,331.0
medium,sourcestats,run06,servergm,20,19,0.0,1169.0,-2.55205,4.645832,-0.2635,0.03105,0.032,168.0,57.386043,157.0,254.4,300.0
medium,sourcestats,run07,servergm,20,19,0.0,1169.0,-1.12685,2.889258,-0.104,0.1505,1.832,173.35,56.166365,173.0,242.5,328.0
medium,sourcestats,run08,servergm,20,19,0.0,1169.0,-0.39225,1.309006,-0.022,0.24335,1.314,100.0,95.551584,43.0,233.4,336.0
medium,sourcestats,run09,servergm,20,19,0.0,1168.0,-0.17665,0.753057,-0.004,0.0043,0.029,52.2,28.903833,47.5,58.95,172.0
medium,sourcestats,run10,servergm,20,19,0.0,1169.0,-3.77735,10.312673,-0.7105,-0.0029,-0.001,161.55,44.53795,159.5,232.5,242.0
medium,sourcestats,run11,servergm,20,19,0.0,1169.0,-6.33355,11.813645,-1.69,0.048,0.219,142.75,68.719012,129.5,272.3,297.0
medium,sourcestats,run12,servergm,20,19,0.0,1169.0,-9.1388,22.389991,-0.026,0.01635,0.08,169.65,86.927844,149.0,217.4,510.0
medium,sourcestats,run13,servergm,20,19,0.0,1169.0,-1.46155,2.201178,-0.611,-0.00085,0.002,74.6314,73.895205,44.0,229.85,246.0
medium,sourcestats,run14,servergm,20,19,0.0,1169.0,-5.5288,10.475149,-1.122,-0.00375,0.001,188.5,81.676834,183.0,279.05,413.0
medium,sourcestats,run15,servergm,20,19,0.0,1238.0,-1.48935,4.758202,-0.0445,0.27745,3.82,146.0,40.502112,143.5,207.65,239.0
