scenario,section,run_id,n_rows,max_sample_idx,t_rel_min_s,t_rel_max_s,system_time_us_mean,system_time_us_std,system_time_us_median,system_time_us_p95,system_time_us_max,last_offset_us_mean,last_offset_us_std,last_offset_us_median,last_offset_us_p95,last_offset_us_max
medium,tracking,run01,20,19,0.0,1169.0,-7.29025,23.405726,-9.241,27.6122,30.029,5.4473,51.400354,-2.018,91.80215,173.334
medium,tracking,run02,20,19,0.0,1169.0,-41.26115,26.615748,-35.0975,-18.90605,0.226,-39.47875,37.230935,-27.1635,8.69745,11.955
medium,tracking,run03,20,19,0.0,1169.0,-3.7738,6.254094,-2.427,1.66225,3.491,-6.6694,11.842797,-3.1205,3.1866,6.599
medium,tracking,run04,20,19,0.0,1169.0,-24.21795,24.569333,-20.373,1.5273,10.976,-45.05975,98.938598,-9.5105,19.10675,19.121
medium,tracking,run05,20,19,0.0,1169.0,-39.8317,57.169924,-32.7495,34.31135,70.19,-69.0578,85.464773,-42.373,45.7798,48.949
medium,tracking,run06,20,19,0.0,1169.0,-43.59085,31.960935,-39.0745,-7.4419,8.501,-48.8575,54.621209,-28.956,19.8495,23.374
medium,tracking,run07,20,19,0.0,1169.0,-26.9249,33.280337,-29.3175,8.9559,84.726,-22.2234,46.686653,-21.7045,16.7985,123.835
medium,tracking,run08,20,19,0.0,1169.0,-19.54525,34.066661,-3.128,15.62525,16.618,-15.37625,43.159667,-5.237,24.87525,69.34
medium,tracking,run09,20,19,0.0,1168.0,-4.1356,7.805192,-2.8105,3.70625,10.152,-2.48925,7.473726,-1.5515,4.63705,10.642
medium,tracking,run10,20,19,0.0,1169.0,-55.8961,42.464932,-33.278,-20.0321,-18.286,-68.7309,56.057733,-47.531,-11.942,-9.719
medium,tracking,run11,20,19,0.0,1169.0,-53.60315,45.058223,-54.8485,5.7374,14.143,-92.5187,93.134013,-76.692,3.4391,14.024
medium,tracking,run12,20,19,0.0,1169.0,-23.3527,29.904723,-17.9355,1.17025,16.375,-27.03125,94.875447,-5.5705,25.0005,115.203
medium,tracking,run13,20,19,0.0,1169.0,-30.35165,30.830769,-23.487,0.05485,0.242,-55.26415,69.287023,-39.809,-7.10155,-4.072
medium,tracking,run14,20,19,0.0,1169.0,-68.30735,74.591935,-50.4905,1.0201,11.548,-100.90265,87.751099,-71.9505,-13.44115,12.301
medium,tracking,run15,20,19,0.0,1238.0,-14.036,33.868291,-12.436,28.13685,33.492,-36.97265,78.734461,-14.2745,20.6921,81.874
