sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,-50.76966666666667,64.15733156375,-86.30234623240878,-15.236987100924566,-146.1638,-74.076,-22.503,-9.009500000000001,-3.539600000000002,-197.28300000000002,3.01
1,15.0,-39.02719999999999,49.12514709712619,-66.23450535196378,-11.819894648036204,-118.14439999999999,-62.9345,-15.466999999999999,-4.845000000000001,3.516199999999996,-136.628,13.023
2,15.0,-67.68660000000001,75.37346672006005,-109.43118593343777,-25.94201406656226,-180.60379999999998,-92.344,-28.285,-10.8935,-7.353400000000001,-233.071,2.176
3,15.0,-100.343,89.0723267326695,-149.67451624023118,-51.01148375976883,-200.11540000000002,-169.77049999999997,-88.352,-18.838,-5.8338,-252.447,-1.602
4,15.0,-95.92133333333332,119.09950873334368,-161.88300251613197,-29.959664150534664,-274.52619999999996,-116.866,-57.766000000000005,-13.5705,-9.4968,-372.428,-2.892
5,15.0,-70.89973333333334,112.94548594626568,-133.45307934551764,-8.346387321149052,-145.09779999999998,-70.68950000000001,-37.143,-16.293499999999998,-1.1134000000000013,-441.119,4.005
6,15.0,-46.87093333333333,60.78592353905003,-80.53640367906601,-13.205462987600654,-106.3372,-75.5955,-41.221,-12.727,13.778999999999993,-198.045,52.800999999999995
7,15.0,-42.3818,54.88051528313903,-72.77663900637171,-11.986960993628287,-123.2124,-91.549,-28.427,8.659,14.8692,-129.33599999999998,16.133
8,15.0,-75.44626666666666,129.50246473907453,-147.16947382616326,-3.7230595071700634,-110.42,-74.8375,-39.915,-18.3815,-5.932000000000002,-524.337,9.323
9,15.0,-74.80539999999999,123.61940522876773,-143.27035337382893,-6.340446626171058,-145.9868,-89.4185,-26.785,-10.108,-1.7890000000000001,-485.05899999999997,-1.171
10,15.0,-87.60913333333333,121.41577922980586,-154.85363793544167,-20.364628731224997,-177.2876,-134.192,-39.743,-13.7985,3.475999999999998,-457.048,23.311
11,15.0,-76.99026666666666,99.77068231303986,-132.24692398512272,-21.7336093482106,-227.34759999999997,-121.8305,-27.753,-11.945,7.407599999999999,-292.683,14.834000000000001
12,15.0,-50.29573333333333,52.27245384721789,-79.24613241317424,-21.34533425349242,-118.437,-77.9625,-37.637,-14.229499999999998,2.0113999999999965,-164.27100000000002,22.596
13,15.0,-40.986200000000004,55.41957315296774,-71.67958899417759,-10.292811005822418,-121.84219999999999,-59.37200000000001,-23.011,-9.562000000000001,8.6244,-168.16,16.997
14,15.0,-73.73953333333333,79.03161933308417,-117.51013813995331,-29.96892852671334,-184.7496,-146.98149999999998,-29.549,-12.9415,-8.372000000000002,-224.016,-0.516
15,15.0,-70.26166666666668,86.53575274554498,-118.18833534727432,-22.334997986059044,-185.53279999999998,-82.3765,-45.309999999999995,-22.613,-8.530800000000005,-286.337,55.704
16,15.0,-39.7276,51.87847094040347,-68.459796918981,-10.995403081019013,-91.7208,-57.5505,-34.756,-8.315999999999999,8.867999999999999,-172.07100000000003,41.644999999999996
17,15.0,-48.12233333333334,44.90112827355338,-72.99022238353686,-23.254444283129818,-117.3676,-72.7775,-21.727999999999998,-15.702000000000002,-8.609000000000002,-135.254,2.117
18,15.0,-27.1684,35.518894593079416,-46.84006447456113,-7.496735525438865,-71.86439999999999,-38.1375,-19.804,-7.1225,10.6012,-110.423,22.776
19,15.0,-47.181933333333326,42.27382805584607,-70.59472731515739,-23.76913935150927,-98.7314,-61.629,-51.097,-16.32,-3.807000000000005,-146.79299999999998,8.292
