sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,-29.7806,33.531176518066204,-48.35139341734926,-11.209806582650739,-78.7088,-43.7205,-18.788999999999998,-5.7989999999999995,0.2737999999999998,-105.239,0.606
1,15.0,-17.587533333333337,23.94133030934063,-30.847118754433517,-4.327947912233158,-40.7512,-19.909999999999997,-13.908,0.101,0.6665999999999999,-88.247,1.628
2,15.0,-51.2772,66.99400178288884,-88.38093140773134,-14.173468592268655,-140.239,-90.2945,-18.467000000000002,-5.592499999999999,-1.3020000000000012,-214.957,0.020999999999999998
3,15.0,-51.34519999999999,52.68406159524367,-80.52356252315906,-22.166837476840932,-130.2108,-95.5955,-27.321,-14.959999999999997,0.020599999999999997,-138.19,0.191
4,15.0,-36.2414,48.55392563620077,-63.13234198962584,-9.350458010374151,-53.3902,-41.9975,-25.136000000000003,-15.409499999999998,0.06819999999999997,-199.458,0.22
5,15.0,-40.79386666666666,73.6144712499487,-81.56425649696766,-0.023476836365666998,-53.516999999999996,-47.3535,-17.207,-3.4535,0.06699999999999996,-296.08299999999997,0.12200000000000001
6,15.0,-26.754733333333334,39.25707531582531,-48.49673917875057,-5.0127274879160915,-72.164,-36.9555,-30.639000000000003,0.122,12.985199999999995,-119.423,33.486
7,15.0,-24.665533333333332,27.71923685526164,-40.01746174086436,-9.313604925802306,-63.998,-45.742000000000004,-21.709,-0.35999999999999993,0.21719999999999998,-73.821,5.356999999999999
8,15.0,-39.28600000000001,54.113144390777585,-69.25584090620505,-9.316159093794969,-91.1766,-61.36150000000001,-19.433,-3.83,0.048799999999999975,-196.363,0.23099999999999998
9,15.0,-28.4064,35.36310484065884,-47.99178240488238,-8.821017595117624,-74.8004,-41.563,-14.763,-2.4340000000000006,0.048599999999999983,-118.143,0.5449999999999999
10,15.0,-59.12019999999999,110.24213180942084,-120.17632949840544,1.9359294984054571,-85.4264,-44.0835,-34.921,-6.3915,0.4471999999999998,-444.737,4.776
11,15.0,-36.71826666666667,51.4427862087952,-65.20916542715833,-8.227367906175022,-97.716,-50.106,-17.701,0.03,0.18719999999999998,-176.376,7.625
12,15.0,-39.46720000000002,62.06867557126886,-73.8431053936406,-5.091294606359433,-88.1646,-46.5535,-14.028,-0.599,0.10879999999999997,-235.503,8.362
13,15.0,-25.09526666666667,35.189733972661216,-44.58462993626951,-5.6059033970638374,-77.85019999999999,-29.545,-18.66,0.006,0.025199999999999993,-108.323,9.864
14,15.0,-38.703266666666664,50.800426499147015,-66.8384030977012,-10.568130235632129,-97.7584,-55.558499999999995,-12.832,-1.8085,0.044999999999999984,-175.185,0.18
15,15.0,-34.647733333333335,56.22566383075903,-65.7875648627094,-3.507901803957271,-121.6428,-53.829499999999996,-15.770999999999999,0.006,2.5825999999999993,-149.50799999999998,53.377
16,15.0,-22.772466666666666,27.4757252806043,-37.989529447121996,-7.5554038862113355,-58.375,-34.5095,-12.25,0.0075,0.12959999999999994,-90.64200000000001,0.975
17,15.0,-39.03373333333333,36.03764364119169,-58.992700026555035,-19.074766640111626,-86.3866,-58.6325,-30.038,-12.8485,-6.724,-124.008,0.018
18,15.0,-25.90533333333334,31.24977422242249,-43.21260261780767,-8.598064048859008,-56.348200000000006,-47.3925,-21.087999999999997,0.001,6.037399999999996,-98.04,13.039
19,15.0,-23.862199999999994,28.69039795372063,-39.751992986327735,-7.972407013672255,-63.44299999999999,-41.214999999999996,-12.681,0.0275,0.06219999999999999,-82.202,1.947
