sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,-46.66133333333334,76.36369426507288,-88.95434354185414,-4.368323124812541,-139.4892,-40.599000000000004,-15.381,-5.922000000000001,-0.07360000000000255,-266.74,3.639
1,15.0,-19.259666666666668,32.96070699585594,-37.514513172873315,-1.0048201604600209,-63.9374,-18.000500000000002,-7.486999999999999,-2.367,2.293799999999998,-108.051,14.695
2,15.0,-37.50806666666667,51.15326675990033,-65.83861895459019,-9.177514378743158,-115.0996,-66.13250000000001,-16.241,-2.0955,10.884399999999992,-142.662,18.278
3,15.0,-50.6866,61.237902069131756,-84.6023926064712,-16.77080739352879,-116.60839999999999,-96.96849999999999,-61.152,5.6265,23.5626,-148.977,50.431
4,15.0,-57.92766666666667,83.40308547706876,-104.1193495003918,-11.735983832941528,-181.98819999999998,-88.172,-18.723,-4.636,5.014599999999996,-248.36900000000003,17.956
5,15.0,-29.389533333333326,86.66125357543974,-77.38570896918978,18.606642302523134,-116.5782,-41.736000000000004,-9.072999999999999,-2.8840000000000003,2.6043999999999996,-247.19599999999997,163.437
6,15.0,-15.378333333333334,30.09820297356796,-32.04782029137143,1.2911536247047621,-55.846399999999996,-29.0385,-8.325000000000001,0.22250000000000014,19.579400000000003,-82.158,21.416999999999998
7,15.0,-32.2508,107.32209259460846,-91.689704853764,27.188104853763996,-151.8656,-61.509,-16.558,6.205,55.99399999999998,-280.322,189.17399999999998
8,15.0,-22.74413333333333,49.07340139579058,-49.9227800210471,4.434513354380439,-77.2862,-35.421499999999995,-15.055000000000001,-1.6995,18.432399999999994,-141.893,65.79
9,15.0,-55.43766666666667,116.41628187958361,-119.9132665620899,9.037933228756557,-199.62359999999998,-35.507000000000005,-15.024999999999999,0.12749999999999995,11.3854,-377.901,23.808
10,15.0,-42.00886666666667,63.13946855161953,-76.97781642366641,-7.039916909666928,-140.117,-59.7395,-3.504,-0.43400000000000005,2.3515999999999995,-186.296,3.033
11,15.0,-59.89093333333334,80.67613273848775,-104.57232988349256,-15.209536783174109,-176.67919999999998,-95.878,-19.314,0.265,2.099999999999999,-245.13300000000004,11.883
12,15.0,-28.296133333333337,36.05048118733085,-48.262209929698685,-8.330056736967986,-72.8868,-27.905,-24.396,-5.0045,-0.5470000000000019,-127.85600000000001,2.178
13,15.0,-42.69686666666667,52.0632336324461,-71.53139193023493,-13.862341403098416,-113.36359999999999,-87.0095,-21.783,-2.5145,2.1893999999999987,-150.417,11.093
14,15.0,-59.3474,90.9834863523517,-109.73738642142436,-8.95741357857564,-183.26919999999998,-60.038,-14.618,-9.5685,-0.9972000000000021,-305.79499999999996,5.563999999999999
15,15.0,-34.64293333333333,82.41533003848481,-80.28756103504058,11.001694368373919,-82.504,-34.2695,-11.892999999999999,1.6595,14.431599999999996,-306.76899999999995,40.642999999999994
16,15.0,-17.25946666666666,24.124130589416854,-30.62029357674651,-3.898639756586814,-44.7206,-41.647000000000006,-7.419,2.801,5.3434,-59.531000000000006,18.247999999999998
17,15.0,-35.36046666666667,70.91518480235655,-74.63589281844966,3.914959485116327,-85.3478,-50.591499999999996,-4.958,-0.7525,8.528599999999997,-262.351,20.417
18,15.0,-11.192066666666669,14.131344029025218,-19.018522458670418,-3.365610874662922,-28.552,-16.157999999999998,-7.118,-1.3679999999999999,1.1797999999999993,-46.86,3.968
19,15.0,-12.163533333333332,41.046103275753346,-34.89636837449278,10.569301707826115,-19.837599999999995,-12.863,-2.771,1.715,9.869799999999996,-151.62800000000001,36.269
