sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,-34.756600000000006,30.209510661379472,-51.487733231469534,-18.025466768530478,-79.2248,-40.926,-29.747,-15.426000000000002,-2.7610000000000023,-102.003,0.67
1,15.0,-21.078933333333335,16.27629641299917,-30.09334230053716,-12.064524366129511,-40.413199999999996,-22.6605,-15.431,-12.091999999999999,-6.704199999999999,-64.85600000000001,-6.501
2,15.0,-39.53913333333334,36.534820525604005,-59.77345479101814,-19.304811875648543,-87.4758,-67.8105,-29.817,-13.341999999999999,-0.5360000000000008,-102.287,15.33
3,15.0,-34.319266666666664,49.05168037236218,-61.485883456214324,-7.152649877119007,-96.968,-61.350500000000004,-43.36,-6.4215,32.7422,-115.54599999999999,42.711
4,15.0,-26.020933333333335,43.2455022359331,-49.971876057348,-2.069990609318669,-91.5098,-50.2685,-7.834,0.272,8.894599999999995,-109.428,36.087
5,15.0,-14.796533333333336,21.16288472729917,-26.517313848568122,-3.0757528180985503,-44.033,-33.902,-5.180000000000001,0.15700000000000003,2.3895999999999997,-50.205,20.689
6,15.0,-15.014866666666668,39.75091306923773,-37.03037794352527,7.000644610191928,-66.5206,-19.7745,-12.831,1.1455,12.967399999999998,-100.092,66.661
7,15.0,-16.384133333333335,33.13784715152895,-34.73708654435984,1.9688198776931713,-46.1446,-20.6335,-6.202999999999999,-0.006000000000000005,0.26959999999999995,-114.199,30.237
8,15.0,-15.610800000000001,28.451414102942984,-31.368234978535106,0.146634978535106,-55.782,-29.393,-13.304,-2.4465000000000003,10.392599999999995,-60.601,46.849
9,15.0,-21.921,28.97059792765269,-37.965977992396205,-5.876022007603794,-51.894999999999996,-36.409000000000006,-14.702,-3.3785,0.058999999999999664,-97.797,18.602
10,15.0,-40.12006666666666,58.57048099569156,-72.55854380568766,-7.681589527645649,-142.9506,-55.314,-11.661000000000001,-1.44,1.6449999999999991,-158.57299999999998,8.909
11,15.0,-44.18706666666667,59.5884086085141,-77.18930939265888,-11.184823940674441,-117.1392,-89.77850000000001,-16.529,-1.5540000000000003,2.5679999999999996,-181.762,16.043
12,15.0,-25.309466666666662,25.561845914416683,-39.466552970721054,-11.152380362612266,-61.903600000000004,-47.06099999999999,-19.329,-4.984,1.6069999999999987,-67.466,5.465
13,15.0,-27.4722,36.374993264996924,-47.61800326812482,-7.326396731875178,-90.3254,-32.594,-14.256,-3.8689999999999998,1.635799999999999,-102.831,9.142
14,15.0,-22.963666666666665,32.76988300399069,-41.11282785848853,-4.8145054748448,-49.673199999999994,-27.858,-11.789,-0.298,0.4001999999999998,-123.707,2.335
15,15.0,-35.072,73.66192724971874,-75.86867270074153,5.724672700741522,-76.2428,-24.698,-11.42,1.1415000000000002,4.496,-283.6,11.397
16,15.0,-19.843799999999998,32.47665636202629,-37.83056153997994,-1.857038460020057,-55.7294,-35.173,-6.091,0.0055,4.267799999999999,-98.75200000000001,33.080999999999996
17,15.0,-26.999533333333332,52.85749655423488,-56.2739504877111,2.2748838210444333,-67.25280000000001,-30.887499999999996,-4.064,-0.01,4.785599999999997,-196.06699999999998,9.997
18,15.0,-13.2306,14.461667053677752,-21.24000077899253,-5.221199221007472,-34.957,-25.079,-8.467,-1.7145000000000001,0.14879999999999996,-38.077999999999996,3.738
19,15.0,-11.030733333333332,30.380154291592273,-27.85637525592979,5.794908589263125,-24.81,-15.151500000000002,-5.404,-0.684,8.892999999999995,-104.603,40.457
