sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,-41.2716,59.29091916715168,-74.10908217974632,-8.434117820253675,-95.3336,-48.0145,-24.593999999999998,-9.0695,4.817399999999993,-220.16,19.105999999999998
1,15.0,-40.19706666666666,53.04690086338243,-69.57638286315348,-10.817750470179828,-126.4152,-75.726,-11.711,-7.478999999999999,2.659399999999998,-141.352,6.922
2,15.0,-87.05986666666668,97.00896413429804,-140.78698332773723,-33.33275000559613,-220.4374,-167.477,-33.478,-8.148,0.44439999999999835,-264.681,8.526
3,15.0,-47.709599999999995,48.443758941684116,-74.53952764006257,-20.879672359937416,-101.0576,-87.8895,-40.923,-9.3115,10.865799999999991,-122.83300000000001,23.374
4,15.0,-57.410199999999996,69.91411347115218,-96.1311961908238,-18.689203809176192,-165.92399999999998,-62.9775,-24.872,-15.4425,-5.4066,-226.958,-3.8279999999999994
5,15.0,-56.218533333333326,102.31139935152224,-112.88233278496726,0.4452661183006086,-163.71439999999998,-37.522000000000006,-25.025,0.6764999999999999,8.4704,-369.171,12.301
6,15.0,-44.39639999999999,64.69713295568603,-80.22804134331767,-8.564758656682315,-134.1236,-73.82300000000001,-16.415000000000003,-2.3965,4.805399999999997,-175.084,69.34
7,15.0,-58.89066666666666,112.54436694583205,-121.22185828803161,3.44052495469829,-202.944,-82.071,-17.873,-1.7105,13.598599999999992,-338.798,123.83500000000001
8,15.0,-31.45393333333333,32.02487122415654,-49.19047972026348,-13.717386946403185,-72.0652,-49.908,-28.677999999999997,-9.889500000000002,6.243199999999996,-95.926,15.082
9,15.0,-44.99766666666666,68.60570696551487,-82.99401942277487,-7.001313910558444,-134.76319999999998,-88.48649999999999,-26.55,-1.5165000000000002,14.95019999999999,-164.16600000000003,81.874
10,15.0,-26.857333333333333,45.02707624413602,-51.79497698167224,-1.9196896849944238,-98.7636,-31.6025,-18.362000000000002,-0.15850000000000009,14.324399999999999,-126.707,19.121
11,15.0,-12.390266666666665,56.790061402208984,-43.8426822385085,19.06214890517517,-24.977,-18.493000000000002,-1.9580000000000002,12.085,19.8062,-204.81199999999998,48.949000000000005
12,15.0,-42.544733333333326,58.04432606387574,-74.69180660410633,-10.39766006256032,-117.77359999999999,-49.6475,-14.796000000000001,-11.542,0.3807999999999987,-198.694,3.702
13,15.0,-49.50493333333334,67.51399331404951,-86.89665509233532,-12.113211574331352,-155.6694,-92.669,-16.786,-1.5624999999999996,3.2937999999999996,-171.857,16.918999999999997
14,15.0,-29.012,60.894754496121074,-62.73774491498586,4.71374491498586,-112.66659999999999,-45.46,-20.421,-5.9319999999999995,0.396999999999998,-141.261,115.203
15,15.0,-47.14639999999999,57.74179208313012,-79.12591887389318,-15.166881126106798,-135.6136,-79.095,-38.845,-0.8684999999999998,12.880399999999998,-150.718,14.668
16,15.0,-27.2512,121.7969182539995,-94.70679335044903,40.20439335044904,-56.06099999999999,-25.46,-10.565,-2.548,32.47099999999999,-422.502,173.334
17,15.0,-42.6174,110.22406359372842,-103.66352265892388,18.42872265892388,-202.33319999999998,-19.5555,-0.911,2.598,6.7867999999999995,-325.56,87.511
18,15.0,-16.775799999999997,25.461977126127277,-30.87757531205373,-2.674024687946263,-47.181200000000004,-33.94499999999999,-8.604,-2.981,10.764399999999995,-72.152,21.416
19,15.0,-29.87453333333333,52.243733911168256,-58.80902626090875,-0.9400404057579053,-45.1228,-32.3765,-20.097,-1.961,1.4221999999999988,-208.65599999999998,5.5040000000000004
