sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,-38.274,33.14829938969074,-56.63274204326587,-19.91525795673413,-73.1644,-55.67,-28.495,-17.343,-3.752400000000003,-122.29100000000001,1.03
1,15.0,-23.649800000000003,26.391817688172107,-38.26655506468791,-9.033044935312098,-50.6772,-29.758000000000003,-18.598,-3.3735,0.31779999999999997,-96.30499999999999,3.367
2,15.0,-42.779266666666665,80.64158141383271,-87.44152742801398,1.8829940946806545,-111.98339999999999,-34.3265,-12.948,0.07600000000000001,0.25039999999999996,-301.61400000000003,2.406
3,15.0,-42.888733333333334,33.69994814423028,-61.55299865741735,-24.224468009249325,-83.6312,-71.502,-38.611,-10.28,-8.594600000000002,-90.842,-4.019
4,15.0,-40.7082,36.157149494947745,-60.73335341115782,-20.68304658884217,-75.34479999999999,-58.0015,-28.901,-16.218,-1.8430000000000015,-134.201,0.27399999999999997
5,15.0,-46.76153333333333,51.90047717763938,-75.50591811233114,-18.017148554335524,-123.99479999999998,-62.732,-29.775,-11.811499999999999,-0.42260000000000364,-164.189,11.548
6,15.0,-44.88366666666666,53.74601075783162,-74.65017552306048,-15.11715781027285,-117.88080000000001,-70.6195,-27.155,-7.148000000000001,8.022599999999995,-167.41600000000003,16.375
7,15.0,-24.3542,49.58634402044868,-51.81693309644285,3.1085330964428515,-81.81060000000001,-31.995,-21.363,-1.766,10.147599999999994,-135.091,84.726
8,15.0,-33.75313333333333,34.769187746514596,-53.00958270312096,-14.4966839635457,-57.5768,-49.4205,-28.139,-12.711,-4.336400000000003,-135.065,10.152000000000001
9,15.0,-36.25560000000001,47.92002670938917,-62.795465551524885,-9.715734448475132,-97.8856,-52.318,-31.265,-2.497,16.40739999999999,-142.76600000000002,33.492
10,15.0,-31.602,40.58546029412151,-54.07971408987318,-9.124285910126819,-84.39139999999999,-45.727,-17.74,-1.0640000000000003,2.020599999999999,-132.297,9.741
11,15.0,-15.739666666666666,19.405438643647837,-26.487109185722467,-4.992224147610864,-40.11579999999999,-30.135999999999996,-17.923000000000002,-1.107,0.9395999999999993,-46.991,22.789
12,15.0,-34.78373333333333,40.48063375680253,-57.203390648247904,-12.364076018418757,-97.2306,-37.136,-24.289,-6.0055000000000005,0.15559999999999993,-129.814,5.424
13,15.0,-26.464066666666668,43.725409163268424,-50.68079942051513,-2.247333912818206,-52.96059999999999,-32.882,-18.286,-4.837000000000001,6.820199999999995,-162.869,30.029
14,15.0,-26.3392,28.719796244303087,-42.245274836173834,-10.433125163826169,-55.061,-40.7785,-26.849999999999998,-0.001,2.381199999999999,-93.124,18.623
15,15.0,-28.391799999999996,33.744975173455714,-47.081002941691665,-9.702597058308324,-59.88440000000001,-44.048,-24.717000000000002,-0.5429999999999999,3.933599999999999,-114.25999999999999,14.143
16,15.0,-13.464999999999998,32.310073312027185,-31.359501746867743,4.429501746867748,-48.705,-27.460500000000003,-17.557000000000002,-0.938,11.160399999999996,-68.205,70.19
17,15.0,-26.0422,41.82045525167251,-49.20389952103724,-2.8805004789627624,-91.847,-37.045,-2.318,0.087,6.2706,-117.722,9.602
18,15.0,-14.156933333333335,29.143516160709297,-30.29767977520393,1.9838131085372623,-48.9204,-41.024,-4.81,3.253000000000001,21.103399999999993,-57.868,32.422999999999995
19,15.0,-16.865133333333333,19.959795600394404,-27.919599034759848,-5.810667631906815,-45.9964,-28.195500000000003,-11.14,-3.972,0.3515999999999999,-51.480999999999995,18.207
