sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,system_time_s,system_time_us,last_offset_s,last_offset_us,scenario,run_id
0,2026-04-06T06:06:25+00:00,1775455585.0,0.0,0,-4.9601e-05,-49.601,-4.0297e-05,-40.297,high,run03
1,2026-04-06T06:07:27+00:00,1775455647.0,62.0,62,-4.1022e-05,-41.022,-2.7292e-05,-27.291999999999998,high,run03
2,2026-04-06T06:08:29+00:00,1775455709.0,124.0,124,-2.6802e-05,-26.802,-6.743e-06,-6.742999999999999,high,run03
3,2026-04-06T06:09:32+00:00,1775455772.0,187.0,187,-1.7908e-05,-17.907999999999998,-5.535e-06,-5.535,high,run03
4,2026-04-06T06:10:33+00:00,1775455833.0,248.0,248,-2.9205e-05,-29.205,-2.2953e-05,-22.953,high,run03
5,2026-04-06T06:11:36+00:00,1775455896.0,311.0,311,-1.7207e-05,-17.207,4.11e-07,0.41100000000000003,high,run03
6,2026-04-06T06:12:37+00:00,1775455957.0,372.0,372,-3.0643e-05,-30.642999999999997,-1.909e-05,-19.09,high,run03
7,2026-04-06T06:13:40+00:00,1775456020.0,435.0,435,-2.6971e-05,-26.971,-2.2184e-05,-22.184,high,run03
8,2026-04-06T06:14:42+00:00,1775456082.0,497.0,497,-6.5195e-05,-65.19500000000001,-6.434e-05,-64.34,high,run03
9,2026-04-06T06:15:45+00:00,1775456145.0,560.0,560,-2.3103e-05,-23.102999999999998,-1.655e-06,-1.655,high,run03
10,2026-04-06T06:16:46+00:00,1775456206.0,621.0,621,-4.0438e-05,-40.438,-1.6869e-05,-16.869,high,run03
11,2026-04-06T06:17:48+00:00,1775456268.0,683.0,683,-1.0366e-05,-10.366,1.4834e-05,14.834000000000001,high,run03
12,2026-04-06T06:18:50+00:00,1775456330.0,745.0,745,-1.4028e-05,-14.028,-4.249e-06,-4.2490000000000006,high,run03
13,2026-04-06T06:19:52+00:00,1775456392.0,807.0,807,-2.0979e-05,-20.979,-9.729e-06,-9.729,high,run03
14,2026-04-06T06:20:54+00:00,1775456454.0,869.0,869,-4.5552e-05,-45.552,-4.6602e-05,-46.602,high,run03
15,2026-04-06T06:21:56+00:00,1775456516.0,931.0,931,-0.000120981,-120.981,-0.000152882,-152.88199999999998,high,run03
16,2026-04-06T06:22:59+00:00,1775456579.0,994.0,994,-3.5416e-05,-35.416000000000004,-6.444e-06,-6.444,high,run03
17,2026-04-06T06:24:00+00:00,1775456640.0,1055.0,1055,-7.5349e-05,-75.349,-6.8538e-05,-68.538,high,run03
18,2026-04-06T06:25:03+00:00,1775456703.0,1118.0,1118,-4.6769e-05,-46.769,-5.3289e-05,-53.288999999999994,high,run03
19,2026-04-06T06:26:04+00:00,1775456764.0,1179.0,1179,-6.0941e-05,-60.940999999999995,-6.0823e-05,-60.823,high,run03
