sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,source,offset_s,offset_us,stddev_s,stddev_us,scenario,run_id
0,2026-04-06T09:39:55+00:00,1775468395.0,0.0,0,servergm,-2.56e-07,-0.256,3.2e-05,32.0,high,run12
1,2026-04-06T09:40:56+00:00,1775468456.0,61.0,61,servergm,6.000000000000001e-09,0.006000000000000001,4.4e-05,44.0,high,run12
2,2026-04-06T09:41:58+00:00,1775468518.0,123.0,123,servergm,-2.933e-06,-2.9330000000000003,5.3e-05,53.0,high,run12
3,2026-04-06T09:43:00+00:00,1775468580.0,185.0,185,servergm,-2.199e-06,-2.199,6.3e-05,63.0,high,run12
4,2026-04-06T09:44:01+00:00,1775468641.0,246.0,246,servergm,-6.4e-05,-64.0,0.000226,226.0,high,run12
5,2026-04-06T09:45:03+00:00,1775468703.0,308.0,308,servergm,-1.232e-06,-1.232,0.000127,127.0,high,run12
6,2026-04-06T09:46:05+00:00,1775468765.0,370.0,370,servergm,-1.3200000000000002e-07,-0.132,9.9e-05,99.0,high,run12
7,2026-04-06T09:47:06+00:00,1775468826.0,431.0,431,servergm,-2.183e-06,-2.1830000000000003,0.000106,106.0,high,run12
8,2026-04-06T09:48:08+00:00,1775468888.0,493.0,493,servergm,-2.696e-06,-2.696,3.2999999999999996e-05,32.99999999999999,high,run12
9,2026-04-06T09:49:10+00:00,1775468950.0,555.0,555,servergm,-5.304e-06,-5.304,0.000183,183.0,high,run12
10,2026-04-06T09:50:11+00:00,1775469011.0,616.0,616,servergm,-2.728e-06,-2.7279999999999998,0.000103,103.0,high,run12
11,2026-04-06T09:51:13+00:00,1775469073.0,678.0,678,servergm,-7.099999999999999e-05,-70.99999999999999,0.000261,261.0,high,run12
12,2026-04-06T09:52:15+00:00,1775469135.0,740.0,740,servergm,-4.9000000000000005e-06,-4.9,0.000144,144.0,high,run12
13,2026-04-06T09:53:16+00:00,1775469196.0,801.0,801,servergm,-4e-09,-0.004,0.00014,140.0,high,run12
14,2026-04-06T09:54:18+00:00,1775469258.0,863.0,863,servergm,-2.3e-05,-23.0,0.00011499999999999999,114.99999999999999,high,run12
15,2026-04-06T09:55:20+00:00,1775469320.0,925.0,925,servergm,-2.329e-06,-2.329,0.00018099999999999998,180.99999999999997,high,run12
16,2026-04-06T09:56:21+00:00,1775469381.0,986.0,986,servergm,-4.705000000000001e-06,-4.705000000000001,0.000102,102.0,high,run12
17,2026-04-06T09:57:23+00:00,1775469443.0,1048.0,1048,servergm,-1.3e-08,-0.013000000000000001,9.7e-05,97.0,high,run12
18,2026-04-06T09:58:25+00:00,1775469505.0,1110.0,1110,servergm,1.54e-07,0.154,8.499999999999999e-05,84.99999999999999,high,run12
19,2026-04-06T09:59:26+00:00,1775469566.0,1171.0,1171,servergm,2e-09,0.002,7e-05,70.0,high,run12
