sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,source,offset_s,offset_us,stddev_s,stddev_us,scenario,run_id
0,2026-04-05T20:19:13+00:00,1775420353.0,0.0,0,servergm,-2.46e-07,-0.246,5.8e-05,58.0,low,run08
1,2026-04-05T20:20:14+00:00,1775420414.0,61.0,61,servergm,-1.051e-06,-1.051,0.00014,140.0,low,run08
2,2026-04-05T20:21:16+00:00,1775420476.0,123.0,123,servergm,-6.4220000000000005e-06,-6.422000000000001,0.00020099999999999998,200.99999999999997,low,run08
3,2026-04-05T20:22:17+00:00,1775420537.0,184.0,184,servergm,-1.95e-06,-1.95,0.000212,212.0,low,run08
4,2026-04-05T20:23:19+00:00,1775420599.0,246.0,246,servergm,-2.4999999999999998e-05,-24.999999999999996,0.000113,113.0,low,run08
5,2026-04-05T20:24:20+00:00,1775420660.0,307.0,307,servergm,-4.6e-05,-46.0,0.000103,103.0,low,run08
6,2026-04-05T20:25:22+00:00,1775420722.0,369.0,369,servergm,-2.7e-08,-0.027,0.000101,101.0,low,run08
7,2026-04-05T20:26:23+00:00,1775420783.0,430.0,430,servergm,1.43e-07,0.143,3.1e-05,31.0,low,run08
8,2026-04-05T20:27:25+00:00,1775420845.0,492.0,492,servergm,-1.23e-07,-0.123,0.000136,136.0,low,run08
9,2026-04-05T20:28:26+00:00,1775420906.0,553.0,553,servergm,-4.7000000000000004e-08,-0.04700000000000001,4.4999999999999996e-05,44.99999999999999,low,run08
10,2026-04-05T20:29:28+00:00,1775420968.0,615.0,615,servergm,-2.49e-07,-0.24900000000000003,3.6e-05,36.0,low,run08
11,2026-04-05T20:30:29+00:00,1775421029.0,676.0,676,servergm,-2.578e-06,-2.5780000000000003,2.7e-05,27.0,low,run08
12,2026-04-05T20:31:31+00:00,1775421091.0,738.0,738,servergm,-1.013e-06,-1.0130000000000001,3.2e-05,32.0,low,run08
13,2026-04-05T20:32:32+00:00,1775421152.0,799.0,799,servergm,-9.54e-07,-0.9540000000000001,3.4e-05,34.0,low,run08
14,2026-04-05T20:33:34+00:00,1775421214.0,861.0,861,servergm,-7.382000000000001e-06,-7.382000000000001,4.2e-05,42.0,low,run08
15,2026-04-05T20:34:35+00:00,1775421275.0,922.0,922,servergm,-1.5000000000000002e-08,-0.015000000000000001,3.1e-05,31.0,low,run08
16,2026-04-05T20:35:37+00:00,1775421337.0,984.0,984,servergm,-3.6000000000000005e-08,-0.036000000000000004,3.2e-05,32.0,low,run08
17,2026-04-05T20:36:38+00:00,1775421398.0,1045.0,1045,servergm,1.5100000000000002e-07,0.15100000000000002,3.9999999999999996e-05,40.0,low,run08
18,2026-04-05T20:37:40+00:00,1775421460.0,1107.0,1107,servergm,6.000000000000001e-09,0.006000000000000001,3.7999999999999995e-05,37.99999999999999,low,run08
19,2026-04-05T20:38:41+00:00,1775421521.0,1168.0,1168,servergm,-1.34e-07,-0.134,4.2e-05,42.0,low,run08
