sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,system_time_s,system_time_us,last_offset_s,last_offset_us,scenario,run_id
0,2026-04-05T23:02:45+00:00,1775430165.0,0.0,0,-7.4063e-05,-74.063,-9.7479e-05,-97.47900000000001,low,run15
1,2026-04-05T23:03:46+00:00,1775430226.0,61.0,61,-5.0478e-05,-50.478,-0.000108051,-108.051,low,run15
2,2026-04-05T23:04:48+00:00,1775430288.0,123.0,123,-8.5701e-05,-85.701,-0.000104065,-104.065,low,run15
3,2026-04-05T23:05:49+00:00,1775430349.0,184.0,184,-4.875e-05,-48.75,-8.0002e-05,-80.002,low,run15
4,2026-04-05T23:06:51+00:00,1775430411.0,246.0,246,-6.371e-05,-63.71,-5.1311e-05,-51.311,low,run15
5,2026-04-05T23:07:52+00:00,1775430472.0,307.0,307,-4.2377e-05,-42.376999999999995,-3.7003e-05,-37.003,low,run15
6,2026-04-05T23:08:54+00:00,1775430534.0,369.0,369,-0.000100092,-100.092,-8.2158e-05,-82.158,low,run15
7,2026-04-05T23:09:55+00:00,1775430595.0,430.0,430,-5.8261e-05,-58.260999999999996,-3.1051e-05,-31.051,low,run15
8,2026-04-05T23:10:57+00:00,1775430657.0,492.0,492,-1.308e-06,-1.308,-1.667e-06,-1.667,low,run15
9,2026-04-05T23:11:58+00:00,1775430718.0,553.0,553,-9.7797e-05,-97.797,-0.00029011,-290.11,low,run15
10,2026-04-05T23:13:00+00:00,1775430780.0,615.0,615,-6.0296e-05,-60.296,-8.8286e-05,-88.286,low,run15
11,2026-04-05T23:14:01+00:00,1775430841.0,676.0,676,-0.000120306,-120.306,-0.000196616,-196.61599999999999,low,run15
12,2026-04-05T23:15:03+00:00,1775430903.0,738.0,738,-2.4474e-05,-24.474,-2.4612e-05,-24.612000000000002,low,run15
13,2026-04-05T23:16:05+00:00,1775430965.0,800.0,800,-0.000102831,-102.831,-0.000103463,-103.463,low,run15
14,2026-04-05T23:17:06+00:00,1775431026.0,861.0,861,-3.4195e-05,-34.195,-5.6483e-05,-56.483000000000004,low,run15
15,2026-04-05T23:18:08+00:00,1775431088.0,923.0,923,-3.0903e-05,-30.903,-1.3902e-05,-13.902,low,run15
16,2026-04-05T23:19:09+00:00,1775431149.0,984.0,984,-2.2306e-05,-22.306,-6.115e-06,-6.115,low,run15
17,2026-04-05T23:20:11+00:00,1775431211.0,1046.0,1046,9.997e-06,9.997,5.498e-06,5.497999999999999,low,run15
18,2026-04-05T23:21:12+00:00,1775431272.0,1107.0,1107,-8.467e-06,-8.467,-1.1681e-05,-11.681000000000001,low,run15
19,2026-04-05T23:22:14+00:00,1775431334.0,1169.0,1169,1.654e-06,1.654,-2.771e-06,-2.771,low,run15
