sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,system_time_s,system_time_us,last_offset_s,last_offset_us,scenario,run_id
0,2026-04-05T23:49:25+00:00,1775432965.0,0.0,0,-1.9913e-05,-19.913,1.1955e-05,11.955,medium,run02
1,2026-04-05T23:50:26+00:00,1775433026.0,61.0,61,2.26e-07,0.226,-0.000137928,-137.928,medium,run02
2,2026-04-05T23:51:28+00:00,1775433088.0,123.0,123,-3.7082e-05,-37.082,8.526e-06,8.526,medium,run02
3,2026-04-05T23:52:30+00:00,1775433150.0,185.0,185,-7.251e-05,-72.50999999999999,-4.0923e-05,-40.923,medium,run02
4,2026-04-05T23:53:31+00:00,1775433211.0,246.0,246,-8.1152e-05,-81.152,-7.4327e-05,-74.327,medium,run02
5,2026-04-05T23:54:33+00:00,1775433273.0,308.0,308,-3.3624e-05,-33.624,-2.0645e-05,-20.645,medium,run02
6,2026-04-05T23:55:34+00:00,1775433334.0,369.0,369,-2.2272e-05,-22.272,-5.4501e-05,-54.501,medium,run02
7,2026-04-05T23:56:36+00:00,1775433396.0,431.0,431,-2.6794e-05,-26.794,-9.3157e-05,-93.157,medium,run02
8,2026-04-05T23:57:37+00:00,1775433457.0,492.0,492,-3.4704e-05,-34.704,-6.1426e-05,-61.426,medium,run02
9,2026-04-05T23:58:39+00:00,1775433519.0,554.0,554,-0.00010598,-105.98,-7.937e-05,-79.36999999999999,medium,run02
10,2026-04-05T23:59:40+00:00,1775433580.0,615.0,615,-9.1011e-05,-91.011,-6.7872e-05,-67.872,medium,run02
11,2026-04-06T00:00:42+00:00,1775433642.0,677.0,677,-4.3239e-05,-43.239,-2.4929e-05,-24.929000000000002,medium,run02
12,2026-04-06T00:01:43+00:00,1775433703.0,738.0,738,-3.7434e-05,-37.434000000000005,-1.2954e-05,-12.954,medium,run02
13,2026-04-06T00:02:45+00:00,1775433765.0,800.0,800,-2.2297e-05,-22.297,-1.6786e-05,-16.786,medium,run02
14,2026-04-06T00:03:46+00:00,1775433826.0,861.0,861,-2.4526e-05,-24.526,-2.0841e-05,-20.840999999999998,medium,run02
15,2026-04-06T00:04:48+00:00,1775433888.0,923.0,923,-4.1759e-05,-41.759,-3.8845e-05,-38.845,medium,run02
16,2026-04-06T00:05:49+00:00,1775433949.0,984.0,984,-2.2213e-05,-22.212999999999997,-1.2463e-05,-12.463000000000001,medium,run02
17,2026-04-06T00:06:51+00:00,1775434011.0,1046.0,1046,-2.5174e-05,-25.174,-1.2358e-05,-12.357999999999999,medium,run02
18,2026-04-06T00:07:52+00:00,1775434072.0,1107.0,1107,-3.5491e-05,-35.491,-1.1333e-05,-11.333,medium,run02
19,2026-04-06T00:08:54+00:00,1775434134.0,1169.0,1169,-4.8274e-05,-48.274,-2.9398e-05,-29.398,medium,run02
