sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,source,offset_s,offset_us,stddev_s,stddev_us,scenario,run_id
0,2026-04-06T04:06:38+00:00,1775448398.0,0.0,0,servergm,-3.2400000000000003e-06,-3.24,0.000118,118.0,medium,run13
1,2026-04-06T04:07:40+00:00,1775448460.0,62.0,62,servergm,-1.123e-06,-1.123,9.499999999999999e-05,94.99999999999999,medium,run13
2,2026-04-06T04:08:41+00:00,1775448521.0,123.0,123,servergm,-5.399e-06,-5.399,4.9e-05,49.0,medium,run13
3,2026-04-06T04:09:43+00:00,1775448583.0,185.0,185,servergm,-4.2510000000000005e-06,-4.251,2.9999999999999997e-05,29.999999999999996,medium,run13
4,2026-04-06T04:10:44+00:00,1775448644.0,246.0,246,servergm,-1e-09,-0.001,1.6e-05,16.0,medium,run13
5,2026-04-06T04:11:46+00:00,1775448706.0,308.0,308,servergm,-1.2000000000000002e-08,-0.012000000000000002,8.628000000000001e-06,8.628000000000002,medium,run13
6,2026-04-06T04:12:47+00:00,1775448767.0,369.0,369,servergm,-4.54e-07,-0.454,1.4e-05,14.0,medium,run13
7,2026-04-06T04:13:49+00:00,1775448829.0,431.0,431,servergm,-2.63e-07,-0.263,1.4999999999999999e-05,14.999999999999998,medium,run13
8,2026-04-06T04:14:50+00:00,1775448890.0,492.0,492,servergm,-9.68e-07,-0.9680000000000001,2.3e-05,23.0,medium,run13
9,2026-04-06T04:15:52+00:00,1775448952.0,554.0,554,servergm,-7.4e-08,-0.074,2.9999999999999997e-05,29.999999999999996,medium,run13
10,2026-04-06T04:16:53+00:00,1775449013.0,615.0,615,servergm,-1.064e-06,-1.064,3.4e-05,34.0,medium,run13
11,2026-04-06T04:17:55+00:00,1775449075.0,677.0,677,servergm,-7.000000000000001e-09,-0.007000000000000001,3.4e-05,34.0,medium,run13
12,2026-04-06T04:18:56+00:00,1775449136.0,738.0,738,servergm,-3.3000000000000004e-08,-0.033,3.9e-05,39.0,medium,run13
13,2026-04-06T04:19:58+00:00,1775449198.0,800.0,800,servergm,-4.42e-07,-0.442,6.4e-05,64.0,medium,run13
14,2026-04-06T04:20:59+00:00,1775449259.0,861.0,861,servergm,-6.44e-07,-0.644,5.1e-05,51.0,medium,run13
15,2026-04-06T04:22:01+00:00,1775449321.0,923.0,923,servergm,-1.331e-06,-1.331,5.2e-05,52.0,medium,run13
16,2026-04-06T04:23:02+00:00,1775449382.0,984.0,984,servergm,-5.78e-07,-0.5780000000000001,0.000195,195.0,medium,run13
17,2026-04-06T04:24:04+00:00,1775449444.0,1046.0,1046,servergm,-8.351e-06,-8.351,0.00024599999999999996,245.99999999999997,medium,run13
18,2026-04-06T04:25:05+00:00,1775449505.0,1107.0,1107,servergm,-9.98e-07,-0.998,0.00022899999999999998,228.99999999999997,medium,run13
19,2026-04-06T04:26:07+00:00,1775449567.0,1169.0,1169,servergm,2e-09,0.002,0.00015,150.0,medium,run13
