sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,-2.1064,3.3203670580223505,-3.945340863619328,-0.267459136380672,-7.4336,-2.232,-0.463,-0.263,-0.15960000000000002,-10.0,0.34099999999999997
1,15.0,-1.1898666666666666,1.8137719917606068,-2.1944000133272654,-0.18533332000606784,-2.1224000000000003,-1.3755000000000002,-0.7720000000000001,-0.1185,-0.002400000000000007,-7.164000000000001,0.02
2,15.0,-1.4873333333333334,2.683086539967055,-2.9733249097921064,-0.0013417568745606179,-4.8488,-1.2385000000000002,-0.14,-0.038500000000000006,0.0017999999999999993,-9.011000000000001,0.044000000000000004
3,15.0,-0.5109333333333335,0.7548516852115168,-0.928997838145689,-0.09286882852097789,-1.1446,-0.5635,-0.29200000000000004,-0.059000000000000004,0.007199999999999984,-2.8630000000000004,0.032
4,15.0,-0.8804666666666667,1.7230555445265863,-1.834757922948147,0.07382458961481364,-3.0902000000000003,-0.552,-0.2,-0.007500000000000001,0.004,-5.542000000000001,0.07600000000000001
5,15.0,-1.269066666666667,3.814779931242367,-3.3818314841368258,0.8436981508034915,-1.0574,-0.4675,-0.168,-0.07750000000000001,-0.0016000000000000068,-14.999999999999998,0.04
6,15.0,-10.587600000000004,40.22834042917646,-32.86752803147011,11.692328031470103,-0.9204,-0.29800000000000004,-0.09400000000000001,-0.003,0.004,-156.0,0.066
7,15.0,-1.3328000000000002,4.08506609843359,-3.595259194336742,0.9296591943367414,-1.3321999999999998,-0.41200000000000003,-0.199,-0.0025000000000000005,0.022599999999999988,-16.0,0.31700000000000006
8,15.0,-0.24620000000000003,0.3741289311759479,-0.4534063021283723,-0.038993697871627764,-0.8056,-0.36900000000000005,-0.062,-0.025,-0.00020000000000000118,-1.119,0.014000000000000002
9,15.0,-1.613866666666667,5.648760153048337,-4.7423568885917735,1.514623555258439,-0.9064000000000001,-0.17750000000000002,-0.032,-0.0005,0.010999999999999996,-22.0,0.058
