sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,127.26666666666667,49.46494670350866,99.87116784973378,154.66216548359955,55.0,97.0,137.0,153.0,180.59999999999997,40.0,205.0
1,15.0,135.2,61.6617501257581,101.04946481908581,169.35053518091416,57.0,97.99999999999999,137.0,164.0,195.79999999999995,41.0,276.0
2,15.0,140.66666666666666,68.34854650629968,102.81273878970406,178.52059454362927,55.39999999999999,100.49999999999999,141.99999999999997,168.0,196.79999999999998,44.0,314.0
3,15.0,135.46666666666667,55.26800503865125,104.85722164439571,166.07611168893763,59.400000000000006,104.0,140.0,165.5,200.79999999999998,44.99999999999999,233.0
4,15.0,138.0,57.20014984995356,106.32046242897025,169.67953757102975,59.400000000000006,99.0,140.99999999999997,183.5,206.4,44.99999999999999,226.0
5,15.0,131.13333333333333,50.112540014118885,103.37917362708389,158.88749303958275,61.2,103.5,136.0,153.5,183.79999999999998,48.0,227.99999999999997
6,15.0,145.06666666666666,67.37047537594604,107.75443039719909,182.37890293613424,64.0,108.0,141.99999999999997,164.0,218.2,49.99999999999999,307.0
7,15.0,145.2,62.661448617608116,110.4957951868324,179.90420481316758,64.80000000000001,108.99999999999997,146.0,171.99999999999997,216.6,48.0,278.0
8,15.0,141.13333333333333,53.78378229629484,111.34590521580121,170.92076145086543,65.0,107.5,150.99999999999997,178.5,190.0,46.0,236.0
9,15.0,135.26666666666668,51.67683463695544,106.64614331615573,163.88719001717763,67.39999999999999,98.0,143.0,163.5,184.6,46.0,237.99999999999997
