sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,105.8,51.1289685850539,77.48290493106934,134.11709506893067,40.599999999999994,56.5,113.0,147.5,161.0,23.0,179.0
1,15.0,118.6,71.73343512118818,78.87139685854248,158.3286031414575,40.599999999999994,63.5,113.0,150.99999999999997,185.99999999999997,23.0,298.0
2,15.0,205.06666666666666,284.70598033426563,47.38606924942846,362.74726408390484,40.599999999999994,63.5,113.0,150.99999999999997,572.9999999999998,23.0,950.0
3,15.0,164.8,175.53274012885132,67.58354076965306,262.016459230347,44.6,94.0,113.0,155.99999999999997,296.9999999999999,23.0,723.9999999999999
4,15.0,222.6,297.2194475467579,57.988986215988575,387.2110137840114,44.6,94.0,122.99999999999999,173.5,577.5999999999998,23.0,1045.0
5,15.0,146.86666666666667,121.30826533297405,79.68170719762226,214.0516261357111,44.6,100.5,127.0,155.99999999999997,193.39999999999998,23.0,545.9999999999999
6,15.0,240.0,337.63082120649386,53.00768767903091,426.99231232096906,44.6,108.5,127.0,173.0,537.9999999999998,23.0,1287.0
7,15.0,209.66666666666666,256.60772359678464,67.54791274687503,351.78542058645826,45.800000000000004,108.0,125.0,175.5,429.9999999999998,23.0,1016.0
8,15.0,218.66666666666666,267.64840120327017,70.43318119526583,366.9001521380675,53.6,108.0,125.0,175.5,504.1999999999998,23.0,1010.0
9,15.0,268.4,420.1553794218787,35.70256541318355,501.0974345868164,53.6,108.0,125.0,171.5,590.9999999999998,23.0,1622.0
