sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,-7.293266666666667,10.104534848039174,-12.889528078497502,-1.6970052548358323,-15.799999999999997,-7.939500000000001,-3.8850000000000002,-2.4005,-0.3978000000000006,-39.0,0.413
1,15.0,-3.6287999999999996,8.781551239469515,-8.492344643719552,1.2347446437195528,-6.1776,-3.5700000000000003,-0.9940000000000001,-0.066,1.2457999999999996,-34.0,2.509
2,15.0,-3.8656666666666673,14.210872319996337,-11.736168138417552,4.004834805084219,-7.199200000000001,-4.4455,-2.137,-0.542,0.6693999999999996,-48.0,24.0
3,15.0,-1.8394666666666664,3.68785800909391,-3.8819374759596306,0.20300414262629807,-3.9796,-1.7930000000000001,-1.08,-0.024500000000000008,0.4177999999999999,-14.0,1.5980000000000003
4,15.0,-0.9138000000000001,3.3576024013742733,-2.7733631602703284,0.9457631602703284,-5.884399999999999,-1.2455,-0.31900000000000006,-0.008500000000000002,1.4699999999999995,-7.1850000000000005,6.577000000000001
5,15.0,-3.0929999999999995,8.371420488782054,-7.7293992156127995,1.5433992156128,-3.2362,-2.21,-0.375,-0.07150000000000001,0.045999999999999985,-32.99999999999999,0.9910000000000001
6,15.0,-3.2081999999999997,3.7013745747839604,-5.258156778328578,-1.158243221671421,-8.7012,-4.9485,-0.73,-0.502,-0.07640000000000001,-11.0,-0.055
7,15.0,-3.185866666666667,4.462646185947568,-5.657443539887977,-0.7142897934453574,-9.9212,-4.058,-1.086,-0.29000000000000004,-0.053200000000000004,-14.0,0.038000000000000006
8,15.0,-6.019466666666665,12.834118962842009,-13.127471714572128,1.0885383812387976,-12.540799999999997,-3.6435000000000004,-1.4420000000000002,-0.16999999999999998,-0.09260000000000003,-49.99999999999999,-0.059000000000000004
9,15.0,-5.578399999999999,10.521177288823582,-11.405413252361647,0.24861325236164955,-18.8,-3.4425,-0.7650000000000001,-0.0395,-0.013800000000000007,-36.0,0.148
