sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,121.6,47.44289800832756,95.32438579486403,147.87561420513595,65.8,79.5,130.0,155.5,180.39999999999998,49.99999999999999,199.99999999999997
1,15.0,147.66666666666666,131.70782961142586,74.72204768369141,220.6112856496419,66.6,76.5,130.0,155.0,187.6,49.99999999999999,597.0
2,15.0,245.99999999999997,501.66010120684007,-31.83773409260712,523.8377340926071,72.0,79.0,130.0,155.0,187.0,53.0,2052.9999999999995
3,15.0,123.53333333333333,47.34201798261948,97.3135901805105,149.75307648615617,74.19999999999999,80.5,130.0,156.99999999999997,187.2,52.0,204.0
4,15.0,121.13333333333334,44.506607321139356,96.48394443334523,145.78272223332146,73.4,82.0,126.0,156.49999999999997,172.2,52.0,204.0
5,15.0,124.2,46.28205452903502,98.56730342205209,149.83269657794793,73.4,82.5,131.99999999999997,158.0,179.2,52.0,206.0
6,15.0,124.6,46.49393201575572,98.84995791126879,150.3500420887312,73.4,83.5,131.99999999999997,157.0,183.6,54.0,206.0
7,15.0,127.8,48.25556962672806,101.07429849377195,154.52570150622805,75.0,83.5,133.0,166.5,189.39999999999998,54.0,206.0
8,15.0,128.2,48.16964070567981,101.52188907683731,154.87811092316267,76.19999999999999,83.0,133.0,166.5,189.39999999999998,54.0,206.0
9,15.0,126.86666666666666,45.07433014582954,101.90285207720251,151.8304812561308,77.0,91.0,133.0,158.0,184.59999999999997,54.0,206.0
