scenario,section,run_id,source_name,n_rows,max_sample_idx,t_rel_min_s,t_rel_max_s,offset_us_mean,offset_us_std,offset_us_median,offset_us_p95,offset_us_max,stddev_us_mean,stddev_us_std,stddev_us_median,stddev_us_p95,stddev_us_max
high,sourcestats,run01,servergm,10,9,0.0,554.0,-0.1888,0.426712,0.0045,0.0715,0.076,47.6,2.716207,47.0,51.0,51.0
high,sourcestats,run02,servergm,10,9,0.0,554.0,-0.6195,1.02785,-0.2055,-0.03965,-0.032,153.1,3.871549,152.5,158.1,159.0
high,sourcestats,run03,servergm,10,9,0.0,554.0,-0.1242,0.279339,-0.0435,0.20015,0.341,182.6,5.985167,181.0,191.2,193.0
high,sourcestats,run04,servergm,10,9,0.0,554.0,-0.0899,0.18199,-0.0045,0.031,0.04,125.8,7.177124,128.0,133.55,134.0
high,sourcestats,run05,servergm,10,9,0.0,554.0,-0.239,0.17492,-0.2225,-0.039,-0.012,136.1,6.226288,136.0,142.55,143.0
high,sourcestats,run06,servergm,10,9,0.0,554.0,-20.0631,48.164904,-1.479,-0.14935,0.032,230.2,63.030504,229.5,310.85,314.0
high,sourcestats,run07,servergm,10,9,0.0,554.0,-0.9977,2.194059,-0.1915,-0.00755,0.037,147.5,8.356634,148.5,158.4,162.0
high,sourcestats,run08,servergm,10,9,0.0,554.0,-3.5392,6.679972,-1.231,-0.06755,-0.005,153.3,20.028036,147.5,187.8,195.0
high,sourcestats,run09,servergm,10,9,0.0,554.0,-0.9464,1.349871,-0.4295,-0.00955,-0.001,47.6,5.211099,46.5,54.1,55.0
high,sourcestats,run10,servergm,10,9,0.0,554.0,-2.0097,3.429852,-0.3525,-0.03235,-0.013,138.9,15.50233,144.0,152.0,152.0
high,sourcestats,run11,servergm,10,9,0.0,554.0,-1.0819,2.785149,-0.0305,0.026,0.044,82.1,4.909175,81.0,90.4,94.0
high,sourcestats,run12,servergm,10,9,0.0,554.0,-0.407,0.87756,-0.08,-0.00365,0.004,178.5,9.582971,181.0,187.0,187.0
high,sourcestats,run13,servergm,10,9,0.0,554.0,-0.0845,0.240378,-0.0495,0.182,0.317,138.9,7.06242,140.0,147.1,148.0
high,sourcestats,run14,servergm,10,9,0.0,554.0,-0.2993,0.439981,-0.158,-0.00045,0.0,77.4,6.168018,76.5,85.1,86.0
high,sourcestats,run15,servergm,10,9,0.0,554.0,-1.1466,1.57547,-0.516,-0.0833,-0.059,222.0,13.498971,221.0,237.1,238.0
