scenario,section,run_id,n_rows,max_sample_idx,t_rel_min_s,t_rel_max_s,system_time_us_mean,system_time_us_std,system_time_us_median,system_time_us_p95,system_time_us_max,last_offset_us_mean,last_offset_us_std,last_offset_us_median,last_offset_us_p95,last_offset_us_max
high,tracking,run01,10,9,0.0,554.0,-2.8007,16.624152,0.287,17.0911,23.923,-8.1956,29.097351,0.961,18.61095,26.679
high,tracking,run02,10,9,0.0,554.0,-33.02,31.982532,-26.3005,-6.95765,0.052,-28.9626,16.5154,-26.534,-10.8646,-10.267
high,tracking,run03,10,9,0.0,554.0,-6.1529,26.969851,-4.5195,30.16655,39.212,-4.4919,28.259086,-1.871,38.15805,51.663
high,tracking,run04,10,9,0.0,554.0,-10.8189,10.15464,-8.4005,-1.39775,0.004,-9.2943,19.872598,-4.4125,5.7725,8.594
high,tracking,run05,10,9,0.0,554.0,-29.3348,30.166089,-22.113,0.0217,0.037,-27.0293,19.655793,-20.887,-9.30125,-7.346
high,tracking,run06,10,9,0.0,554.0,-69.8699,84.821714,-40.033,0.14235,0.159,-125.7252,142.321084,-90.485,23.69835,50.985
high,tracking,run07,10,9,0.0,554.0,-26.1163,26.528398,-17.0165,0.02985,0.042,-36.3776,28.315605,-36.586,3.81025,12.016
high,tracking,run08,10,9,0.0,554.0,-38.6298,37.748774,-31.1295,0.0086,0.014,-67.3577,65.904497,-37.8815,-25.85115,-24.39
high,tracking,run09,10,9,0.0,554.0,-17.2023,16.941218,-13.079,0.0096,0.015,-29.127,22.259306,-20.6515,-11.2416,-10.995
high,tracking,run10,10,9,0.0,554.0,-23.1927,22.672833,-21.397,1.05145,1.699,-54.4999,99.342751,-25.266,17.69905,36.478
high,tracking,run11,10,9,0.0,554.0,-7.1364,10.080517,-6.0925,3.5581,3.559,-18.1899,25.561098,-8.0315,5.09055,7.332
high,tracking,run12,10,9,0.0,554.0,-29.5283,27.749644,-26.0845,3.0448,5.527,-29.6579,25.067976,-22.922,3.26605,5.521
high,tracking,run13,10,9,0.0,554.0,-6.2617,17.008707,-9.5115,16.32575,16.778,-1.5071,15.946136,-4.141,19.676,19.676
high,tracking,run14,10,9,0.0,554.0,-15.2309,9.696169,-15.61,-1.90495,0.008,-16.9456,12.467617,-15.04,-5.39605,-4.285
high,tracking,run15,10,9,0.0,554.0,-21.692,25.606116,-11.412,0.0161,0.017,-39.9879,23.557152,-34.4865,-20.59815,-18.534
