scenario,section,run_id,source_name,n_rows,max_sample_idx,t_rel_min_s,t_rel_max_s,offset_us_mean,offset_us_std,offset_us_median,offset_us_p95,offset_us_max,stddev_us_mean,stddev_us_std,stddev_us_median,stddev_us_p95,stddev_us_max
low,sourcestats,run01,servergm,10,9,0.0,554.0,-22.3721,22.828956,-24.5,12.21295,22.0,41.6,5.481281,39.0,52.0,52.0
low,sourcestats,run02,servergm,10,9,0.0,554.0,6.1178,9.84269,0.948,23.95,28.0,149.2,6.713171,144.0,157.0,157.0
low,sourcestats,run03,servergm,10,9,0.0,554.0,7.0265,15.144417,4.4675,29.5,34.0,158.7,5.831905,161.0,166.0,166.0
low,sourcestats,run04,servergm,10,9,0.0,554.0,9.7334,17.132862,0.2595,38.2,49.0,189.2,34.437705,199.0,232.4,236.0
low,sourcestats,run05,servergm,10,9,0.0,553.0,-1.3163,12.379347,2.645,10.66665,12.0,178.9,8.279157,185.0,185.55,186.0
low,sourcestats,run06,servergm,10,9,0.0,562.0,75.7442,62.856476,51.5,175.2,204.0,703.8,290.717045,744.0,1031.95,1045.0
low,sourcestats,run07,servergm,10,9,0.0,554.0,-91.0138,60.530229,-91.0,-10.0759,-1.138,23.0,0.0,23.0,23.0,23.0
low,sourcestats,run08,servergm,10,9,0.0,554.0,-12.7343,11.732603,-10.381,-0.13965,0.651,97.9,39.159077,125.0,127.0,127.0
low,sourcestats,run09,servergm,10,9,0.0,554.0,10.3402,41.790628,-0.754,65.65,67.0,110.0,34.470599,114.0,151.0,151.0
low,sourcestats,run10,servergm,10,9,0.0,554.0,-3.9642,6.235638,-0.628,0.59915,0.668,113.6,0.516398,114.0,114.0,114.0
low,sourcestats,run11,servergm,10,9,0.0,554.0,-3.4143,1.684124,-3.478,-1.1407,-1.021,100.4,8.262364,94.0,110.0,110.0
low,sourcestats,run12,servergm,10,9,0.0,553.0,-1.3456,1.577361,-0.492,-0.0621,-0.036,53.9,1.449138,53.0,56.0,56.0
low,sourcestats,run13,servergm,10,9,0.0,563.0,118.8047,164.606875,58.5,395.7,555.0,701.1,509.07464,699.0,1471.25,1622.0
low,sourcestats,run14,servergm,10,9,0.0,554.0,-37.5712,68.353933,0.509,4.0052,4.394,123.6,0.966092,123.0,125.0,125.0
low,sourcestats,run15,servergm,10,9,0.0,554.0,-10.0115,9.328655,-9.017,-0.4182,-0.24,105.8,1.316561,106.0,107.0,107.0
