scenario,section,run_id,n_rows,max_sample_idx,t_rel_min_s,t_rel_max_s,system_time_us_mean,system_time_us_std,system_time_us_median,system_time_us_p95,system_time_us_max,last_offset_us_mean,last_offset_us_std,last_offset_us_median,last_offset_us_p95,last_offset_us_max
low,tracking,run01,10,9,0.0,554.0,94.6789,299.40343,-0.0005,520.73915,946.796,83.9666,373.451078,-34.129,615.3968,1146.827
low,tracking,run02,10,9,0.0,554.0,101.8468,138.411558,0.0005,309.66815,332.417,138.1364,169.285161,25.772,334.436,334.436
low,tracking,run03,10,9,0.0,554.0,184.1454,212.880003,185.451,532.8693,591.624,145.2947,303.342224,254.095,503.612,503.612
low,tracking,run04,10,9,0.0,554.0,136.9713,329.852296,0.004,609.9458,757.742,-48.9288,580.429728,-191.6395,614.4032,660.872
low,tracking,run05,10,9,0.0,553.0,31.0955,112.575318,-0.012,234.9741,245.712,39.9776,133.215013,99.695,197.5488,277.611
low,tracking,run06,10,9,0.0,562.0,231.7719,239.611174,227.6455,565.10845,664.594,1482.1662,664.858243,1628.166,2258.30745,2479.833
low,tracking,run07,10,9,0.0,554.0,-8.5183,26.968501,0.01,0.011,0.011,-90.569,0.0,-90.569,-90.569,-90.569
low,tracking,run08,10,9,0.0,554.0,-34.0232,55.738188,0.0075,0.054,0.054,-451.1307,574.051495,-152.634,-52.89,-52.89
low,tracking,run09,10,9,0.0,554.0,104.0943,204.213837,0.0155,435.25455,512.565,480.4629,799.753549,-21.832,1880.911,1880.911
low,tracking,run10,10,9,0.0,554.0,-105.2627,103.46276,-102.1315,0.003,0.003,-160.5806,149.770035,-218.375,9.403,9.403
low,tracking,run11,10,9,0.0,554.0,1.9158,6.053021,0.0025,10.5309,19.143,-250.7114,316.776988,-5.337,-5.337,-5.337
low,tracking,run12,10,9,0.0,553.0,-30.8189,30.297328,-15.052,-7.7142,-7.554,-33.8974,36.341478,-28.566,-0.679,-0.679
low,tracking,run13,10,9,0.0,563.0,895.8343,1256.810578,736.815,2209.12325,2342.321,1637.8211,1001.837458,1391.3135,3217.78285,4116.418
low,tracking,run14,10,9,0.0,554.0,-36.3835,46.943017,-23.8245,0.18675,0.189,-34.6934,106.710275,47.59,47.59,47.59
low,tracking,run15,10,9,0.0,554.0,-106.2402,122.991052,-66.5465,0.02755,0.028,-176.7004,175.262513,-50.948,-31.224,-31.224
