scenario,section,run_id,source_name,n_rows,max_sample_idx,t_rel_min_s,t_rel_max_s,offset_us_mean,offset_us_std,offset_us_median,offset_us_p95,offset_us_max,stddev_us_mean,stddev_us_std,stddev_us_median,stddev_us_p95,stddev_us_max
medium,sourcestats,run01,servergm,10,9,0.0,553.0,-2.7237,2.981093,-1.9355,-0.061,-0.007,163.5,1.433721,163.0,165.0,165.0
medium,sourcestats,run02,servergm,10,9,0.0,554.0,-17.5486,17.717358,-12.5,-0.3113,-0.305,144.5,17.360556,141.0,175.0,175.0
medium,sourcestats,run03,servergm,10,9,0.0,554.0,-2.2324,3.321897,-1.037,-0.0681,-0.024,164.9,2.424413,164.0,168.0,168.0
medium,sourcestats,run04,servergm,10,9,0.0,554.0,-1.0056,2.366677,-0.087,0.8164,0.991,52.5,1.581139,52.5,54.0,54.0
medium,sourcestats,run05,servergm,10,9,0.0,554.0,-1.686,1.743853,-1.264,-0.03025,-0.019,71.2,4.442222,73.0,74.65,76.0
medium,sourcestats,run06,servergm,10,9,0.0,554.0,-1.632,2.215613,-0.6475,0.0112,0.076,149.5,3.135815,150.0,152.55,153.0
medium,sourcestats,run07,servergm,10,9,0.0,554.0,-0.4509,1.624627,-0.0315,1.39415,1.598,109.3,4.347413,108.0,115.0,115.0
medium,sourcestats,run08,servergm,10,9,0.0,554.0,-4.1896,15.033505,-2.9685,16.15965,24.0,420.2,587.558943,199.0,1397.8,2053.0
medium,sourcestats,run09,servergm,10,9,0.0,554.0,-2.1277,1.992736,-1.8485,-0.0546,-0.051,82.7,4.217688,83.0,88.95,93.0
medium,sourcestats,run10,servergm,10,9,0.0,554.0,-0.9036,1.18815,-0.4635,0.04405,0.049,75.7,5.638164,74.0,85.4,89.0
medium,sourcestats,run11,servergm,10,9,0.0,554.0,-0.2059,1.603176,0.0745,1.85315,2.048,80.9,3.414023,81.5,84.0,84.0
medium,sourcestats,run12,servergm,10,9,0.0,553.0,-10.2277,17.560402,-0.185,-0.07435,-0.055,134.2,3.32666,135.0,137.0,137.0
medium,sourcestats,run13,servergm,10,9,0.0,554.0,-3.0104,2.824673,-1.9695,-0.1045,-0.028,101.6,1.349897,102.0,103.55,104.0
medium,sourcestats,run14,servergm,10,9,0.0,554.0,-2.8934,2.276718,-2.6715,-0.2532,-0.021,132.2,1.229273,133.0,133.0,133.0
medium,sourcestats,run15,servergm,10,9,0.0,553.0,-7.1014,6.332351,-5.29,-1.31755,-1.192,204.5,1.95789,205.0,206.0,206.0
