sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,-49.22759999999999,85.3638758749859,-96.50524035730984,-1.949959642690132,-97.00919999999999,-64.143,-19.613999999999997,-9.2665,-1.5108000000000008,-323.279,51.663000000000004
1,15.0,-38.12573333333333,28.756165191054908,-54.05195062399488,-22.19951604267178,-68.79860000000001,-55.596,-31.832000000000004,-23.014000000000003,-1.1516000000000028,-102.205,2.2960000000000003
2,15.0,-52.48593333333334,87.88679837679723,-101.16086055780328,-3.8110061088634097,-73.00280000000001,-60.615,-33.481,-13.004999999999999,6.6015999999999995,-353.875,8.75
3,15.0,-25.123800000000003,34.986853482415356,-44.5008006249239,-5.746799375076112,-66.60119999999999,-49.706,-20.637,-8.5165,11.79319999999999,-79.539,50.985
4,15.0,-30.882066666666667,45.057807694222355,-55.836730517403225,-5.927402815930105,-70.6396,-42.185,-23.121000000000002,-6.253500000000001,8.951199999999993,-160.044,26.679
5,15.0,-24.55126666666667,20.998237131675968,-36.180859314296086,-12.921674019037255,-43.6812,-35.3745,-20.716,-16.618000000000002,2.6387999999999985,-73.117,8.594
6,15.0,-32.9142,64.21535639905102,-68.47901584431469,2.650615844314679,-38.4044,-32.528999999999996,-22.958,-8.447,4.9357999999999995,-256.858,19.676
7,15.0,-32.31286666666667,86.08193208870146,-79.98819284927917,15.36245951594583,-31.346400000000003,-24.4035,-12.596,-2.2150000000000003,8.149999999999997,-338.783,19.676
8,15.0,-15.972733333333332,14.609508911599159,-24.064014346990945,-7.881452319675722,-37.1814,-24.863999999999997,-11.543,-4.961,-2.480200000000001,-47.0,-0.8069999999999999
9,15.0,-29.970133333333333,59.908818096297296,-63.14983056657718,3.20956389991051,-81.70179999999999,-22.17,-14.358,-3.7069999999999994,4.412599999999999,-215.987,36.478
