sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,-20.569,37.082894493283554,-41.10686489063651,-0.031135109363489732,-75.51899999999999,-30.814500000000002,-10.066,0.0255,1.0401999999999993,-100.03399999999999,39.212
1,15.0,-29.502800000000004,36.71320540389482,-49.83591753547029,-9.169682464529725,-76.3078,-45.7,-10.626,-2.4515,0.031199999999999988,-119.118,0.12200000000000001
2,15.0,-33.7632,70.78132927161754,-72.96449205726995,5.438092057269955,-79.44179999999999,-27.783,-9.476,0.014,4.721799999999999,-269.40999999999997,8.741
3,15.0,-26.907533333333333,22.257044598658347,-39.234299651828465,-14.580767014838203,-53.8048,-42.27250000000001,-21.508000000000003,-13.1495,-4.351800000000003,-62.269,19.111
4,15.0,-17.36346666666667,24.355557482157263,-30.852466264453604,-3.8744670688797402,-43.1402,-27.817999999999998,-20.591,-2.9859999999999998,11.489599999999996,-71.104,23.923000000000002
5,15.0,-20.637999999999998,23.23773329860602,-33.50790763188282,-7.768092368117175,-60.1258,-23.976,-21.038999999999998,-1.012,0.09979999999999994,-61.889,7.981000000000001
6,15.0,-12.695733333333335,16.94509881717453,-22.080549562515436,-3.3109171041512333,-32.407000000000004,-30.8395,-10.743,0.05,4.430199999999999,-39.262,15.773
7,15.0,-14.462399999999999,34.97527278112761,-33.83298680848274,4.908186808482739,-21.1172,-12.286000000000001,-6.92,0.011,0.0162,-136.763,12.948
8,15.0,-20.778666666666663,14.462175274372338,-28.788348916890136,-12.768984416443189,-40.2692,-31.735,-20.007,-10.7955,-2.4544000000000006,-43.293,2.0719999999999996
9,15.0,-27.977599999999995,32.92161945287626,-46.21079839357701,-9.744401606422986,-79.635,-31.8425,-17.407,-4.3709999999999996,-0.3808000000000006,-104.406,1.836
