sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,169.09653333333333,556.1428327534043,-138.9157325660835,477.10879923275013,-99.07939999999999,-43.509499999999996,-16.063,17.5875,471.0632,-149.33700000000002,2065.741
1,15.0,133.81026666666665,570.2420242868645,-182.0106477953337,449.631181128667,-140.6658,-71.7295,-28.566,2.0330000000000004,838.1851999999994,-474.421,1624.212
2,15.0,187.22179999999997,716.1800754943051,-209.42495125432703,583.868551254327,-140.6658,-71.7295,-28.566,-3.659,1031.8497999999995,-474.421,2119.451
3,15.0,97.03259999999999,470.7606563183218,-163.69189002178632,357.7570900217863,-301.85839999999996,-109.114,-5.337,131.74900000000002,576.0849999999999,-474.421,1451.216
4,15.0,164.06626666666668,849.8974691860077,-306.6380737455305,634.7706070788638,-436.7014,-196.118,-1.981,265.853,1043.9559999999997,-1280.615,2479.833
5,15.0,171.74213333333336,742.7414809581044,-239.61529690587514,583.0995635725419,-348.74,-62.349000000000004,-0.6789999999999999,293.6635,1121.9031999999997,-1280.615,1880.911
6,15.0,385.3685333333334,1266.4222276192584,-316.0224708142555,1086.7595374809223,-523.3126,-196.118,47.589999999999996,446.02200000000005,1607.0782,-1280.615,4116.418000000001
7,15.0,219.49273333333332,636.9145378818178,-133.25386060550193,572.2393272721686,-242.05379999999997,-87.0445,-34.129,419.024,898.3771999999998,-618.773,1987.5539999999999
8,15.0,115.8107333333333,675.6176234737757,-258.37104665556444,489.99251332223105,-458.61379999999997,-121.60149999999999,-50.948,217.06550000000001,839.5447999999998,-930.684,1933.8020000000001
9,15.0,196.76760000000002,668.020047946574,-173.2063644500558,566.7415644500559,-400.83079999999995,-121.60149999999999,-50.948,217.06550000000001,1300.4306,-618.773,1632.12
