sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,183.24566666666666,525.4310124370912,-107.75726852054848,474.24860185388184,-16.113199999999996,0.003,0.01,0.1335,434.13059999999996,-85.272,1996.9050000000002
1,15.0,35.38493333333334,225.57427805348814,-89.54636204611731,160.316228712784,-67.84119999999999,-10.256,0.003,0.0125,0.12119999999999995,-161.972,833.2800000000001
2,15.0,17.238999999999997,94.54421625280494,-35.1230490289105,69.6010490289105,-17.230199999999996,-2.049,0.003,0.013000000000000001,0.11719999999999996,-59.382999999999996,354.24
3,15.0,59.36226666666666,217.89355028331303,-61.31516041687234,180.03969375020566,-99.6506,-5.2989999999999995,0.003,124.64549999999998,349.9683999999999,-364.925,512.5649999999999
4,15.0,54.352799999999995,225.84354465432165,-70.72762508313335,179.43322508313335,-179.56379999999996,-9.2235,0.002,111.90050000000001,285.4362,-265.488,640.35
5,15.0,-57.63146666666667,514.0220717663599,-342.31571273204946,227.05277939871615,-183.3138,-30.203999999999997,0.001,186.3305,293.1984,-1805.8709999999999,429.30600000000004
6,15.0,123.05913333333334,240.5157874541612,-10.147317087986522,256.2655837546532,-56.386199999999995,-3.8165000000000004,0.054,236.6515,482.78899999999993,-133.035,664.594
7,15.0,212.93779999999998,570.3672589291169,-102.95247399278543,528.8280739927854,-83.9628,-72.2825,-0.013000000000000001,140.93699999999998,691.2948,-134.772,2046.3259999999998
8,15.0,118.54646666666667,531.9528580387105,-176.06850543497836,413.1614387683117,-182.38259999999997,-69.71350000000001,-0.012,0.013,369.1631999999999,-337.354,1928.065
9,15.0,227.57499999999996,647.4086054591578,-130.98359284026017,586.1335928402601,-79.408,-57.403999999999996,-0.012,90.38799999999999,738.0315999999998,-168.601,2342.321
