sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,-31.135400000000004,38.76708972237737,-52.60603388122457,-9.66476611877544,-83.2234,-42.352999999999994,-19.546,-6.0125,9.245199999999999,-121.74499999999999,14.024
1,15.0,99.7648,631.4949086656203,-249.98020482017114,449.5098048201711,-125.81839999999997,-49.0145,-19.546,-0.7385000000000002,16.5584,-431.88,2346.387
2,15.0,-34.03946666666666,216.05168380666518,-153.6968006490364,85.61786731570308,-156.688,-69.54400000000001,-49.325,-24.292500000000004,13.687599999999994,-431.88,641.712
3,15.0,-61.85893333333335,128.61980348934642,-133.09329037099278,9.375423704326074,-138.40939999999998,-106.906,-66.18299999999999,32.07599999999999,69.3514,-431.88,91.64
4,15.0,-37.52046666666667,69.12007416483566,-75.80169481311796,0.7607614797846267,-136.617,-65.0265,-45.625,-0.6504999999999992,54.3734,-157.364,70.243
5,15.0,-51.56453333333332,62.98966333099726,-86.45051547350883,-16.678551193157816,-130.98579999999998,-76.7575,-49.619,-24.363,16.555799999999998,-175.916,70.243
6,15.0,-86.15866666666665,90.99825352693524,-136.55683169012727,-35.760501643206034,-172.45839999999998,-84.4425,-54.215,-43.418000000000006,-17.5542,-365.473,-10.975999999999999
7,15.0,-80.7426,111.73865967438739,-142.627561430641,-18.85763856935899,-173.648,-120.53,-45.625,-12.616499999999998,-1.730800000000003,-403.39500000000004,62.251
8,15.0,-99.783,111.75526189081978,-161.67715634604966,-37.888843653950346,-211.2464,-166.03300000000002,-60.839,-25.714,-1.730800000000003,-403.39500000000004,2.8890000000000002
9,15.0,-87.48506666666665,132.26954537851145,-160.740784410647,-14.229348922686299,-283.205,-115.45400000000001,-40.452,-4.8340000000000005,10.213399999999996,-403.39500000000004,19.441
