sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,-6.110466666666667,16.817975242777198,-15.424877205271944,3.203943871938609,-34.6216,-3.7780000000000005,0.009,0.035,7.066999999999996,-42.611000000000004,14.049999999999999
1,15.0,114.67626666666668,614.570795201179,-225.69554438111828,455.0480777144516,-128.64939999999999,-66.595,0.006,0.094,5.812399999999997,-213.56,2323.197
2,15.0,32.05613333333333,225.44487859527456,-92.80349588774362,156.91576255441026,-96.93279999999999,-20.628500000000003,0.041999999999999996,0.067,5.962399999999997,-139.12,829.208
3,15.0,-37.82086666666666,70.38854974950183,-76.804623041589,1.1628897082556762,-128.85719999999998,-86.8495,-21.573,0.279,47.835599999999985,-146.9,86.96
4,15.0,-32.175133333333335,40.33540810126058,-54.514359362262,-9.835907304404675,-78.39519999999999,-52.374,-22.828,0.023,4.474599999999997,-131.137,16.141000000000002
5,15.0,-32.660066666666665,46.26278483135641,-58.28209098041259,-7.038042352920737,-69.10239999999999,-52.969,-10.345,0.026000000000000002,0.2221999999999999,-162.647,16.132
6,15.0,-44.33946666666666,46.443103202992475,-70.06135789761431,-18.617575435719004,-110.36739999999999,-64.7175,-32.723,-4.875500000000001,0.013799999999999993,-144.573,0.024999999999999998
7,15.0,-51.16853333333334,98.42101945640522,-105.67769793914547,3.340631272478795,-127.55919999999999,-42.422999999999995,-9.666,-1.9685,0.0236,-371.387,0.051
8,15.0,-26.696599999999997,59.57542874109858,-59.69165400011413,6.298454000114134,-55.6534,-20.592999999999996,-5.835,0.013,0.0376,-230.969,2.895
9,15.0,-23.413666666666668,37.42856503425972,-44.14297656083514,-2.6843567724982016,-74.0088,-34.836,-3.717,0.014,0.037,-119.536,0.049
