sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,source,offset_s,offset_us,stddev_s,stddev_us,scenario,run_id
0,2026-04-05T14:17:51+00:00,1775398671.0,0.0,0,servergm,-1.6800000000000002e-07,-0.168,4.4999999999999996e-05,44.99999999999999,high,run01
1,2026-04-05T14:18:52+00:00,1775398732.0,61.0,61,servergm,-7.720000000000001e-07,-0.7720000000000001,4.4999999999999996e-05,44.99999999999999,high,run01
2,2026-04-05T14:19:54+00:00,1775398794.0,123.0,123,servergm,3.0000000000000004e-09,0.0030000000000000005,4.4e-05,44.0,high,run01
3,2026-04-05T14:20:55+00:00,1775398855.0,184.0,184,servergm,-1.165e-06,-1.165,5.1e-05,51.0,high,run01
4,2026-04-05T14:21:57+00:00,1775398917.0,246.0,246,servergm,7.6e-08,0.07600000000000001,5.1e-05,51.0,high,run01
5,2026-04-05T14:22:58+00:00,1775398978.0,307.0,307,servergm,6.000000000000001e-09,0.006000000000000001,4.9999999999999996e-05,49.99999999999999,high,run01
6,2026-04-05T14:24:00+00:00,1775399040.0,369.0,369,servergm,6.600000000000001e-08,0.066,4.9999999999999996e-05,49.99999999999999,high,run01
7,2026-04-05T14:25:01+00:00,1775399101.0,430.0,430,servergm,-6.000000000000001e-09,-0.006000000000000001,4.8e-05,48.0,high,run01
8,2026-04-05T14:26:03+00:00,1775399163.0,492.0,492,servergm,1.4000000000000001e-08,0.014000000000000002,4.6e-05,46.0,high,run01
9,2026-04-05T14:27:05+00:00,1775399225.0,554.0,554,servergm,5.8e-08,0.058,4.6e-05,46.0,high,run01
