sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,system_time_s,system_time_us,last_offset_s,last_offset_us,scenario,run_id
0,2026-04-05T15:37:21+00:00,1775403441.0,0.0,0,-3.9243e-05,-39.242999999999995,-6.6665e-05,-66.665,high,run07
1,2026-04-05T15:38:22+00:00,1775403502.0,61.0,61,4.2e-08,0.041999999999999996,-6.6665e-05,-66.665,high,run07
2,2026-04-05T15:39:24+00:00,1775403564.0,123.0,123,-7.0971e-05,-70.97099999999999,-7.4108e-05,-74.108,high,run07
3,2026-04-05T15:40:26+00:00,1775403626.0,185.0,185,-1.955e-05,-19.55,-2.0637e-05,-20.637,high,run07
4,2026-04-05T15:41:27+00:00,1775403687.0,246.0,246,-5.0793e-05,-50.793,-4.9125e-05,-49.125,high,run07
5,2026-04-05T15:42:29+00:00,1775403749.0,308.0,308,-5.7952e-05,-57.952,-3.5931e-05,-35.931,high,run07
6,2026-04-05T15:43:30+00:00,1775403810.0,369.0,369,-1.531e-06,-1.5310000000000001,-3.7241e-05,-37.241,high,run07
7,2026-04-05T15:44:32+00:00,1775403872.0,431.0,431,1.5e-08,0.015,1.2016e-05,12.016,high,run07
8,2026-04-05T15:45:33+00:00,1775403933.0,492.0,492,-1.4483e-05,-14.483,-6.219e-06,-6.219,high,run07
9,2026-04-05T15:46:35+00:00,1775403995.0,554.0,554,-6.697e-06,-6.696999999999999,-1.9201e-05,-19.201,high,run07
