sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,system_time_s,system_time_us,last_offset_s,last_offset_us,scenario,run_id
0,2026-04-05T08:23:25+00:00,1775377405.0,0.0,0,0.000420054,420.054,0.00047185,471.85,low,run04
1,2026-04-05T08:24:27+00:00,1775377467.0,62.0,62,-0.000161972,-161.972,-0.000474421,-474.421,low,run04
2,2026-04-05T08:25:28+00:00,1775377528.0,123.0,123,4e-09,0.004,-0.000474421,-474.421,low,run04
3,2026-04-05T08:26:30+00:00,1775377590.0,185.0,185,4e-09,0.004,-0.000474421,-474.421,low,run04
4,2026-04-05T08:27:31+00:00,1775377651.0,246.0,246,3e-09,0.003,-0.000474421,-474.421,low,run04
5,2026-04-05T08:28:33+00:00,1775377713.0,308.0,308,0.000429306,429.30600000000004,0.000557608,557.6080000000001,low,run04
6,2026-04-05T08:29:34+00:00,1775377774.0,369.0,369,0.00030062,300.62,0.000557608,557.6080000000001,low,run04
7,2026-04-05T08:30:36+00:00,1775377836.0,431.0,431,0.000757742,757.7420000000001,0.000660872,660.872,low,run04
8,2026-04-05T08:31:37+00:00,1775377897.0,492.0,492,-0.000337354,-337.354,-0.000930684,-930.684,low,run04
9,2026-04-05T08:32:39+00:00,1775377959.0,554.0,554,-3.8694e-05,-38.694,9.1142e-05,91.142,low,run04
