sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,source,offset_s,offset_us,stddev_s,stddev_us,scenario,run_id
0,2026-04-05T10:34:37+00:00,1775385277.0,0.0,0,servergm,-7.5e-05,-75.0,0.000125,125.0,low,run14
1,2026-04-05T10:35:38+00:00,1775385338.0,61.0,61,servergm,-0.000129,-129.0,0.000125,125.0,low,run14
2,2026-04-05T10:36:40+00:00,1775385400.0,123.0,123,servergm,-0.000184,-184.0,0.000125,125.0,low,run14
3,2026-04-05T10:37:41+00:00,1775385461.0,184.0,184,servergm,-1.125e-06,-1.125,0.00012299999999999998,122.99999999999999,low,run14
4,2026-04-05T10:38:43+00:00,1775385523.0,246.0,246,servergm,7.7e-08,0.077,0.00012299999999999998,122.99999999999999,low,run14
5,2026-04-05T10:39:45+00:00,1775385585.0,308.0,308,servergm,9.410000000000001e-07,0.9410000000000001,0.00012299999999999998,122.99999999999999,low,run14
6,2026-04-05T10:40:46+00:00,1775385646.0,369.0,369,servergm,1.804e-06,1.804,0.00012299999999999998,122.99999999999999,low,run14
7,2026-04-05T10:41:48+00:00,1775385708.0,431.0,431,servergm,2.667e-06,2.6670000000000003,0.00012299999999999998,122.99999999999999,low,run14
8,2026-04-05T10:42:49+00:00,1775385769.0,492.0,492,servergm,3.53e-06,3.5300000000000002,0.00012299999999999998,122.99999999999999,low,run14
9,2026-04-05T10:43:51+00:00,1775385831.0,554.0,554,servergm,4.394000000000001e-06,4.394000000000001,0.00012299999999999998,122.99999999999999,low,run14
