sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,source,offset_s,offset_us,stddev_s,stddev_us,scenario,run_id
0,2026-04-05T11:53:33+00:00,1775390013.0,0.0,0,servergm,-2.341e-06,-2.341,6.3e-05,63.0,medium,run05
1,2026-04-05T11:54:34+00:00,1775390074.0,61.0,61,servergm,-5.613e-06,-5.613,6.3e-05,63.0,medium,run05
2,2026-04-05T11:55:36+00:00,1775390136.0,123.0,123,servergm,-4.4000000000000004e-08,-0.044000000000000004,7.2e-05,72.0,medium,run05
3,2026-04-05T11:56:37+00:00,1775390197.0,184.0,184,servergm,-3.412e-06,-3.412,7.599999999999999e-05,75.99999999999999,medium,run05
4,2026-04-05T11:57:39+00:00,1775390259.0,246.0,246,servergm,-1.9e-08,-0.019000000000000003,7.3e-05,73.0,medium,run05
5,2026-04-05T11:58:41+00:00,1775390321.0,308.0,308,servergm,-3.75e-07,-0.375,7.3e-05,73.0,medium,run05
6,2026-04-05T11:59:42+00:00,1775390382.0,369.0,369,servergm,-7.3e-07,-0.73,7.3e-05,73.0,medium,run05
7,2026-04-05T12:00:44+00:00,1775390444.0,431.0,431,servergm,-1.086e-06,-1.086,7.3e-05,73.0,medium,run05
8,2026-04-05T12:01:45+00:00,1775390505.0,492.0,492,servergm,-1.4420000000000001e-06,-1.4420000000000002,7.3e-05,73.0,medium,run05
9,2026-04-05T12:02:47+00:00,1775390567.0,554.0,554,servergm,-1.7980000000000002e-06,-1.7980000000000003,7.3e-05,73.0,medium,run05
