sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,system_time_s,system_time_us,last_offset_s,last_offset_us,scenario,run_id
0,2026-04-05T11:53:33+00:00,1775390013.0,0.0,0,-7.558e-06,-7.558000000000001,-1.9546e-05,-19.546,medium,run05
1,2026-04-05T11:54:34+00:00,1775390074.0,61.0,61,2e-09,0.002,-1.9546e-05,-19.546,medium,run05
2,2026-04-05T11:55:36+00:00,1775390136.0,123.0,123,9.592e-06,9.592,-1.6108e-05,-16.108,medium,run05
3,2026-04-05T11:56:37+00:00,1775390197.0,184.0,184,-1.8248e-05,-18.247999999999998,-0.000114893,-114.893,medium,run05
4,2026-04-05T11:57:39+00:00,1775390259.0,246.0,246,-1.094e-05,-10.94,-1.0976e-05,-10.975999999999999,medium,run05
5,2026-04-05T11:58:41+00:00,1775390321.0,308.0,308,-1.0345e-05,-10.345,-1.0976e-05,-10.975999999999999,medium,run05
6,2026-04-05T11:59:42+00:00,1775390382.0,369.0,369,-9.75e-06,-9.75,-1.0976e-05,-10.975999999999999,medium,run05
7,2026-04-05T12:00:44+00:00,1775390444.0,431.0,431,-9.155e-06,-9.155,-1.0976e-05,-10.975999999999999,medium,run05
8,2026-04-05T12:01:45+00:00,1775390505.0,492.0,492,-8.56e-06,-8.559999999999999,-1.0976e-05,-10.975999999999999,medium,run05
9,2026-04-05T12:02:47+00:00,1775390567.0,554.0,554,-7.965e-06,-7.965000000000001,-1.0976e-05,-10.975999999999999,medium,run05
