sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,15.0,1.4175066666666671,0.5222501199708085,1.1282654262068146,1.7067479071265197,0.7850600000000001,1.11225,1.2192,1.7234500000000001,2.1151999999999997,0.6054,2.3419
22,15.0,1.4175066666666671,0.5222501199708085,1.1282654262068146,1.7067479071265197,0.7850600000000001,1.11225,1.2192,1.7234500000000001,2.1151999999999997,0.6054,2.3419
23,15.0,1.4175066666666671,0.5222501199708085,1.1282654262068146,1.7067479071265197,0.7850600000000001,1.11225,1.2192,1.7234500000000001,2.1151999999999997,0.6054,2.3419
24,15.0,1.4175066666666671,0.5222501199708085,1.1282654262068146,1.7067479071265197,0.7850600000000001,1.11225,1.2192,1.7234500000000001,2.1151999999999997,0.6054,2.3419
25,15.0,1.6708800000000001,0.6708443359996842,1.2993418414049183,2.042418158595082,0.6054,1.39625,1.8458,2.02905,2.2678599999999998,0.4391,2.8126
26,15.0,1.6708800000000001,0.6708443359996842,1.2993418414049183,2.042418158595082,0.6054,1.39625,1.8458,2.02905,2.2678599999999998,0.4391,2.8126
27,15.0,1.6708800000000001,0.6708443359996842,1.2993418414049183,2.042418158595082,0.6054,1.39625,1.8458,2.02905,2.2678599999999998,0.4391,2.8126
28,15.0,1.6708800000000001,0.6708443359996842,1.2993418414049183,2.042418158595082,0.6054,1.39625,1.8458,2.02905,2.2678599999999998,0.4391,2.8126
29,15.0,1.6708800000000001,0.6708443359996842,1.2993418414049183,2.042418158595082,0.6054,1.39625,1.8458,2.02905,2.2678599999999998,0.4391,2.8126
30,15.0,2.3746333333333336,1.7108009117146885,1.4271291414494478,3.3221375252172196,1.19778,1.35325,1.934,2.5267,3.8370999999999995,0.7087,7.6242
31,15.0,2.3746333333333336,1.7108009117146885,1.4271291414494478,3.3221375252172196,1.19778,1.35325,1.934,2.5267,3.8370999999999995,0.7087,7.6242
32,15.0,2.3746333333333336,1.7108009117146885,1.4271291414494478,3.3221375252172196,1.19778,1.35325,1.934,2.5267,3.8370999999999995,0.7087,7.6242
33,15.0,2.3746333333333336,1.7108009117146885,1.4271291414494478,3.3221375252172196,1.19778,1.35325,1.934,2.5267,3.8370999999999995,0.7087,7.6242
34,15.0,1.55282,0.5788839029916596,1.2322128966585826,1.8734271033414176,1.05646,1.2071,1.4354,1.85515,2.1013599999999997,0.6391,3.0429
35,15.0,1.55282,0.5788839029916596,1.2322128966585826,1.8734271033414176,1.05646,1.2071,1.4354,1.85515,2.1013599999999997,0.6391,3.0429
36,15.0,1.55282,0.5788839029916596,1.2322128966585826,1.8734271033414176,1.05646,1.2071,1.4354,1.85515,2.1013599999999997,0.6391,3.0429
37,15.0,1.55282,0.5788839029916596,1.2322128966585826,1.8734271033414176,1.05646,1.2071,1.4354,1.85515,2.1013599999999997,0.6391,3.0429
38,15.0,1.55282,0.5788839029916596,1.2322128966585826,1.8734271033414176,1.05646,1.2071,1.4354,1.85515,2.1013599999999997,0.6391,3.0429
39,15.0,1.6272333333333329,0.5335475526627228,1.3317351609535724,1.9227315057130934,1.1168,1.34325,1.4426,1.8355000000000001,2.19986,0.9418,3.0301
40,15.0,1.6272333333333329,0.5335475526627228,1.3317351609535724,1.9227315057130934,1.1168,1.34325,1.4426,1.8355000000000001,2.19986,0.9418,3.0301
