sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,15.0,0.38927333333333336,0.22124251873281067,0.26674112488823576,0.511805541778431,0.15286,0.20825,0.3741,0.49505,0.6656599999999999,0.1069,0.8752
22,15.0,0.38927333333333336,0.22124251873281067,0.26674112488823576,0.511805541778431,0.15286,0.20825,0.3741,0.49505,0.6656599999999999,0.1069,0.8752
23,15.0,0.38927333333333336,0.22124251873281067,0.26674112488823576,0.511805541778431,0.15286,0.20825,0.3741,0.49505,0.6656599999999999,0.1069,0.8752
24,15.0,0.38927333333333336,0.22124251873281067,0.26674112488823576,0.511805541778431,0.15286,0.20825,0.3741,0.49505,0.6656599999999999,0.1069,0.8752
25,15.0,0.24225333333333335,0.39816734612950055,0.021733676752801495,0.4627729899138652,-0.14658,0.0276,0.2147,0.55515,0.7095199999999999,-0.6748,0.7346
26,15.0,0.24225333333333335,0.39816734612950055,0.021733676752801495,0.4627729899138652,-0.14658,0.0276,0.2147,0.55515,0.7095199999999999,-0.6748,0.7346
27,15.0,0.24225333333333335,0.39816734612950055,0.021733676752801495,0.4627729899138652,-0.14658,0.0276,0.2147,0.55515,0.7095199999999999,-0.6748,0.7346
28,15.0,0.24225333333333335,0.39816734612950055,0.021733676752801495,0.4627729899138652,-0.14658,0.0276,0.2147,0.55515,0.7095199999999999,-0.6748,0.7346
29,15.0,0.24225333333333335,0.39816734612950055,0.021733676752801495,0.4627729899138652,-0.14658,0.0276,0.2147,0.55515,0.7095199999999999,-0.6748,0.7346
30,15.0,0.4795733333333333,0.7745559635472873,0.05059587763736084,0.9085507890293057,-0.2109599999999999,0.2116,0.6148,0.74785,1.0445399999999998,-1.3575,2.2121
31,15.0,0.4795733333333333,0.7745559635472873,0.05059587763736084,0.9085507890293057,-0.2109599999999999,0.2116,0.6148,0.74785,1.0445399999999998,-1.3575,2.2121
32,15.0,0.4795733333333333,0.7745559635472873,0.05059587763736084,0.9085507890293057,-0.2109599999999999,0.2116,0.6148,0.74785,1.0445399999999998,-1.3575,2.2121
33,15.0,0.4795733333333333,0.7745559635472873,0.05059587763736084,0.9085507890293057,-0.2109599999999999,0.2116,0.6148,0.74785,1.0445399999999998,-1.3575,2.2121
34,15.0,0.2981333333333333,0.26328922897687645,0.15231411706729087,0.44395254959937575,0.10919999999999999,0.196,0.3056,0.45065,0.5664399999999999,-0.4224,0.6853
35,15.0,0.2981333333333333,0.26328922897687645,0.15231411706729087,0.44395254959937575,0.10919999999999999,0.196,0.3056,0.45065,0.5664399999999999,-0.4224,0.6853
36,15.0,0.2981333333333333,0.26328922897687645,0.15231411706729087,0.44395254959937575,0.10919999999999999,0.196,0.3056,0.45065,0.5664399999999999,-0.4224,0.6853
37,15.0,0.2981333333333333,0.26328922897687645,0.15231411706729087,0.44395254959937575,0.10919999999999999,0.196,0.3056,0.45065,0.5664399999999999,-0.4224,0.6853
38,15.0,0.2981333333333333,0.26328922897687645,0.15231411706729087,0.44395254959937575,0.10919999999999999,0.196,0.3056,0.45065,0.5664399999999999,-0.4224,0.6853
39,15.0,0.44033333333333324,0.22308270620898385,0.31678196167901174,0.5638847049876548,0.21624000000000002,0.2404,0.4065,0.59605,0.6801,0.1515,0.9053
