sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,15.0,1.7033999999999998,1.1684743826276822,1.056256099112658,2.3505439008873417,0.88326,1.2484,1.4037,1.7612,2.35082,0.6508,5.5589
22,15.0,1.7033999999999998,1.1684743826276822,1.056256099112658,2.3505439008873417,0.88326,1.2484,1.4037,1.7612,2.35082,0.6508,5.5589
23,15.0,1.7033999999999998,1.1684743826276822,1.056256099112658,2.3505439008873417,0.88326,1.2484,1.4037,1.7612,2.35082,0.6508,5.5589
24,15.0,1.7033999999999998,1.1684743826276822,1.056256099112658,2.3505439008873417,0.88326,1.2484,1.4037,1.7612,2.35082,0.6508,5.5589
25,15.0,1.070193333333333,0.7075135258340262,0.6783464346369836,1.4620402320296826,0.30094000000000004,0.5058,0.8236,1.7929,2.05306,0.2563,2.0848
26,15.0,1.070193333333333,0.7075135258340262,0.6783464346369836,1.4620402320296826,0.30094000000000004,0.5058,0.8236,1.7929,2.05306,0.2563,2.0848
27,15.0,1.070193333333333,0.7075135258340262,0.6783464346369836,1.4620402320296826,0.30094000000000004,0.5058,0.8236,1.7929,2.05306,0.2563,2.0848
28,15.0,1.070193333333333,0.7075135258340262,0.6783464346369836,1.4620402320296826,0.30094000000000004,0.5058,0.8236,1.7929,2.05306,0.2563,2.0848
29,15.0,1.070193333333333,0.7075135258340262,0.6783464346369836,1.4620402320296826,0.30094000000000004,0.5058,0.8236,1.7929,2.05306,0.2563,2.0848
30,15.0,1.3181,0.2520933812243845,1.1784814541945243,1.4577185458054758,1.15184,1.1964000000000001,1.2512,1.46235,1.62188,0.7395,1.7783
31,15.0,1.3181,0.2520933812243845,1.1784814541945243,1.4577185458054758,1.15184,1.1964000000000001,1.2512,1.46235,1.62188,0.7395,1.7783
32,15.0,1.3181,0.2520933812243845,1.1784814541945243,1.4577185458054758,1.15184,1.1964000000000001,1.2512,1.46235,1.62188,0.7395,1.7783
33,15.0,1.3309333333333333,0.2533411524482541,1.1906237261325585,1.471242940534108,1.15184,1.1964000000000001,1.3014,1.46235,1.62188,0.7395,1.7783
34,15.0,1.4655733333333336,0.5760384330762596,1.1465421554279267,1.7846045112387405,0.67114,1.2530999999999999,1.4563,1.7538,2.2081,0.3625,2.3555
35,15.0,1.4655733333333336,0.5760384330762596,1.1465421554279267,1.7846045112387405,0.67114,1.2530999999999999,1.4563,1.7538,2.2081,0.3625,2.3555
36,15.0,1.4655733333333336,0.5760384330762596,1.1465421554279267,1.7846045112387405,0.67114,1.2530999999999999,1.4563,1.7538,2.2081,0.3625,2.3555
37,15.0,1.4447000000000003,0.5825238879222037,1.1220769397132315,1.767323060286769,0.67114,1.14205,1.4563,1.7538,2.2081,0.3625,2.3555
38,15.0,1.4447000000000003,0.5825238879222037,1.1220769397132315,1.767323060286769,0.67114,1.14205,1.4563,1.7538,2.2081,0.3625,2.3555
39,15.0,1.4948599999999999,0.5222306397970701,1.2056295483736985,1.7840904516263012,0.85496,1.20885,1.4741,1.78655,2.23744,0.6296,2.3322
40,15.0,1.4948599999999999,0.5222306397970701,1.2056295483736985,1.7840904516263012,0.85496,1.20885,1.4741,1.78655,2.23744,0.6296,2.3322
