sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,15.0,0.45874,0.6122219541496834,0.1196690631375873,0.7978109368624127,0.11648,0.15439999999999998,0.3636,0.43645,0.7706599999999999,-0.0937,2.4995
22,15.0,0.45874,0.6122219541496834,0.1196690631375873,0.7978109368624127,0.11648,0.15439999999999998,0.3636,0.43645,0.7706599999999999,-0.0937,2.4995
23,15.0,0.45874,0.6122219541496834,0.1196690631375873,0.7978109368624127,0.11648,0.15439999999999998,0.3636,0.43645,0.7706599999999999,-0.0937,2.4995
24,15.0,0.45874,0.6122219541496834,0.1196690631375873,0.7978109368624127,0.11648,0.15439999999999998,0.3636,0.43645,0.7706599999999999,-0.0937,2.4995
25,15.0,0.24401333333333333,0.2348946203442443,0.11392009109623633,0.37410657557043037,0.0221,0.07585,0.0997,0.41345,0.55414,0.0118,0.7284
26,15.0,0.24401333333333333,0.2348946203442443,0.11392009109623633,0.37410657557043037,0.0221,0.07585,0.0997,0.41345,0.55414,0.0118,0.7284
27,15.0,0.24401333333333333,0.2348946203442443,0.11392009109623633,0.37410657557043037,0.0221,0.07585,0.0997,0.41345,0.55414,0.0118,0.7284
28,15.0,0.24401333333333333,0.2348946203442443,0.11392009109623633,0.37410657557043037,0.0221,0.07585,0.0997,0.41345,0.55414,0.0118,0.7284
29,15.0,0.24401333333333333,0.2348946203442443,0.11392009109623633,0.37410657557043037,0.0221,0.07585,0.0997,0.41345,0.55414,0.0118,0.7284
30,15.0,0.3107866666666667,0.14199270537936934,0.2321459068666023,0.3894274264667311,0.14678000000000002,0.20235,0.3244,0.362,0.48961999999999994,0.1124,0.6075
31,15.0,0.3107866666666667,0.14199270537936934,0.2321459068666023,0.3894274264667311,0.14678000000000002,0.20235,0.3244,0.362,0.48961999999999994,0.1124,0.6075
32,15.0,0.3107866666666667,0.14199270537936934,0.2321459068666023,0.3894274264667311,0.14678000000000002,0.20235,0.3244,0.362,0.48961999999999994,0.1124,0.6075
33,15.0,0.3126866666666667,0.1404446910285157,0.2349032539000804,0.39047007943325307,0.14678000000000002,0.21660000000000001,0.3244,0.362,0.48961999999999994,0.1124,0.6075
34,15.0,0.29489333333333334,0.3101922985749938,0.12309747960344014,0.46668918706322654,0.07752,0.11399999999999999,0.2186,0.5123,0.60222,-0.3812,0.9324
35,15.0,0.29489333333333334,0.3101922985749938,0.12309747960344014,0.46668918706322654,0.07752,0.11399999999999999,0.2186,0.5123,0.60222,-0.3812,0.9324
36,15.0,0.29489333333333334,0.3101922985749938,0.12309747960344014,0.46668918706322654,0.07752,0.11399999999999999,0.2186,0.5123,0.60222,-0.3812,0.9324
37,15.0,0.29091999999999996,0.3116178043693909,0.1183346489612748,0.46350535103872514,0.07752,0.11399999999999999,0.1874,0.5123,0.60222,-0.3812,0.9324
38,15.0,0.29091999999999996,0.3116178043693909,0.1183346489612748,0.46350535103872514,0.07752,0.11399999999999999,0.1874,0.5123,0.60222,-0.3812,0.9324
39,15.0,0.22746666666666668,0.19784360586319788,0.11789363300203079,0.3370397003313026,0.016360000000000013,0.1148,0.159,0.4051,0.43136,-0.0703,0.6528
40,15.0,0.22746666666666668,0.19784360586319788,0.11789363300203079,0.3370397003313026,0.016360000000000013,0.1148,0.159,0.4051,0.43136,-0.0703,0.6528
