sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,15.0,0.11657999999999999,0.45151239850086083,-0.13348410000000013,0.36664410000000014,0.0,0.0,0.0,0.0,0.0,0.0,1.7487
21,15.0,1.6810733333333332,0.543289259269954,1.3801798471077302,1.9819668195589362,1.17128,1.2436,1.5029,1.96185,2.28068,1.0243,3.0145
22,15.0,1.6810733333333332,0.543289259269954,1.3801798471077302,1.9819668195589362,1.17128,1.2436,1.5029,1.96185,2.28068,1.0243,3.0145
23,15.0,1.6810733333333332,0.543289259269954,1.3801798471077302,1.9819668195589362,1.17128,1.2436,1.5029,1.96185,2.28068,1.0243,3.0145
24,15.0,1.6285933333333333,0.5734722081529404,1.3109834247617875,1.9462032419048791,1.07338,1.2116500000000001,1.4414,1.96185,2.28068,0.9615,3.0145
25,15.0,1.4330933333333333,0.49050182825735683,1.1614354593994536,1.704751207267213,0.9735400000000001,1.2642,1.4465,1.64255,1.8997799999999998,0.3165,2.4841
26,15.0,1.4330933333333333,0.49050182825735683,1.1614354593994536,1.704751207267213,0.9735400000000001,1.2642,1.4465,1.64255,1.8997799999999998,0.3165,2.4841
27,15.0,1.4330933333333333,0.49050182825735683,1.1614354593994536,1.704751207267213,0.9735400000000001,1.2642,1.4465,1.64255,1.8997799999999998,0.3165,2.4841
28,15.0,1.4330933333333333,0.49050182825735683,1.1614354593994536,1.704751207267213,0.9735400000000001,1.2642,1.4465,1.64255,1.8997799999999998,0.3165,2.4841
29,15.0,1.4602600000000003,0.47350711836556075,1.1980144187251116,1.722505581274889,1.09756,1.31315,1.4465,1.64255,1.8997799999999998,0.3165,2.4841
30,15.0,1.5669600000000001,0.4991965799447863,1.2904866541927906,1.8434333458072096,1.18026,1.2386,1.4073,1.7401499999999999,2.30436,1.0777,2.7148
31,15.0,1.5669600000000001,0.4991965799447863,1.2904866541927906,1.8434333458072096,1.18026,1.2386,1.4073,1.7401499999999999,2.30436,1.0777,2.7148
32,15.0,1.5669600000000001,0.4991965799447863,1.2904866541927906,1.8434333458072096,1.18026,1.2386,1.4073,1.7401499999999999,2.30436,1.0777,2.7148
33,15.0,1.6090000000000002,0.5078132347906772,1.327754435210095,1.8902455647899055,1.18026,1.2386,1.412,1.9794,2.30436,1.0777,2.7148
34,15.0,1.7537799999999997,0.3995519994765566,1.532493471691929,1.9750665283080704,1.22728,1.49265,1.73,2.1272,2.2082200000000003,1.1483,2.3647
35,15.0,1.7537799999999997,0.3995519994765566,1.532493471691929,1.9750665283080704,1.22728,1.49265,1.73,2.1272,2.2082200000000003,1.1483,2.3647
36,15.0,1.7537799999999997,0.3995519994765566,1.532493471691929,1.9750665283080704,1.22728,1.49265,1.73,2.1272,2.2082200000000003,1.1483,2.3647
37,15.0,1.74358,0.39475242548788914,1.52495165152009,1.9622083484799098,1.22728,1.49265,1.73,2.1272,2.2082200000000003,1.1483,2.3647
38,15.0,1.74358,0.39475242548788914,1.52495165152009,1.9622083484799098,1.22728,1.49265,1.73,2.1272,2.2082200000000003,1.1483,2.3647
39,15.0,1.26936,0.48960466092552674,0.9981990101874165,1.5405209898125836,0.5484,0.9342999999999999,1.3374,1.714,1.81542,0.4111,1.8466
40,15.0,1.26936,0.48960466092552674,0.9981990101874165,1.5405209898125836,0.5484,0.9342999999999999,1.3374,1.714,1.81542,0.4111,1.8466
