sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,0.0001933333333333334,2.581988897471611e-05,0.0001790333333333334,0.00020763333333333338,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
1,15.0,0.0001933333333333334,2.581988897471611e-05,0.0001790333333333334,0.00020763333333333338,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
2,15.0,0.0001933333333333334,2.581988897471611e-05,0.0001790333333333334,0.00020763333333333338,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
3,15.0,0.0001933333333333334,2.581988897471611e-05,0.0001790333333333334,0.00020763333333333338,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
4,15.0,0.0001933333333333334,2.581988897471611e-05,0.0001790333333333334,0.00020763333333333338,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
5,15.0,0.0001933333333333334,2.581988897471611e-05,0.0001790333333333334,0.00020763333333333338,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
6,15.0,0.0001933333333333334,2.581988897471611e-05,0.0001790333333333334,0.00020763333333333338,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
7,15.0,0.0001933333333333334,2.581988897471611e-05,0.0001790333333333334,0.00020763333333333338,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
8,15.0,0.0001933333333333334,2.581988897471611e-05,0.0001790333333333334,0.00020763333333333338,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
9,15.0,0.0001933333333333334,2.581988897471611e-05,0.0001790333333333334,0.00020763333333333338,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
10,15.0,0.0001933333333333334,2.581988897471611e-05,0.0001790333333333334,0.00020763333333333338,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
11,15.0,0.0001933333333333334,2.581988897471611e-05,0.0001790333333333334,0.00020763333333333338,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
12,15.0,0.0001933333333333334,2.581988897471611e-05,0.0001790333333333334,0.00020763333333333338,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
13,15.0,0.0001933333333333334,2.581988897471611e-05,0.0001790333333333334,0.00020763333333333338,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
14,15.0,0.0001933333333333334,2.581988897471611e-05,0.0001790333333333334,0.00020763333333333338,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
15,15.0,0.0001933333333333334,2.581988897471611e-05,0.0001790333333333334,0.00020763333333333338,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
16,15.0,0.0001933333333333334,2.581988897471611e-05,0.0001790333333333334,0.00020763333333333338,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
17,15.0,0.0001933333333333334,2.581988897471611e-05,0.0001790333333333334,0.00020763333333333338,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
18,15.0,0.0001933333333333334,2.581988897471611e-05,0.0001790333333333334,0.00020763333333333338,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
19,15.0,0.0001933333333333334,2.581988897471611e-05,0.0001790333333333334,0.00020763333333333338,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
20,15.0,0.00018000000000000004,5.60611910581388e-05,0.00014895125951484855,0.00021104874048515152,0.00014000000000000001,0.0002,0.0002,0.0002,0.0002,0.0,0.0002
21,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,15.0,0.010526666666666667,0.040769604691076745,-0.012053033333333334,0.033106366666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.1579
25,15.0,0.24517999999999998,0.16898571452725142,0.1515895232901262,0.33877047670987376,0.07784,0.13324999999999998,0.1579,0.34115,0.45358,0.0158,0.611
26,15.0,0.24517999999999998,0.16898571452725142,0.1515895232901262,0.33877047670987376,0.07784,0.13324999999999998,0.1579,0.34115,0.45358,0.0158,0.611
27,15.0,0.24517999999999998,0.16898571452725142,0.1515895232901262,0.33877047670987376,0.07784,0.13324999999999998,0.1579,0.34115,0.45358,0.0158,0.611
28,15.0,0.24517999999999998,0.16898571452725142,0.1515895232901262,0.33877047670987376,0.07784,0.13324999999999998,0.1579,0.34115,0.45358,0.0158,0.611
29,15.0,0.2591,0.16988004591475714,0.16501420981864479,0.3531857901813552,0.07784,0.13324999999999998,0.2746,0.36745000000000005,0.45358,0.0158,0.611
30,15.0,0.21028000000000002,0.14368719099885993,0.13070077201432706,0.289859227985673,0.07060000000000001,0.1027,0.1673,0.29345,0.36868,0.0493,0.5658
31,15.0,0.21028000000000002,0.14368719099885993,0.13070077201432706,0.289859227985673,0.07060000000000001,0.1027,0.1673,0.29345,0.36868,0.0493,0.5658
32,15.0,0.21028000000000002,0.14368719099885993,0.13070077201432706,0.289859227985673,0.07060000000000001,0.1027,0.1673,0.29345,0.36868,0.0493,0.5658
33,15.0,0.1989933333333333,0.1370171963486266,0.12310819263020976,0.2748784740364568,0.07060000000000001,0.1027,0.1673,0.241,0.34812,0.0493,0.5658
34,15.0,0.32896666666666674,0.15455726939814096,0.24336719121742284,0.41456614211591064,0.18304,0.21434999999999998,0.2737,0.43420000000000003,0.52948,0.1444,0.657
35,15.0,0.32896666666666674,0.15455726939814096,0.24336719121742284,0.41456614211591064,0.18304,0.21434999999999998,0.2737,0.43420000000000003,0.52948,0.1444,0.657
36,15.0,0.32896666666666674,0.15455726939814096,0.24336719121742284,0.41456614211591064,0.18304,0.21434999999999998,0.2737,0.43420000000000003,0.52948,0.1444,0.657
37,15.0,0.33517333333333343,0.15071812606255933,0.25170011604703424,0.41864655061963263,0.18304,0.23175,0.2905,0.43420000000000003,0.52948,0.1444,0.657
38,15.0,0.33517333333333343,0.15071812606255933,0.25170011604703424,0.41864655061963263,0.18304,0.23175,0.2905,0.43420000000000003,0.52948,0.1444,0.657
39,15.0,0.24097999999999997,0.10486080024762078,0.18290424897685043,0.2990557510231495,0.1327,0.16544999999999999,0.2247,0.29315,0.37865999999999994,0.1158,0.4807
40,15.0,0.24097999999999997,0.10486080024762078,0.18290424897685043,0.2990557510231495,0.1327,0.16544999999999999,0.2247,0.29315,0.37865999999999994,0.1158,0.4807
41,15.0,0.24097999999999997,0.10486080024762078,0.18290424897685043,0.2990557510231495,0.1327,0.16544999999999999,0.2247,0.29315,0.37865999999999994,0.1158,0.4807
42,15.0,0.31490666666666667,0.3175180995216013,0.13905351611264416,0.4907598172206892,0.1327,0.16544999999999999,0.2247,0.30885,0.45502,0.1158,1.3994
43,15.0,0.4364,0.31710851905482274,0.2607736901067049,0.6120263098932951,0.18346,0.26605,0.3137,0.5274,0.6784999999999999,0.1122,1.3994
44,15.0,0.4364,0.31710851905482274,0.2607736901067049,0.6120263098932951,0.18346,0.26605,0.3137,0.5274,0.6784999999999999,0.1122,1.3994
45,15.0,0.4364,0.31710851905482274,0.2607736901067049,0.6120263098932951,0.18346,0.26605,0.3137,0.5274,0.6784999999999999,0.1122,1.3994
46,15.0,0.38339333333333336,0.18253868265840714,0.2822967265829582,0.48448994008370855,0.18346,0.26605,0.3137,0.5274,0.5932999999999999,0.1122,0.7463
47,15.0,0.28900000000000003,0.12940489613170414,0.21733082990808195,0.3606691700919181,0.14838,0.1773,0.2768,0.35914999999999997,0.4084,0.1095,0.6043
48,15.0,0.28900000000000003,0.12940489613170414,0.21733082990808195,0.3606691700919181,0.14838,0.1773,0.2768,0.35914999999999997,0.4084,0.1095,0.6043
49,15.0,0.28900000000000003,0.12940489613170414,0.21733082990808195,0.3606691700919181,0.14838,0.1773,0.2768,0.35914999999999997,0.4084,0.1095,0.6043
50,15.0,0.37497333333333327,0.4309339930673286,0.13630630781292033,0.6136403588537462,0.14838,0.1773,0.2768,0.35914999999999997,0.4084,0.1095,1.8939
51,15.0,0.45425333333333323,0.4109901491114679,0.22663193890947864,0.6818747277571878,0.22408,0.2883,0.3768,0.41259999999999997,0.5321199999999999,0.1801,1.8939
52,15.0,0.4595066666666667,0.40784840577748743,0.2336252847471228,0.6853880485862105,0.24609999999999999,0.2989,0.3768,0.41259999999999997,0.5321199999999999,0.201,1.8939
53,15.0,0.4595066666666667,0.40784840577748743,0.2336252847471228,0.6853880485862105,0.24609999999999999,0.2989,0.3768,0.41259999999999997,0.5321199999999999,0.201,1.8939
54,15.0,0.4595066666666667,0.40784840577748743,0.2336252847471228,0.6853880485862105,0.24609999999999999,0.2989,0.3768,0.41259999999999997,0.5321199999999999,0.201,1.8939
55,15.0,0.4437466666666667,0.3487470058584562,0.250597804227348,0.6368955291059853,0.24609999999999999,0.2989,0.3768,0.41259999999999997,0.5321199999999999,0.201,1.6575
56,15.0,0.4767666666666666,0.4557551890883443,0.22435275387465853,0.7291805794586748,0.19518,0.2419,0.3415,0.4238,1.0924599999999998,0.1209,1.6575
57,15.0,0.4767666666666666,0.4557551890883443,0.22435275387465853,0.7291805794586748,0.19518,0.2419,0.3415,0.4238,1.0924599999999998,0.1209,1.6575
58,15.0,0.4767666666666666,0.4557551890883443,0.22435275387465853,0.7291805794586748,0.19518,0.2419,0.3415,0.4238,1.0924599999999998,0.1209,1.6575
59,15.0,0.44288666666666665,0.37310771686063043,0.2362459504214614,0.649527382911872,0.19518,0.2419,0.3415,0.4238,0.8980599999999997,0.1209,1.4733
60,15.0,0.4301333333333333,0.26469563293571374,0.28353519905447266,0.576731467612194,0.21274,0.23895,0.3589,0.5298499999999999,0.7090799999999999,0.1674,1.1493
