sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,15.0,0.02702,0.10464801001452441,-0.0309379,0.0849779,0.0,0.0,0.0,0.0,0.0,0.0,0.4053
21,15.0,0.47304000000000007,0.2472235333227228,0.3361185542890273,0.6099614457109728,0.25952000000000003,0.33625,0.4053,0.62305,0.82624,0.0913,0.9558
22,15.0,0.47304000000000007,0.2472235333227228,0.3361185542890273,0.6099614457109728,0.25952000000000003,0.33625,0.4053,0.62305,0.82624,0.0913,0.9558
23,15.0,0.47304000000000007,0.2472235333227228,0.3361185542890273,0.6099614457109728,0.25952000000000003,0.33625,0.4053,0.62305,0.82624,0.0913,0.9558
24,15.0,0.46251333333333344,0.25359348759852046,0.32206397368620454,0.6029626929804623,0.2432,0.31215000000000004,0.3813,0.62305,0.82624,0.0913,0.9558
25,15.0,0.35254,0.1583312116148568,0.2648503771550069,0.4402296228449931,0.21458,0.2655,0.3448,0.43565,0.58096,0.0169,0.6022
26,15.0,0.35254,0.1583312116148568,0.2648503771550069,0.4402296228449931,0.21458,0.2655,0.3448,0.43565,0.58096,0.0169,0.6022
27,15.0,0.35254,0.1583312116148568,0.2648503771550069,0.4402296228449931,0.21458,0.2655,0.3448,0.43565,0.58096,0.0169,0.6022
28,15.0,0.35254,0.1583312116148568,0.2648503771550069,0.4402296228449931,0.21458,0.2655,0.3448,0.43565,0.58096,0.0169,0.6022
29,15.0,0.33393333333333336,0.18561782036780639,0.2311313873660651,0.43673527930060163,0.09042000000000001,0.2595,0.3448,0.43565,0.58096,-0.0317,0.6022
30,15.0,0.3302866666666666,0.1800850785706843,0.23054895570739245,0.4300243776259408,0.060980000000000006,0.26680000000000004,0.3438,0.45894999999999997,0.5146000000000001,-0.0317,0.5722
31,15.0,0.3302866666666666,0.1800850785706843,0.23054895570739245,0.4300243776259408,0.060980000000000006,0.26680000000000004,0.3438,0.45894999999999997,0.5146000000000001,-0.0317,0.5722
32,15.0,0.3302866666666666,0.1800850785706843,0.23054895570739245,0.4300243776259408,0.060980000000000006,0.26680000000000004,0.3438,0.45894999999999997,0.5146000000000001,-0.0317,0.5722
33,15.0,0.3514933333333332,0.15075399765685754,0.26800024904454745,0.434986417622119,0.1723,0.29085,0.3438,0.45894999999999997,0.5146000000000001,0.0161,0.5722
34,15.0,0.4545066666666667,0.2861825003801063,0.29600831838008135,0.6130050149532521,0.0685,0.26815,0.4356,0.6207,0.81442,0.0176,0.947
35,15.0,0.4545066666666667,0.2861825003801063,0.29600831838008135,0.6130050149532521,0.0685,0.26815,0.4356,0.6207,0.81442,0.0176,0.947
36,15.0,0.4545066666666667,0.2861825003801063,0.29600831838008135,0.6130050149532521,0.0685,0.26815,0.4356,0.6207,0.81442,0.0176,0.947
37,15.0,0.4343866666666667,0.30857809121995744,0.2634848200798571,0.6052885132534763,0.028520000000000004,0.1769,0.4356,0.6207,0.81442,-0.0154,0.947
38,15.0,0.4343866666666667,0.30857809121995744,0.2634848200798571,0.6052885132534763,0.028520000000000004,0.1769,0.4356,0.6207,0.81442,-0.0154,0.947
39,15.0,0.26657333333333333,0.14544797531698242,0.18601891851499008,0.3471277481516766,0.1019,0.16455,0.2921,0.37075,0.39198,-0.0154,0.5333
40,15.0,0.26657333333333333,0.14544797531698242,0.18601891851499008,0.3471277481516766,0.1019,0.16455,0.2921,0.37075,0.39198,-0.0154,0.5333
