sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,15.0,7.230626666666667,18.636052058940056,-3.0907013879894203,17.551954721322755,0.0,0.0,0.0,0.3671,31.175719999999984,0.0,55.2411
37,15.0,50.83326666666667,28.67080379795712,34.9543256413095,66.71220769202384,0.7037200000000002,45.74375,56.862,72.4778,77.69206,0.0,80.6114
38,15.0,41.510859999999994,31.115160115191436,24.27814493747794,58.74357506252205,1.01614,1.63245,50.1926,67.06575000000001,72.94146,0.0,79.5221
39,15.0,40.97953333333333,30.702659809294016,23.975276045362875,57.98379062130378,1.01614,1.63245,50.1926,63.080799999999996,72.94146,0.0,79.5221
40,15.0,40.97953333333333,30.702659809294016,23.975276045362875,57.98379062130378,1.01614,1.63245,50.1926,63.080799999999996,72.94146,0.0,79.5221
41,15.0,51.22096666666666,27.564421683152847,35.95478057055005,66.48715276278327,1.4987,48.3771,59.6569,72.17075,74.20864,0.6975,78.6981
42,15.0,61.88279333333334,22.085990092282053,49.65076326423015,74.11482340243653,48.19694,51.51845,61.7467,73.89235,80.2131,0.9456,100.3957
43,15.0,62.753673333333346,22.24889973528279,50.43141793842834,75.07592872823835,48.19694,51.51845,65.3487,73.89235,80.2131,0.9456,100.3957
44,15.0,62.753673333333346,22.24889973528279,50.43141793842834,75.07592872823835,48.19694,51.51845,65.3487,73.89235,80.2131,0.9456,100.3957
45,15.0,57.562406666666675,26.867902848605347,42.68197820660275,72.4428351267306,19.218200000000007,50.9927,61.7467,72.81569999999999,78.68322,0.8291,100.3957
46,15.0,44.281879999999994,28.40357969990503,28.55093746549176,60.01282253450823,0.9946600000000001,23.305699999999998,53.3828,61.366749999999996,72.03154,0.4148,78.3145
