sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,15.0,-3.342586666666667,8.958151667843945,-8.303939094464118,1.6187657611307835,-14.785139999999997,0.0,0.0,0.0,0.028679999999999983,-26.1436,0.5989
37,15.0,-24.434013333333333,14.01010058344982,-32.193320065423386,-16.67470660124328,-37.593740000000004,-34.61505,-28.031,-22.10985,0.0,-39.9493,0.5482
38,15.0,-19.90227333333333,15.496693931262826,-28.484909898272118,-11.319636768394542,-35.41596,-32.18365,-24.2946,0.0529,0.4105199999999999,-38.9209,0.5582
39,15.0,-19.68771333333333,15.335923188843092,-28.18130917393541,-11.194117492731253,-35.41596,-30.652749999999997,-24.2946,0.0529,0.4105199999999999,-38.9209,0.5582
40,15.0,-19.68771333333333,15.335923188843092,-28.18130917393541,-11.194117492731253,-35.41596,-30.652749999999997,-24.2946,0.0529,0.4105199999999999,-38.9209,0.5582
41,15.0,-24.738746666666668,13.7686622406446,-32.36433600339938,-17.11315732993395,-36.3984,-34.838300000000004,-29.1238,-23.44745,0.16471999999999995,-38.5934,0.5582
42,15.0,-28.933633333333333,9.754720469647113,-34.33615473273015,-23.53111193393652,-37.937560000000005,-34.98935,-29.6683,-25.1574,-22.86654,-40.3162,0.2579
43,15.0,-29.39834666666667,9.921057143258954,-34.89299140691048,-23.90370192642286,-37.937560000000005,-35.751599999999996,-31.2172,-25.1574,-22.86654,-40.3162,0.2579
44,15.0,-29.39834666666667,9.921057143258954,-34.89299140691048,-23.90370192642286,-37.937560000000005,-35.751599999999996,-31.2172,-25.1574,-22.86654,-40.3162,0.2579
45,15.0,-26.81084666666667,12.160239792211962,-33.54563275342764,-20.0760605799057,-36.54744,-34.98935,-29.6683,-24.73955,-8.59210000000001,-40.3162,0.2579
