sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,0.00013333333333333337,4.879500364742666e-05,0.00010630887351317362,0.0001603577931534931,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
1,15.0,0.00013333333333333337,4.879500364742666e-05,0.00010630887351317362,0.0001603577931534931,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
2,15.0,0.00013333333333333337,4.879500364742666e-05,0.00010630887351317362,0.0001603577931534931,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
3,15.0,0.00013333333333333337,4.879500364742666e-05,0.00010630887351317362,0.0001603577931534931,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
4,15.0,0.00013333333333333337,4.879500364742666e-05,0.00010630887351317362,0.0001603577931534931,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
5,15.0,0.00013333333333333337,4.879500364742666e-05,0.00010630887351317362,0.0001603577931534931,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
6,15.0,0.00013333333333333337,4.879500364742666e-05,0.00010630887351317362,0.0001603577931534931,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
7,15.0,0.00013333333333333337,4.879500364742666e-05,0.00010630887351317362,0.0001603577931534931,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
8,15.0,0.00013333333333333337,4.879500364742666e-05,0.00010630887351317362,0.0001603577931534931,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
9,15.0,0.00013333333333333337,4.879500364742666e-05,0.00010630887351317362,0.0001603577931534931,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
10,15.0,0.00013333333333333337,4.879500364742666e-05,0.00010630887351317362,0.0001603577931534931,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
11,15.0,0.00013333333333333337,4.879500364742666e-05,0.00010630887351317362,0.0001603577931534931,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
12,15.0,0.00013333333333333337,4.879500364742666e-05,0.00010630887351317362,0.0001603577931534931,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
13,15.0,0.00013333333333333337,4.879500364742666e-05,0.00010630887351317362,0.0001603577931534931,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
14,15.0,0.00013333333333333337,4.879500364742666e-05,0.00010630887351317362,0.0001603577931534931,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
15,15.0,0.00013333333333333337,4.879500364742666e-05,0.00010630887351317362,0.0001603577931534931,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
16,15.0,0.00013333333333333337,4.879500364742666e-05,0.00010630887351317362,0.0001603577931534931,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
17,15.0,0.00013333333333333337,4.879500364742666e-05,0.00010630887351317362,0.0001603577931534931,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
18,15.0,0.00013333333333333337,4.879500364742666e-05,0.00010630887351317362,0.0001603577931534931,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
19,15.0,0.00013333333333333337,4.879500364742666e-05,0.00010630887351317362,0.0001603577931534931,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
20,15.0,0.00013333333333333337,4.879500364742666e-05,0.00010630887351317362,0.0001603577931534931,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
