sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,15.0,1.2950733333333335,5.0157974521173285,-1.4828589666666672,4.073005633333334,0.0,0.0,0.0,0.0,0.0,0.0,19.4261
36,15.0,10.265446666666666,10.138551701575713,4.650345475700885,15.880547857632447,0.0,0.0,14.0559,19.405,21.35946,0.0,24.8572
37,15.0,18.63856,6.59387980292548,14.986627907101791,22.290492092898205,13.803680000000002,16.7232,19.3861,22.5154,24.32442,0.0,28.6508
38,15.0,18.942199999999996,4.010764145931011,16.7208919477858,21.163508052214194,15.30734,16.7232,17.6023,21.40085,22.98316,12.3808,28.6508
39,15.0,18.883186666666663,4.061441173114128,16.63381182108135,21.13256151225198,14.95326,16.7232,17.6023,21.40085,22.98316,12.3808,28.6508
40,15.0,18.62160666666666,3.982528336813664,16.415936639494845,20.827276693838478,14.95326,16.7232,17.6023,20.17055,22.98316,12.3808,28.6508
41,15.0,17.839119999999998,2.2567869676663257,16.58922873713552,19.089011262864474,14.95326,17.3542,18.0955,19.090899999999998,20.038439999999998,12.3543,20.955
42,15.0,17.762299999999996,2.3884740938814586,16.43947558445154,19.085124415548453,14.4351,16.7862,18.8894,19.1384,20.038439999999998,12.3543,20.7457
43,15.0,17.933513333333334,2.2841544805984757,16.668464939649553,19.198561727017115,14.86214,17.4495,18.8894,19.1384,20.038439999999998,12.3543,20.7457
44,15.0,18.057233333333333,2.3332753871716365,16.764979982855042,19.349486683811623,14.86214,17.4495,18.8909,19.41785,20.07652,12.3543,20.7457
45,15.0,18.39477333333333,2.5658288361426114,16.97372336705466,19.815823299612,14.86214,17.7164,19.0571,19.7312,20.55742,12.3543,22.3327
46,15.0,15.9869,6.787602215594462,12.227677341140058,19.746122658859942,6.167600000000002,14.77085,17.8034,19.9835,21.75886,0.3907,22.5412
