sample_idx,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,15.0,-0.53684,2.0791723795779893,-1.6883617999999998,0.6146817999999998,0.0,0.0,0.0,0.0,0.0,-8.0526,0.0
36,15.0,-4.446326666666667,4.480413849422309,-6.927743922545609,-1.9649094107877243,-9.4523,-8.2843,-6.2662,0.0,0.0,-11.0478,0.2191
37,15.0,-8.149373333333335,2.7423795479386843,-9.668203548828263,-6.630543117838407,-10.0407,-9.648,-8.7623,-7.5752500000000005,-5.9910000000000005,-11.9543,0.0
38,15.0,-8.29404,1.3199450463669202,-9.025073901095793,-7.563006098904208,-9.65854,-9.4454,-8.1408,-7.4773499999999995,-6.81712,-10.2403,-5.5042
39,15.0,-8.185233333333334,1.475204123728871,-9.00225539682789,-7.36821126983878,-9.65854,-9.4454,-8.1408,-7.4773499999999995,-5.96362,-10.2403,-5.5042
40,15.0,-8.087673333333333,1.4149831727755973,-8.871342828988611,-7.304003837678056,-9.57746,-9.19015,-8.1408,-7.4773499999999995,-5.96362,-10.2403,-5.5042
41,15.0,-7.807313333333334,1.2872055396237603,-8.520214896722885,-7.0944117699437825,-9.16738,-8.69015,-8.1765,-6.9879,-5.96362,-9.4588,-5.2684
42,15.0,-7.7854800000000015,1.334481235858018,-8.52456457512953,-7.046395424870473,-9.12424,-8.7986,-8.1765,-6.9879,-5.78662,-9.4588,-5.2684
43,15.0,-7.930886666666668,1.185443175035436,-8.58742850616128,-7.274344827172057,-9.12424,-8.7986,-8.1765,-7.288349999999999,-6.4459800000000005,-9.4588,-5.2684
44,15.0,-7.953740000000001,1.1950377159618975,-8.615595647597456,-7.291884352402545,-9.12424,-8.7986,-8.1765,-7.288349999999999,-6.4459800000000005,-9.4588,-5.2684
