scenario,role,run_id,n_rows,max_sample_idx,t_rel_min_s,t_rel_max_s,n_selected_rows,selected_fraction,offset_ms_mean,offset_ms_std,offset_ms_median,offset_ms_p95,offset_ms_max,jitter_ms_mean,jitter_ms_std,jitter_ms_median,jitter_ms_p95,jitter_ms_max,delay_ms_mean,delay_ms_std,delay_ms_median,delay_ms_p95,delay_ms_max
high,client,run01,100,99,0.0,1492.0,62,0.62,-10.791019,14.773083,0.0,0.0667,0.0945,14.810462,12.532975,16.5408,33.6416,33.6416,22.793287,30.66533,0.6974,77.5578,81.8621
high,client,run02,100,99,0.0,1491.0,61,0.61,-11.201178,15.472143,0.0,0.2131,0.2131,13.997162,12.547892,15.0489,31.7782,31.8759,23.593573,31.314135,2.3349,73.111565,80.5494
high,client,run03,100,99,0.0,1491.0,63,0.63,-6.164613,11.759288,0.0,0.1324,0.1324,14.289856,11.737716,16.5504,28.3999,28.7737,13.404588,23.942336,1.3713,61.20845,69.0355
high,client,run04,100,99,0.0,1507.0,62,0.62,-4.966377,10.543728,0.0,0.1863,0.429,14.416743,11.681562,17.9155,28.6596,28.9089,11.022722,22.062395,0.6975,58.7326,74.947
high,client,run05,100,99,0.0,1492.0,63,0.63,-18.504116,15.520872,-21.8252,0.0,0.0,6.767767,5.666254,9.0179,14.2766,15.6376,38.26163,31.849711,45.1658,81.437175,82.8997
high,client,run06,100,99,0.0,1491.0,63,0.63,-13.956107,14.232197,-22.4501,0.1852,0.5482,10.943107,9.980022,8.9647,29.803905,30.336,29.249822,29.145994,48.1248,71.256495,72.9113
high,client,run07,100,99,0.0,1492.0,63,0.63,-12.267094,14.726358,0.0,0.5793,0.5989,12.814544,11.77207,13.07615,29.704855,32.2842,25.739853,29.617264,1.772,74.8734,79.3676
high,client,run08,100,99,0.0,1491.0,63,0.63,-9.418389,14.159294,-0.2729,0.0,0.0,14.58603,13.317518,13.998,32.2068,32.4962,19.971266,28.933684,2.2324,73.24633,77.9532
high,client,run09,100,99,0.0,1491.0,59,0.59,-10.429196,15.229963,0.0,0.7928,0.7928,13.29308,12.348207,15.32685,31.54696,32.221,22.275708,30.689538,2.2204,77.6691,78.6981
high,client,run10,100,99,0.0,1491.0,63,0.63,-12.322482,14.367981,0.0,0.1981,0.1981,9.545076,9.964732,7.7093,27.9786,28.4598,25.881793,29.51826,1.0299,72.0642,72.5364
high,client,run11,100,99,0.0,1491.0,63,0.63,-7.437061,12.752942,0.0,0.1817,0.1817,12.117767,11.871373,9.2411,28.0219,28.4577,17.04851,27.983527,0.7501,70.206885,71.4302
high,client,run12,100,99,0.0,1498.0,63,0.63,-8.296122,15.556236,0.0,0.2016,0.204,17.306716,13.966473,22.2329,32.99433,33.3768,19.113079,34.714517,0.821,81.1026,100.3957
high,client,run13,100,99,0.0,1482.0,63,0.63,-17.523059,14.88696,-25.3673,0.0,0.0,8.730367,7.981881,8.384,21.1578,27.8349,36.405285,30.87978,52.6716,79.5221,81.9213
high,client,run14,100,99,0.0,1491.0,62,0.62,-6.52889,13.85919,0.0,0.2114,0.2114,16.004054,13.726956,18.79965,32.278435,32.5432,14.214657,28.259411,1.2696,80.701755,82.4185
high,client,run15,100,99,0.0,1492.0,62,0.62,-5.852878,12.401383,0.0,0.6303,0.6303,16.50899,13.247717,21.765,32.2378,32.5031,13.002829,25.420989,0.8178,69.919105,78.3077
high,boundary,run01,100,99,0.0,1492.0,66,0.66,0.035469,0.322585,0.087,0.1849,0.7513,0.488026,0.393668,0.5322,0.9183,1.8241,1.017739,0.898055,0.9625,2.2026,4.4035
high,boundary,run02,100,99,0.0,1491.0,66,0.66,0.12609,0.178117,0.0938,0.4915,0.7596,0.30464,0.209652,0.3255,0.5178,0.8041,0.789097,0.581627,0.6667,1.910515,1.9203
high,boundary,run03,101,100,0.0,1506.0,67,0.663366,0.246385,0.181534,0.2639,0.507,0.768,0.217165,0.166055,0.2272,0.5106,0.5109,0.91112,0.593752,0.9418,1.8542,2.2124
high,boundary,run04,101,100,0.0,1522.0,67,0.663366,0.252943,0.421526,0.1398,0.4671,2.2121,0.448216,0.442622,0.3063,1.131,1.7921,1.016527,1.468455,0.4428,1.7768,7.6242
