scenario,role,run_id,n_rows,max_sample_idx,t_rel_min_s,t_rel_max_s,n_selected_rows,selected_fraction,offset_ms_mean,offset_ms_std,offset_ms_median,offset_ms_p95,offset_ms_max,jitter_ms_mean,jitter_ms_std,jitter_ms_median,jitter_ms_p95,jitter_ms_max,delay_ms_mean,delay_ms_std,delay_ms_median,delay_ms_p95,delay_ms_max
low,client,run01,100,99,0.0,1492.0,63,0.63,-1.553801,1.244161,-2.0739,0.0,0.0,0.462909,0.436302,0.5285,0.8908,1.8256,4.307832,3.364845,5.962,8.243475,9.7295
low,client,run02,100,99,0.0,1497.0,63,0.63,-1.653147,1.436146,-2.1585,0.0,0.0,0.603258,0.793681,0.34125,1.53648,3.134,4.379381,3.769531,5.8536,7.26785,14.4907
low,client,run03,99,98,0.0,1494.0,62,0.626263,-1.380901,1.395079,-2.0574,0.0,1.6615,0.922044,1.008557,0.6516,2.4979,4.0164,4.502586,3.827144,5.6059,9.1909,13.3226
low,client,run04,100,99,0.0,1602.0,62,0.62,-1.620505,1.386028,-1.8141,0.0,0.0,1.181631,1.107503,1.2773,2.9178,3.3955,4.214908,3.440797,5.2476,9.0328,9.7808
low,client,run05,100,99,0.0,1495.0,63,0.63,-0.610639,1.4452,0.0,0.4783,0.4783,1.409553,1.543601,0.6661,3.468265,3.5664,2.876583,3.010771,2.4596,8.8252,8.9467
low,client,run06,100,99,0.0,1491.0,63,0.63,-1.652426,1.273938,-2.2209,0.0,0.0,0.323744,0.272787,0.3639,0.717815,0.7542,4.798756,4.124433,6.18775,8.70978,16.2822
low,client,run07,100,99,0.0,1492.0,63,0.63,-1.889265,1.49233,-2.6958,0.0,0.0,0.51525,0.49348,0.4959,1.4405,1.4405,4.74227,3.728231,7.0183,8.638815,10.0527
low,client,run08,100,99,0.0,1492.0,63,0.63,-1.788818,1.489157,-2.2885,0.0,0.0,0.957454,0.912151,0.8634,2.33754,3.0299,4.573541,3.849807,4.9778,10.9819,11.2542
low,client,run09,100,99,0.0,1492.0,63,0.63,-1.693661,1.375128,-2.2963,0.0,0.0,0.489994,0.443336,0.5836,1.1505,1.6481,4.723559,3.92229,6.3944,10.1717,13.3404
low,client,run10,100,99,0.0,1609.0,62,0.62,-1.638391,1.300085,-2.4289,0.0,0.0,0.37168,0.322653,0.4772,0.78202,0.9819,4.045548,3.216627,5.1601,7.631045,7.9587
low,client,run11,100,99,0.0,1491.0,63,0.63,-1.71742,1.377405,-2.3568,0.0,0.0,0.50348,0.436562,0.59865,1.16121,1.3894,4.573994,3.59022,6.2497,8.9465,10.248
low,client,run12,100,99,0.0,1491.0,63,0.63,-1.881655,1.590207,-2.1887,0.0,0.0,0.748158,0.724582,0.8179,1.5684,3.0892,4.989986,4.000902,6.1371,9.3122,12.7201
low,client,run13,100,99,0.0,1492.0,63,0.63,-1.990486,1.547983,-2.6726,0.0,0.0,0.47231,0.467977,0.41125,1.277885,1.4163,5.035989,3.87224,6.8798,8.858985,10.0519
low,client,run14,100,99,0.0,1491.0,62,0.62,-1.580542,1.305105,-2.2946,0.0,0.0,0.560903,0.512138,0.7425,1.2041,2.0012,4.355122,3.543127,5.5025,9.1746,9.5346
low,client,run15,100,99,0.0,1491.0,63,0.63,-1.689646,1.313144,-2.294,0.0,0.0,0.429752,0.356415,0.4405,0.8864,0.9242,4.629938,3.572493,6.2771,8.1521,9.3581
low,boundary,run01,100,99,0.0,1491.0,66,0.66,0.07044,0.132084,0.0076,0.3597,0.4085,0.464368,0.641247,0.2181,1.80689,1.809,0.617685,0.607402,0.2942,1.5613,2.3012
low,boundary,run02,100,99,0.0,1496.0,66,0.66,0.154222,0.185849,0.032,0.5318,0.5576,0.230476,0.168382,0.2588,0.44717,0.4998,0.655653,0.565444,0.3164,1.5183,1.5749
low,boundary,run03,99,98,0.0,1493.0,66,0.666667,0.210079,0.485387,0.1294,0.3858,2.4995,0.464932,0.61996,0.1438,1.69081,2.1913,0.921995,1.114803,0.7557,2.0848,5.5589
low,boundary,run04,100,99,0.0,1602.0,66,0.66,0.123141,0.157118,0.0606,0.378,0.5577,0.20401,0.125791,0.2584,0.3206,0.4269,0.680916,0.583041,0.6533,1.6332,2.2428
low,boundary,run05,100,99,0.0,1494.0,66,0.66,0.154483,0.127407,0.1589,0.2952,0.5269,0.163685,0.138465,0.1318,0.41012,0.4105,0.938042,0.535016,1.0309,1.4903,1.6845
low,boundary,run06,101,100,0.0,1506.0,67,0.663366,0.204566,0.162427,0.1654,0.479,0.4993,0.168847,0.12884,0.17,0.3168,0.3807,0.867094,0.598778,0.7395,1.7646,2.0234
low,boundary,run07,100,99,0.0,1491.0,66,0.66,0.328248,0.715827,0.0446,1.045205,3.1885,0.686786,0.711264,0.4881,1.370985,2.9135,1.270341,1.595267,0.5678,4.005845,6.8833
low,boundary,run08,100,99,0.0,1491.0,66,0.66,0.204382,0.196028,0.1634,0.588,0.7857,0.172703,0.133432,0.18225,0.3235,0.4349,0.860384,0.618078,0.7423,1.743,2.6093
low,boundary,run09,100,99,0.0,1492.0,66,0.66,0.077961,0.169413,0.0,0.43162,0.6258,0.224553,0.157263,0.2338,0.449125,0.537,0.940725,0.676663,0.9702,1.866215,2.9761
low,boundary,run10,100,99,0.0,1608.0,66,0.66,0.15445,0.156286,0.0827,0.4017,0.5595,0.367166,0.440029,0.2679,1.38015,1.4531,0.75978,0.572133,0.6445,1.6105,2.0377
low,boundary,run11,100,99,0.0,1491.0,66,0.66,0.136593,0.139576,0.1065,0.3375,0.5762,0.126298,0.118504,0.0858,0.2566,0.4732,0.790881,0.530263,0.6974,1.4563,1.9551
low,boundary,run12,100,99,0.0,1492.0,66,0.66,0.185455,0.682025,0.0409,0.3636,3.4453,0.676049,0.757484,0.3411,1.3017,3.3561,1.010904,1.478518,0.6851,2.3555,7.6007
low,boundary,run13,100,99,0.0,1491.0,66,0.66,0.170938,0.175251,0.1437,0.5779,0.6075,0.250867,0.163279,0.2581,0.4633,0.4875,0.889153,0.665674,0.7188,2.0685,2.3322
low,boundary,run14,100,99,0.0,1491.0,66,0.66,0.25484,0.256077,0.1146,0.65658,0.7284,0.349913,0.275302,0.2838,0.7331,0.7598,1.086631,0.814304,1.1952,2.2294,2.6623
low,boundary,run15,100,99,0.0,1491.0,66,0.66,0.236007,0.265428,0.1416,0.8839,0.9299,0.308306,0.198953,0.349,0.517125,0.6528,1.020151,0.770826,0.8134,2.3839,2.4156
