scenario,role,run_id,n_rows,max_sample_idx,t_rel_min_s,t_rel_max_s,n_selected_rows,selected_fraction,offset_ms_mean,offset_ms_std,offset_ms_median,offset_ms_p95,offset_ms_max,jitter_ms_mean,jitter_ms_std,jitter_ms_median,jitter_ms_p95,jitter_ms_max,delay_ms_mean,delay_ms_std,delay_ms_median,delay_ms_p95,delay_ms_max
medium,client,run01,100,99,0.0,1491.0,63,0.63,-4.64991,3.659006,-6.4903,0.0,0.0,0.932321,0.829822,0.9334,2.13827,2.1909,10.605793,8.340754,14.7594,20.0473,20.7457
medium,client,run02,100,99,0.0,1491.0,62,0.62,-4.88693,3.890277,-6.5905,0.0,0.0,1.113033,0.945283,1.1597,2.263705,2.2752,11.064671,8.813462,14.974,21.44675,22.9182
medium,client,run03,100,99,0.0,1611.0,63,0.63,-3.618471,3.845445,-2.49805,0.0765,0.0765,2.292774,2.549269,1.3064,7.7239,8.0719,8.287537,8.379786,6.37535,20.1411,20.6277
medium,client,run04,100,99,0.0,1492.0,63,0.63,-4.518706,3.637971,-5.4224,0.0,0.2191,1.454185,1.33158,1.40935,3.596585,3.7331,9.985477,8.033884,11.695,19.18809,21.6769
medium,client,run05,100,99,0.0,1491.0,63,0.63,-4.483456,3.730605,-4.9699,0.0,0.0,1.825146,1.557562,2.0267,3.908315,4.053,10.506552,8.503671,12.6488,22.09422,22.2656
medium,client,run06,100,99,0.0,1492.0,63,0.63,-4.385084,3.548297,-5.479,0.0,0.0,1.452206,1.215029,1.89525,3.261715,3.8313,10.357075,8.174846,13.423,19.84872,24.8572
medium,client,run07,99,98,0.0,1498.0,63,0.636364,-5.116577,4.158682,-6.2554,0.0,0.0,1.725394,1.551578,1.344,3.82594,4.74,11.958617,9.486854,14.1364,23.04275,26.5874
medium,client,run08,100,99,0.0,1508.0,62,0.62,-3.282088,3.918785,0.0,0.4554,0.4554,2.463262,3.008706,1.5235,8.648935,8.7066,8.081546,8.493486,2.0276,19.80433,25.2167
medium,client,run09,100,99,0.0,1491.0,63,0.63,-4.015536,4.17001,-6.4226,0.5933,0.5933,3.343982,3.058352,3.208,8.8194,8.9623,9.151382,8.84226,14.1286,20.742845,21.7659
medium,client,run10,100,99,0.0,1491.0,63,0.63,-4.746305,3.736101,-6.3588,0.0,0.0,1.211365,0.963813,1.6147,2.315785,2.8855,10.755387,8.466129,14.2926,22.34343,22.5473
medium,client,run11,100,99,0.0,1491.0,63,0.63,-3.977718,4.1387,-2.6342,0.1671,0.1671,2.931517,3.104463,3.2929,9.760225,10.1787,9.567202,9.534726,6.704,21.166105,21.4246
medium,client,run12,100,99,0.0,1492.0,63,0.63,-4.979046,3.960109,-6.776,0.0,0.0,1.545171,1.523143,1.5447,4.6266,5.1608,10.902289,8.65891,15.0141,22.5412,22.9789
medium,client,run13,100,99,0.0,1492.0,63,0.63,-3.958742,4.026188,-3.1331,0.0121,0.0121,2.244061,2.747714,1.0829,8.23523,8.4904,9.31049,9.379589,7.1888,20.4031,23.8808
medium,client,run14,100,99,0.0,1491.0,61,0.61,-3.274345,4.300822,0.0,0.28,0.28,2.947496,3.388399,2.0167,8.9496,9.2175,7.909599,9.396908,1.0893,21.6614,23.8809
medium,client,run15,100,99,0.0,1492.0,63,0.63,-4.138671,3.852052,-5.4416,0.5407,0.5407,2.151194,2.06057,2.1215,7.3319,7.5611,9.886589,9.066962,12.3297,22.6987,28.6508
medium,boundary,run01,100,99,0.0,1491.0,66,0.66,0.237359,0.256455,0.1092,0.766435,0.7975,0.362655,0.261402,0.3825,0.7058,0.7111,1.008301,0.804515,0.7486,2.6465,2.7148
medium,boundary,run02,100,99,0.0,1491.0,66,0.66,0.214931,0.24994,0.0646,0.7238,0.7706,0.290196,0.227737,0.3627,0.584745,0.6118,0.843595,0.590432,0.6989,1.7833,1.9524
medium,boundary,run03,100,99,0.0,1610.0,66,0.66,0.122324,0.140759,0.0821,0.4912,0.4959,0.263832,0.18727,0.24,0.5171,0.5173,0.705043,0.594037,0.5695,1.686,2.2469
medium,boundary,run04,100,99,0.0,1491.0,66,0.66,0.20561,0.272305,0.0,0.5258,1.0971,0.291008,0.239369,0.2374,0.6081,0.7463,0.888013,0.716136,0.5108,1.7769,2.8697
medium,boundary,run05,100,99,0.0,1491.0,66,0.66,0.253334,0.266399,0.108,0.8257,0.9856,0.381514,0.300699,0.4114,0.745615,0.7478,1.088727,0.749635,0.8757,2.2042,2.7252
medium,boundary,run06,100,99,0.0,1493.0,66,0.66,0.294203,0.387295,0.1968,0.947,1.8657,0.458568,0.393381,0.4807,1.0027,1.4733,0.96123,1.014642,0.696,2.3647,4.9473
medium,boundary,run07,99,98,0.0,1498.0,66,0.666667,0.396583,0.631345,0.2219,2.0812,2.1955,0.637474,0.590137,0.3667,1.68114,1.8939,1.463861,1.384983,1.369,4.60559,5.3633
medium,boundary,run08,100,99,0.0,1508.0,66,0.66,0.145503,0.241107,0.0051,0.6341,0.9558,0.288869,0.199055,0.3066,0.6133,0.657,0.696661,0.721355,0.3304,1.7484,3.0145
medium,boundary,run09,100,99,0.0,1492.0,66,0.66,0.146986,0.164304,0.0617,0.449205,0.55,0.204543,0.149122,0.2333,0.4474,0.4894,0.682898,0.543469,0.4843,1.525615,1.5563
medium,boundary,run10,100,99,0.0,1491.0,66,0.66,0.209836,0.192915,0.1188,0.6022,0.6742,0.217836,0.15321,0.2114,0.424,0.4292,0.878264,0.648496,0.7485,2.01898,2.4841
medium,boundary,run11,100,99,0.0,1491.0,66,0.66,0.21385,0.191223,0.1189,0.4981,0.7513,0.227641,0.157323,0.25175,0.4142,0.4179,0.883528,0.644598,0.6213,1.9592,1.9662
medium,boundary,run12,100,99,0.0,1491.0,66,0.66,0.363521,0.218954,0.391,0.7371,0.8132,0.164212,0.107713,0.201,0.3137,0.3535,1.297313,0.822488,1.3286,2.487,3.3106
medium,boundary,run13,100,99,0.0,1491.0,66,0.66,0.206202,0.255117,0.0725,0.646,0.8762,0.294782,0.19216,0.3415,0.5096,0.5768,1.010776,0.7276,0.8798,2.4316,2.5582
medium,boundary,run14,100,99,0.0,1491.0,66,0.66,0.165274,0.169903,0.1583,0.4224,0.7502,0.367991,0.430659,0.2696,1.36311,1.3633,1.018907,0.657928,1.2092,2.06213,2.2109
medium,boundary,run15,100,99,0.0,1491.0,66,0.66,0.090486,0.184323,0.0,0.38367,0.6168,0.239159,0.167542,0.27195,0.43181,0.4339,0.88653,0.582452,0.7099,1.7393,1.7961
