role,scenario,run_id,source_file,t_first_selected_s,offset_mean_ms_post,offset_std_ms_post,offset_p95_ms_post,offset_maxabs_ms_post,jitter_mean_ms_post,jitter_p95_ms_post,delay_mean_ms_post,delay_p95_ms_post,reach_final_raw,reach_final_oct
client,low,run01,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/low/run01/ntp_client_live.log,558.0,-2.4296666666666673,0.5301788058089763,-1.7628,3.9702,0.7346619047619048,1.7321199999999985,6.706142857142855,9.580619999999998,377,255
boundary,low,run01,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/low/run01/ntp_boundary_live.log,512.0,0.08448484848484852,0.13399037880778464,0.385,0.4085,0.6675242424242424,1.8086,0.6695348484848486,1.52325,377,255
client,low,run02,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/low/run02/ntp_client_live.log,560.0,-2.585014285714286,0.902039517383611,-2.0494,5.5447,0.957438095238095,3.134,6.84324285714286,14.4907,377,255
boundary,low,run02,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/low/run02/ntp_boundary_live.log,514.0,0.1860090909090909,0.18371145831461877,0.53175,0.5576,0.29562575757575754,0.4444,0.8141242424242423,1.56075,377,255
client,low,run03,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/low/run03/ntp_client_live.log,575.0,-2.204987096774193,1.1313114949116798,1.4755549999999842,3.8422,1.4722370967741936,3.9404749999999935,7.189612903225808,13.116014999999981,377,255
boundary,low,run03,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/low/run03/ntp_boundary_live.log,497.0,0.13164393939393942,0.10675955173089138,0.365675,0.3858,0.45699999999999996,1.281775,0.8312772727272727,1.582375,377,255
client,low,run04,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/low/run04/ntp_client_live.log,610.0,-2.567214516129032,0.7667320171867549,-1.8141,4.5508,1.8940016129032256,3.371614999999998,6.6825774193548355,9.743399999999996,377,255
boundary,low,run04,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/low/run04/ntp_boundary_live.log,546.0,0.1368242424242424,0.15821278472177044,0.512775,0.5577,0.2739909090909091,0.400325,0.844701515151515,2.0904,377,255
client,low,run05,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/low/run05/ntp_client_live.log,559.0,-0.9692682539682541,1.726792396213596,0.4783,3.6925,2.2372682539682542,3.5664,4.5660047619047655,8.93455,377,255
boundary,low,run05,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/low/run05/ntp_boundary_live.log,513.0,0.19864393939393937,0.11606874505261336,0.46277500000000005,0.5269,0.23132272727272724,0.4105,1.1981590909090907,1.63595,377,255
