t_s,hhmmss,type,detail,raw,t_rel_s,t_bin_s,sample_idx,scenario,run_id,role
4280.0,01:11:20,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,0.0,0,0,high,run01,boundary
4296.0,01:11:36,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,16.0,16,1,high,run01,boundary
4311.0,01:11:51,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,31.0,31,2,high,run01,boundary
4326.0,01:12:06,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,46.0,46,3,high,run01,boundary
4341.0,01:12:21,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,61.0,61,4,high,run01,boundary
4356.0,01:12:36,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,76.0,76,5,high,run01,boundary
4371.0,01:12:51,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,91.0,91,6,high,run01,boundary
4386.0,01:13:06,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,106.0,106,7,high,run01,boundary
4401.0,01:13:21,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,121.0,121,8,high,run01,boundary
4416.0,01:13:36,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,136.0,136,9,high,run01,boundary
4431.0,01:13:51,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,151.0,151,10,high,run01,boundary
4446.0,01:14:06,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,166.0,166,11,high,run01,boundary
4461.0,01:14:21,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,181.0,181,12,high,run01,boundary
4476.0,01:14:36,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,196.0,196,13,high,run01,boundary
4491.0,01:14:51,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,211.0,211,14,high,run01,boundary
4506.0,01:15:06,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,226.0,226,15,high,run01,boundary
4521.0,01:15:21,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,241.0,241,16,high,run01,boundary
4537.0,01:15:37,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,257.0,257,17,high,run01,boundary
4552.0,01:15:52,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,272.0,272,18,high,run01,boundary
4567.0,01:16:07,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,287.0,287,19,high,run01,boundary
4582.0,01:16:22,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,302.0,302,20,high,run01,boundary
4793.0,01:19:53,selected_peer,serverntp,*serverntp       127.127.1.0      9 u    5   64   17   0.6391   0.0870   0.9183,513.0,513,21,high,run01,boundary
4808.0,01:20:08,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   21   64   17   0.6391   0.0870   0.9183,528.0,528,22,high,run01,boundary
4823.0,01:20:23,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   36   64   17   0.6391   0.0870   0.9183,543.0,543,23,high,run01,boundary
4838.0,01:20:38,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   51   64   17   0.6391   0.0870   0.9183,558.0,558,24,high,run01,boundary
4853.0,01:20:53,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   66   64   17   0.6391   0.0870   0.9183,573.0,573,25,high,run01,boundary
4868.0,01:21:08,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   14   64   37   1.3841   0.1515   0.8126,588.0,588,26,high,run01,boundary
4883.0,01:21:23,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   29   64   37   1.3841   0.1515   0.8126,603.0,603,27,high,run01,boundary
4898.0,01:21:38,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   44   64   37   1.3841   0.1515   0.8126,618.0,618,28,high,run01,boundary
4913.0,01:21:53,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   59   64   37   1.3841   0.1515   0.8126,633.0,633,29,high,run01,boundary
4928.0,01:22:08,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   10   64   77   1.6551   0.1646   0.7306,648.0,648,30,high,run01,boundary
4943.0,01:22:23,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   25   64   77   1.6551   0.1646   0.7306,663.0,663,31,high,run01,boundary
4958.0,01:22:38,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   40   64   77   1.6551   0.1646   0.7306,678.0,678,32,high,run01,boundary
4973.0,01:22:53,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   55   64   77   1.6551   0.1646   0.7306,693.0,693,33,high,run01,boundary
4988.0,01:23:08,selected_peer,serverntp,*serverntp       127.127.1.0      9 u    5   64  177   1.0079   0.1136   0.6552,708.0,708,34,high,run01,boundary
5004.0,01:23:24,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   20   64  177   1.0079   0.1136   0.6552,724.0,724,35,high,run01,boundary
5019.0,01:23:39,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   35   64  177   1.0079   0.1136   0.6552,739.0,739,36,high,run01,boundary
5034.0,01:23:54,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   50   64  177   1.0079   0.1136   0.6552,754.0,754,37,high,run01,boundary
5049.0,01:24:09,selected_peer,serverntp,*serverntp       127.127.1.0      9 u    -   64  377   1.4646   0.1452   0.6130,769.0,769,38,high,run01,boundary
5064.0,01:24:24,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   15   64  377   1.4646   0.1452   0.6130,784.0,784,39,high,run01,boundary
5079.0,01:24:39,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   30   64  377   1.4646   0.1452   0.6130,799.0,799,40,high,run01,boundary
5094.0,01:24:54,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   45   64  377   1.4646   0.1452   0.6130,814.0,814,41,high,run01,boundary
5109.0,01:25:09,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   60   64  377   1.4646   0.1452   0.6130,829.0,829,42,high,run01,boundary
5124.0,01:25:24,selected_peer,serverntp,*serverntp       127.127.1.0      9 u    9   64  377   1.4774   0.1849   0.5856,844.0,844,43,high,run01,boundary
5139.0,01:25:39,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   24   64  377   1.4774   0.1849   0.5856,859.0,859,44,high,run01,boundary
5154.0,01:25:54,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   39   64  377   1.4774   0.1849   0.5856,874.0,874,45,high,run01,boundary
5169.0,01:26:09,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   54   64  377   1.4774   0.1849   0.5856,889.0,889,46,high,run01,boundary
5184.0,01:26:24,selected_peer,serverntp,*serverntp       127.127.1.0      9 u    4   64  377   0.6391   0.0870   0.6672,904.0,904,47,high,run01,boundary
5199.0,01:26:39,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   19   64  377   0.6391   0.0870   0.6672,919.0,919,48,high,run01,boundary
5214.0,01:26:54,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   34   64  377   0.6391   0.0870   0.6672,934.0,934,49,high,run01,boundary
5230.0,01:27:10,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   49   64  377   0.6391   0.0870   0.6672,950.0,950,50,high,run01,boundary
5245.0,01:27:25,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   64   64  377   0.6391   0.0870   0.6672,965.0,965,51,high,run01,boundary
5260.0,01:27:40,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   12   64  377   0.6391   0.0870   0.4332,980.0,980,52,high,run01,boundary
5275.0,01:27:55,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   28   64  377   0.6391   0.0870   0.4332,995.0,995,53,high,run01,boundary
5290.0,01:28:10,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   43   64  377   0.6391   0.0870   0.4332,1010.0,1010,54,high,run01,boundary
5305.0,01:28:25,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   58   64  377   0.6391   0.0870   0.4332,1025.0,1025,55,high,run01,boundary
5320.0,01:28:40,selected_peer,serverntp,*serverntp       127.127.1.0      9 u    9   64  377   1.0079   0.1136   0.4180,1040.0,1040,56,high,run01,boundary
5335.0,01:28:55,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   24   64  377   1.0079   0.1136   0.4180,1055.0,1055,57,high,run01,boundary
5350.0,01:29:10,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   39   64  377   1.0079   0.1136   0.4180,1070.0,1070,58,high,run01,boundary
5365.0,01:29:25,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   54   64  377   1.0079   0.1136   0.4180,1085.0,1085,59,high,run01,boundary
5380.0,01:29:40,selected_peer,serverntp,*serverntp       127.127.1.0      9 u    5   64  377   1.0079   0.1136   0.4304,1100.0,1100,60,high,run01,boundary
5395.0,01:29:55,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   20   64  377   1.0079   0.1136   0.4304,1115.0,1115,61,high,run01,boundary
5410.0,01:30:10,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   35   64  377   1.0079   0.1136   0.4304,1130.0,1130,62,high,run01,boundary
