t_s,hhmmss,type,detail,raw,t_rel_s,t_bin_s,sample_idx,scenario,run_id,role
51409.0,14:16:49,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,0.0,0,0,low,run06,client
51424.0,14:17:04,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,15.0,15,1,low,run06,client
51439.0,14:17:19,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,30.0,30,2,low,run06,client
51454.0,14:17:34,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,45.0,45,3,low,run06,client
51469.0,14:17:49,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,60.0,60,4,low,run06,client
51484.0,14:18:04,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,75.0,75,5,low,run06,client
51499.0,14:18:19,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,90.0,90,6,low,run06,client
51514.0,14:18:34,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,105.0,105,7,low,run06,client
51529.0,14:18:49,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,120.0,120,8,low,run06,client
51545.0,14:19:05,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,136.0,136,9,low,run06,client
51560.0,14:19:20,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,151.0,151,10,low,run06,client
51575.0,14:19:35,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,166.0,166,11,low,run06,client
51590.0,14:19:50,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,181.0,181,12,low,run06,client
51605.0,14:20:05,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,196.0,196,13,low,run06,client
51620.0,14:20:20,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,211.0,211,14,low,run06,client
51635.0,14:20:35,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,226.0,226,15,low,run06,client
51650.0,14:20:50,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,241.0,241,16,low,run06,client
51665.0,14:21:05,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,256.0,256,17,low,run06,client
51680.0,14:21:20,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,271.0,271,18,low,run06,client
51695.0,14:21:35,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,286.0,286,19,low,run06,client
51710.0,14:21:50,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,301.0,301,20,low,run06,client
51725.0,14:22:05,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,316.0,316,21,low,run06,client
51740.0,14:22:20,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,331.0,331,22,low,run06,client
51755.0,14:22:35,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,346.0,346,23,low,run06,client
51770.0,14:22:50,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,361.0,361,24,low,run06,client
51786.0,14:23:06,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,377.0,377,25,low,run06,client
51801.0,14:23:21,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,392.0,392,26,low,run06,client
51816.0,14:23:36,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,407.0,407,27,low,run06,client
51831.0,14:23:51,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,422.0,422,28,low,run06,client
51846.0,14:24:06,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,437.0,437,29,low,run06,client
51861.0,14:24:21,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,452.0,452,30,low,run06,client
51876.0,14:24:36,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,467.0,467,31,low,run06,client
51891.0,14:24:51,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,482.0,482,32,low,run06,client
51906.0,14:25:06,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,497.0,497,33,low,run06,client
51921.0,14:25:21,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,512.0,512,34,low,run06,client
51936.0,14:25:36,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,527.0,527,35,low,run06,client
51966.0,14:26:06,selected_peer,boundary1,*boundary1       10.0.10.4       10 u    5   64    1   8.6827  -2.8576   0.3596,557.0,557,36,low,run06,client
51981.0,14:26:21,selected_peer,boundary1,*boundary1       10.0.10.4       10 u   20   64    1   8.6827  -2.8576   0.3596,572.0,572,37,low,run06,client
51996.0,14:26:36,selected_peer,boundary1,*boundary1       10.0.10.4       10 u   35   64    1   8.6827  -2.8576   0.3596,587.0,587,38,low,run06,client
52011.0,14:26:51,selected_peer,boundary1,*boundary1       10.0.10.4       10 u   50   64    1   8.6827  -2.8576   0.3596,602.0,602,39,low,run06,client
52027.0,14:27:07,selected_peer,boundary1,*boundary1       10.0.10.4       10 u    6   64    3   6.2577  -2.2209   0.7542,618.0,618,40,low,run06,client
