t_s,hhmmss,remote,refid,stratum,assoc_type,when_s,poll_s,reach_raw,reach_oct,sel_char,selected,delay_ms,offset_ms,jitter_ms,raw,t_rel_s,t_bin_s,sample_idx,scenario,run_id,role
54541.0,15:09:01,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,0.0,0,0,low,run08,client
54556.0,15:09:16,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,15.0,15,1,low,run08,client
54571.0,15:09:31,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,30.0,30,2,low,run08,client
54586.0,15:09:46,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,45.0,45,3,low,run08,client
54602.0,15:10:02,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,61.0,61,4,low,run08,client
54617.0,15:10:17,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,76.0,76,5,low,run08,client
54632.0,15:10:32,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,91.0,91,6,low,run08,client
54647.0,15:10:47,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,106.0,106,7,low,run08,client
54662.0,15:11:02,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,121.0,121,8,low,run08,client
54677.0,15:11:17,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,136.0,136,9,low,run08,client
54692.0,15:11:32,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,151.0,151,10,low,run08,client
54707.0,15:11:47,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,166.0,166,11,low,run08,client
54722.0,15:12:02,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,181.0,181,12,low,run08,client
54737.0,15:12:17,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,196.0,196,13,low,run08,client
54752.0,15:12:32,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,211.0,211,14,low,run08,client
54767.0,15:12:47,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,226.0,226,15,low,run08,client
54782.0,15:13:02,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,241.0,241,16,low,run08,client
54797.0,15:13:17,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,256.0,256,17,low,run08,client
54812.0,15:13:32,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,271.0,271,18,low,run08,client
54827.0,15:13:47,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,286.0,286,19,low,run08,client
54843.0,15:14:03,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,302.0,302,20,low,run08,client
54858.0,15:14:18,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,317.0,317,21,low,run08,client
54873.0,15:14:33,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,332.0,332,22,low,run08,client
54888.0,15:14:48,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,347.0,347,23,low,run08,client
54903.0,15:15:03,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,362.0,362,24,low,run08,client
54918.0,15:15:18,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,377.0,377,25,low,run08,client
54933.0,15:15:33,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,392.0,392,26,low,run08,client
54948.0,15:15:48,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,407.0,407,27,low,run08,client
54963.0,15:16:03,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,422.0,422,28,low,run08,client
54978.0,15:16:18,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,437.0,437,29,low,run08,client
54993.0,15:16:33,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,452.0,452,30,low,run08,client
55008.0,15:16:48,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,467.0,467,31,low,run08,client
55023.0,15:17:03,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,482.0,482,32,low,run08,client
55038.0,15:17:18,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,497.0,497,33,low,run08,client
55053.0,15:17:33,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,512.0,512,34,low,run08,client
55069.0,15:17:49,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,528.0,528,35,low,run08,client
55084.0,15:18:04,boundary1,10.0.10.4,10,u,,128,1,1,,False,7.5607,-3.0807,0.2821,boundary1       10.0.10.4       10 u    -  128    1   7.5607  -3.0807   0.2821,543.0,543,36,low,run08,client
55099.0,15:18:19,boundary1,10.0.10.4,10,u,7.0,64,1,1,*,True,11.2542,-4.9882,2.1615,*boundary1       10.0.10.4       10 u    7   64    1  11.2542  -4.9882   2.1615,558.0,558,37,low,run08,client
55114.0,15:18:34,boundary1,10.0.10.4,10,u,22.0,64,1,1,*,True,11.2542,-4.9882,2.1615,*boundary1       10.0.10.4       10 u   22   64    1  11.2542  -4.9882   2.1615,573.0,573,38,low,run08,client
55129.0,15:18:49,boundary1,10.0.10.4,10,u,37.0,64,1,1,*,True,11.2542,-4.9882,2.1615,*boundary1       10.0.10.4       10 u   37   64    1  11.2542  -4.9882   2.1615,588.0,588,39,low,run08,client
55144.0,15:19:04,boundary1,10.0.10.4,10,u,52.0,64,1,1,*,True,11.2542,-4.9882,2.1615,*boundary1       10.0.10.4       10 u   52   64    1  11.2542  -4.9882   2.1615,603.0,603,40,low,run08,client
55159.0,15:19:19,boundary1,10.0.10.4,10,u,8.0,64,3,3,*,True,8.5226,-3.0996,2.0991,*boundary1       10.0.10.4       10 u    8   64    3   8.5226  -3.0996   2.0991,618.0,618,41,low,run08,client
55174.0,15:19:34,boundary1,10.0.10.4,10,u,23.0,64,3,3,*,True,8.5226,-3.0996,2.0991,*boundary1       10.0.10.4       10 u   23   64    3   8.5226  -3.0996   2.0991,633.0,633,42,low,run08,client
55189.0,15:19:49,boundary1,10.0.10.4,10,u,38.0,64,3,3,*,True,8.5226,-3.0996,2.0991,*boundary1       10.0.10.4       10 u   38   64    3   8.5226  -3.0996   2.0991,648.0,648,43,low,run08,client
55204.0,15:20:04,boundary1,10.0.10.4,10,u,53.0,64,3,3,*,True,8.5226,-3.0996,2.0991,*boundary1       10.0.10.4       10 u   53   64    3   8.5226  -3.0996   2.0991,663.0,663,44,low,run08,client
55219.0,15:20:19,boundary1,10.0.10.4,10,u,68.0,64,3,3,*,True,8.5226,-3.0996,2.0991,*boundary1       10.0.10.4       10 u   68   64    3   8.5226  -3.0996   2.0991,678.0,678,45,low,run08,client
55234.0,15:20:34,boundary1,10.0.10.4,10,u,14.0,64,7,7,*,True,5.3928,-2.4841,2.3011,*boundary1       10.0.10.4       10 u   14   64    7   5.3928  -2.4841   2.3011,693.0,693,46,low,run08,client
55249.0,15:20:49,boundary1,10.0.10.4,10,u,29.0,64,7,7,*,True,5.3928,-2.4841,2.3011,*boundary1       10.0.10.4       10 u   29   64    7   5.3928  -2.4841   2.3011,708.0,708,47,low,run08,client
55264.0,15:21:04,boundary1,10.0.10.4,10,u,44.0,64,7,7,*,True,5.3928,-2.4841,2.3011,*boundary1       10.0.10.4       10 u   44   64    7   5.3928  -2.4841   2.3011,723.0,723,48,low,run08,client
55279.0,15:21:19,boundary1,10.0.10.4,10,u,59.0,64,7,7,*,True,5.3928,-2.4841,2.3011,*boundary1       10.0.10.4       10 u   59   64    7   5.3928  -2.4841   2.3011,738.0,738,49,low,run08,client
55295.0,15:21:35,boundary1,10.0.10.4,10,u,8.0,64,17,15,*,True,8.4476,-3.6504,1.7751,*boundary1       10.0.10.4       10 u    8   64   17   8.4476  -3.6504   1.7751,754.0,754,50,low,run08,client
55310.0,15:21:50,boundary1,10.0.10.4,10,u,24.0,64,17,15,*,True,8.4476,-3.6504,1.7751,*boundary1       10.0.10.4       10 u   24   64   17   8.4476  -3.6504   1.7751,769.0,769,51,low,run08,client
55325.0,15:22:05,boundary1,10.0.10.4,10,u,39.0,64,17,15,*,True,8.4476,-3.6504,1.7751,*boundary1       10.0.10.4       10 u   39   64   17   8.4476  -3.6504   1.7751,784.0,784,52,low,run08,client
55340.0,15:22:20,boundary1,10.0.10.4,10,u,54.0,64,17,15,*,True,8.4476,-3.6504,1.7751,*boundary1       10.0.10.4       10 u   54   64   17   8.4476  -3.6504   1.7751,799.0,799,53,low,run08,client
55355.0,15:22:35,boundary1,10.0.10.4,10,u,2.0,64,37,31,*,True,10.9819,-1.5628,3.0299,*boundary1       10.0.10.4       10 u    2   64   37  10.9819  -1.5628   3.0299,814.0,814,54,low,run08,client
