t_s,hhmmss,type,detail,raw,t_rel_s,t_bin_s,sample_idx,scenario,run_id,role
57686.0,16:01:26,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,0.0,0,0,low,run10,boundary
57705.0,16:01:45,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,19.0,19,1,low,run10,boundary
57720.0,16:02:00,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,34.0,34,2,low,run10,boundary
57735.0,16:02:15,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,49.0,49,3,low,run10,boundary
57750.0,16:02:30,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,64.0,64,4,low,run10,boundary
57770.0,16:02:50,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,84.0,84,5,low,run10,boundary
57785.0,16:03:05,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,99.0,99,6,low,run10,boundary
57800.0,16:03:20,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,114.0,114,7,low,run10,boundary
57815.0,16:03:35,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,129.0,129,8,low,run10,boundary
57835.0,16:03:55,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,149.0,149,9,low,run10,boundary
57851.0,16:04:11,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,165.0,165,10,low,run10,boundary
57866.0,16:04:26,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,180.0,180,11,low,run10,boundary
57881.0,16:04:41,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,195.0,195,12,low,run10,boundary
57901.0,16:05:01,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,215.0,215,13,low,run10,boundary
57916.0,16:05:16,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,230.0,230,14,low,run10,boundary
57931.0,16:05:31,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,245.0,245,15,low,run10,boundary
57946.0,16:05:46,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,260.0,260,16,low,run10,boundary
